Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,nan,"2,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,nan,nan,2200.0,2200.0,nan
Greylag Goose (Icelandic),nan,nan,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,270Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,Nov,185.0,185.0,nan
Greylag Goose,nan,nan,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,270Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,Nov,185.0,185.0,nan
Greylag Goose (British/Irish),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
END,END,END,END,END,END,END,END,END,END
