Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,424,321,222,596,257,nan,Sep,364,364,nan
Wigeon,nan,210,414,268,329,324,nan,Feb,309,309,nan
Mallard,nan,136,208,212,76,57,nan,Aug,138,138,nan
Tufted Duck,nan,66,215,113,126,148,nan,Oct,134,134,nan
Greylag Goose (British/Irish),nan,114,142,130,146,135,nan,Sep,133,133,nan
Greylag Goose,nan,114,142,130,146,135,nan,Sep,133,133,nan
Pochard,nan,89,85,121,47,93,nan,Oct,87,87,nan
Goldeneye,nan,50,37,42,74,37,nan,Apr,48,48,nan
Goosander,nan,54,30,57Supplementary roost count under the WeBS Core Count SurveyWeBS,45,27,nan,Nov,43,43,nan
Teal,nan,23,27,11,39,95,nan,Dec,39,39,nan
Shoveler,nan,46,30,22,38,30,nan,Apr,33,33,nan
Gadwall,nan,24,42,28,28,31,nan,Apr,31,31,nan
Mute Swan,nan,9,9,7,5,12,nan,Sep,8,8,nan
Pintail,nan,4,0,2,6,0,nan,nan,2,2,nan
Whooper Swan,nan,0,7,0,0,2,nan,Feb,2,2,nan
Common Scoter,nan,1,1,3,0,0,nan,nan,1,1,nan
Canada x domestic Greylag Goose,nan,0,0,0,0,5,nan,Sep,1,1,nan
Barnacle x Canada Goose,nan,0,4,0,0,0,nan,nan,1,1,nan
Pink-footed Goose,nan,1,1,0,0,1,nan,Jul,1,1,nan
Lesser Scaup,nan,0,1,0,0,0,nan,nan,0,0,nan
Shelduck,nan,0,1,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Smew,nan,0,0,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Ring-necked Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Yellow-billed Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
American Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
