Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Gadwall,nan,nan,71,52,34,26,nan,Nov,46,46,nan
Tufted Duck,nan,nan,35,42,34,30,nan,Aug,35,35,nan
Mallard,nan,nan,11,13,24,16,nan,Aug,16,16,nan
Wigeon,nan,nan,21,36,0,0,nan,nan,14,14,nan
Pochard,nan,nan,6,10,2,17,nan,Jul,9,9,nan
Shoveler,nan,nan,3,(14),3,9,nan,Nov,7,7,nan
Canada Goose,nan,nan,0,0,27,0,nan,nan,7,7,nan
Teal,nan,nan,8,9,0,0,nan,nan,4,4,nan
Greylag Goose (British/Irish),nan,nan,0,0,10,0,nan,nan,3,3,nan
Greylag Goose,nan,nan,0,0,10,0,nan,nan,3,3,nan
Mute Swan,nan,nan,3,2,2,2,nan,Jul,2,2,nan
Shelduck,nan,nan,0,1,5,0,nan,nan,2,2,nan
END,END,END,END,END,END,END,END,END,END
