Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,156,180,154,0,281,nan,Sep,154,154,nan
Mallard,nan,38,39,39,28,(41),nan,Jan,37,37,nan
Tufted Duck,nan,24,39,35,36,24,nan,Nov,32,32,nan
Pochard,nan,14,21,13,9,(4),nan,Jan,14,14,nan
Mute Swan,nan,9,11,11,7,6,nan,Sep,9,9,nan
Domestic Greylag Goose,nan,0,(0),0,0,5,nan,Sep,1,1,nan
Wigeon,nan,0,(0),2,1,0,nan,nan,1,1,nan
Ruddy Duck,nan,0,(0),0,0,0,nan,nan,0,0,nan
Goosander,nan,0,(0),0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,(0),0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,0,(0),0,0,0,nan,nan,0,0,nan
Teal,nan,0,(0),0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,(0),0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
