Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,nan,nan,nan,nan,6,nan,Apr,6,6,nan
Canada Goose,nan,nan,nan,nan,nan,1,nan,Apr,1,1,nan
END,END,END,END,END,END,END,END,END,END
