Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,3957,5740,4896,7042,4673,nan,Feb,5262,5262,▲
Tufted Duck,nan,2729,2874,2869,2969,2971,nan,Aug,2882,2882,nan
Wigeon,nan,2333,3902,2164,1680,2230,nan,Feb,2462,2462,nan
Pochard,nan,1278,2778,2122,1789,3255,nan,Aug,2244,2244,nan
Shoveler,nan,2031,651,2129,2754,788,nan,Sep,1671,1671,nan
Canada Goose,nan,1641,2153,965,1044,1601,nan,Jul,1481,1481,nan
Mallard,nan,1165,1687,1294,1281,1383,nan,Aug,1362,1362,nan
Greylag Goose (British/Irish),nan,934,1351,741,1205,1026,nan,Sep,1051,1051,nan
Greylag Goose,nan,934,1351,741,1205,1026,nan,Sep,1051,1051,nan
Gadwall,nan,699,572,499,248,403,nan,Aug,484,484,nan
Mute Swan,nan,479,390,335,361,267,nan,Aug,366,366,nan
Pintail,nan,346,252,547,474,168,nan,Mar,357,357,nan
Goldeneye,nan,295,434,315,429,270,nan,Mar,349,349,nan
Goosander,nan,12,53,58,69,89,nan,Dec,56,56,nan
Shelduck,nan,74,34,16,40Supplementary visit under the WeBS Core Count SurveyWeBS,45,nan,Apr,42,42,nan
Egyptian Goose,nan,10,14,26,19,21,nan,Jun,18,18,nan
Scaup,nan,0,1,1,77,8,nan,Mar,17,17,nan
Red-crested Pochard,nan,11,10,13,8,7,nan,Aug,10,10,nan
Smew,nan,1,2,7,10,10,nan,Feb,6,6,nan
Bewick's Swan,nan,6,0,8,1,1,nan,Apr,3,3,nan
Garganey,nan,2,5,4,1,0,nan,nan,2,2,nan
Emperor Goose,nan,0,6,0,0,6,nan,Jul,2,2,nan
Red-breasted Merganser,nan,2,4,2,1,2,nan,Nov,2,2,nan
Barnacle Goose (naturalised),nan,1,2,0,0,1,nan,Aug,1,1,nan
Barnacle Goose,nan,1,2,0,0,1,nan,Aug,1,1,nan
Red-breasted Goose,nan,2,2,0,0,0,nan,nan,1,1,nan
White-fronted Goose (European - albifrons),nan,2,0,0,1,0,nan,nan,1,1,nan
White-fronted Goose,nan,2,0,0,1,0,nan,nan,1,1,nan
Long-tailed Duck,nan,0,0,0,2,0,nan,nan,0,0,nan
Common Scoter,nan,0,0,0,0,2,nan,Apr,0,0,nan
END,END,END,END,END,END,END,END,END,END
