Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,9,17,3,8,3,nan,Dec,8,8,nan
Goosander,nan,3,1,1,2,5,nan,Dec,2,2,nan
Goldeneye,nan,5,1,0,0,0,nan,nan,1,1,nan
Mute Swan,nan,0,2,0,0,0,nan,nan,0,0,nan
Teal,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
