Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Ouse Fen and Pits (Hanson/RSPB),175Supplementary visit under the WeBS Core Count SurveyWeBS,175Supplementary visit under the WeBS Core Count SurveyWeBS,82Supplementary visit under the WeBS Core Count SurveyWeBS,82Supplementary visit under the WeBS Core Count SurveyWeBS,31,31,nan,nan,101,101,175Supplementary visit under the WeBS Core Count SurveyWeBS,175Supplementary visit under the WeBS Core Count SurveyWeBS,82Supplementary visit under the WeBS Core Count SurveyWeBS,82Supplementary visit under the WeBS Core Count SurveyWeBS,31,31,nan,nan,101,101,Apr,97.0,186
Lower Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,199,199,nan,nan,nan,nan,nan,nan,nan,nan,199,199,Feb,199.0,185
River Avon - Fordingbridge to Ringwood,185,185,(206),(206),245,245,232,232,200,200,185,185,(206),(206),245,245,232,232,200,200,Nov,216.0,185
Poole Harbour,226,226,124,124,122,122,148,148,136,136,226,226,124,124,122,122,148,148,136,136,Oct,151.0,169
Thames Estuary,215,215,213,213,189,189,206,206,208,208,215,215,213,213,189,189,206,206,208,208,Oct,206.0,165
Whitemoor Haye,nan,nan,125,125,240,240,372,372,339,339,nan,nan,125,125,240,240,372,372,339,339,Nov,269.0,165
Humber Estuary,(314),(314),271,271,303,303,216,216,319,319,(314),(314),271,271,303,303,216,216,319,319,Dec,285.0,162
River Welland - Spalding to Borough Fen,247,247,287,287,200,200,150,150,124,124,247,247,287,287,200,200,150,150,124,124,Jun,202.0,162
Stodmarsh,245,245,(199),(199),289,289,297,297,436,436,245,245,(199),(199),289,289,297,297,436,436,Jul,317.0,162
Avon Valley - Salisbury to Fordingbridge,(239),(239),(263),(263),395,395,229,229,(162),(162),(239),(239),(263),(263),395,395,229,229,(162),(162),Jan,312.0,161
Christchurch Harbour,nan,nan,200,200,(100),(100),137,137,430Mute Swan counts in Christchurch HarbourDorset Bird Report,430Mute Swan counts in Christchurch HarbourDorset Bird Report,nan,nan,200,200,(100),(100),137,137,430Mute Swan counts in Christchurch HarbourDorset Bird Report,430Mute Swan counts in Christchurch HarbourDorset Bird Report,Aug,256.0,161
Llangorse Lake,116,116,84,84,112,112,83,83,96,96,116,116,84,84,112,112,83,83,96,96,Sep,98.0,160
River Earn - Forteviot Bridge to Kinkell Bridge,38,38,19,19,20,20,34,34,44,44,38,38,19,19,20,20,34,34,44,44,Feb,31.0,159
Breydon Water and Berney Marshes,171,171,171,171,116,116,106,106,161,161,171,171,171,171,116,116,106,106,161,161,Mar,145.0,155
Narford Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154
Hatfield Moors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125
Chew Valley Lake,117,117,126,126,112,112,103,103,107,107,117,117,126,126,112,112,103,103,107,107,Aug,113.0,147
Trinity Broads,(100),(100),80,80,77,77,(16),(16),24,24,(100),(100),80,80,77,77,(16),(16),24,24,Jul,70.0,147
Radwell Lakes,53,53,96,96,63,63,68,68,147,147,53,53,96,96,63,63,68,68,147,147,Nov,85.0,145
Strangford Lough,111,111,225,225,174,174,183,183,180,180,111,111,225,225,174,174,183,183,180,180,Oct,175.0,145
Nene Washes,241,241,136,136,342,342,175,175,161,161,241,241,136,136,342,342,175,175,161,161,Dec,211.0,144
River Earn - Lawhill Oxbows,nan,nan,nan,nan,18,18,18,18,2,2,nan,nan,nan,nan,18,18,18,18,2,2,Feb,13.0,144
Stanwick Gravel Pits Consolidated,42,42,42,42,nan,nan,(62),(62),nan,nan,42,42,42,42,nan,nan,(62),(62),nan,nan,nan,49.0,144
Tay Estuary,(87),(87),78,78,53,53,81,81,125,125,(87),(87),78,78,53,53,81,81,125,125,Sep,85.0,144
Deeping St James,nan,nan,nan,nan,nan,nan,41,41,26,26,nan,nan,nan,nan,nan,nan,41,41,26,26,Sep,34.0,142
