Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
River Mole - Leatherhead,6.0,6.0,5,5,5,5,10.0,10.0,4.0,4.0,6.0,6.0,5,5,5,5,10.0,10.0,4.0,4.0,Oct,6.0,7
River Severn - Gloucester to Maisemore,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
River Thames Chertsey Bridge to Laleham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
River Tweed - Norham Bridge to Dreeper Island,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
River Wandle - Carshalton to Wandsworth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Rivers Eamont and Eden - Honeypot to Edenhall,36.0,36.0,10,10,15.0,15.0,nan,nan,12.0,12.0,36.0,36.0,10,10,15.0,15.0,nan,nan,12.0,12.0,Oct,18.0,7
Rushcliffe Country Park,10.0,10.0,11,11,6.0,6.0,10.0,10.0,9.0,9.0,10.0,10.0,11,11,6.0,6.0,10.0,10.0,9.0,9.0,Nov,9.0,7
Rushy Common,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Ruxley GP,5.0,5.0,(6),(6),6.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,(6),(6),6.0,6.0,7.0,7.0,5.0,5.0,Dec,6.0,7
Ryde Pier to Puckpool Point,2.0,2.0,11,11,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,11,11,7.0,7.0,0.0,0.0,0.0,0.0,nan,4.0,7
Sevenoaks Wildfowl Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Sherborne Brook,nan,nan,7,7,2.0,2.0,6.0,6.0,15.0,15.0,nan,nan,7,7,2.0,2.0,6.0,6.0,15.0,15.0,Oct,8.0,7
Sound of Gigha,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Sound of Gigha and Rhunahaorine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Southwick Canal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
St Serf's Water,2.0,2.0,5,5,7.0,7.0,2.0,2.0,4.0,4.0,2.0,2.0,5,5,7.0,7.0,2.0,2.0,4.0,4.0,Feb,4.0,7
Stanton Lake,0.0,0.0,9,9,9.0,9.0,7.0,7.0,10.0,10.0,0.0,0.0,9,9,9.0,9.0,7.0,7.0,10.0,10.0,Jun,7.0,7
Stratford Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Tai Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
The Cuilc,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,7
Thorpe Malsor Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Tongue End Nature Reserve (Baston Fen),20.0,20.0,95,95,15.0,15.0,41.0,41.0,nan,nan,20.0,20.0,95,95,15.0,15.0,41.0,41.0,nan,nan,nan,43.0,7
Torr Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Tredegar House,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Trent and Mersey Canal - Willington to Findern,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Trent and Mersey Canal and Aston Marina,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
Valentines Park,9.0,9.0,4,4,3.0,3.0,4.0,4.0,4.0,4.0,9.0,9.0,4,4,3.0,3.0,4.0,4.0,4.0,4.0,Mar,5.0,7
Walsall Arboretum,0.0,0.0,0,0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,5.0,5.0,1.0,1.0,May,1.0,7
Whins Pond,0.0,0.0,0,0,0.0,0.0,nan,nan,2.0,2.0,0.0,0.0,0,0,0.0,0.0,nan,nan,2.0,2.0,Feb,1.0,7
White Moss Loch,51.0,51.0,7,7,3.0,3.0,2.0,2.0,2.0,2.0,51.0,51.0,7,7,3.0,3.0,2.0,2.0,2.0,2.0,Feb,13.0,7
William Girling Reservoir,12.0,12.0,22,22,10.0,10.0,25.0,25.0,14.0,14.0,12.0,12.0,22,22,10.0,10.0,25.0,25.0,14.0,14.0,Jul,17.0,7
Winnal Mere,4.0,4.0,nan,nan,nan,nan,6.0,6.0,9.0,9.0,4.0,4.0,nan,nan,nan,nan,6.0,6.0,9.0,9.0,Jan,6.0,7
confidential site (Northumberland),nan,nan,nan,nan,3.0,3.0,15.0,15.0,16.0,16.0,nan,nan,nan,nan,3.0,3.0,15.0,15.0,16.0,16.0,Jun,11.0,7
Abercwmboi Lake,nan,nan,0.0,0.0,0,0,0,0,0.0,0.0,nan,nan,0.0,0.0,0,0,0,0,0.0,0.0,nan,0.0,6
Babbs Mill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Bann Estuary,24,24,7.0,7.0,13,13,10,10,10.0,10.0,24,24,7.0,7.0,13,13,10,10,10.0,10.0,Sep,13.0,6
Bar Mere,3,3,6.0,6.0,6,6,1,1,5.0,5.0,3,3,6.0,6.0,6,6,1,1,5.0,5.0,Jun,4.0,6
Barcombe Mills Reservoir,7,7,11.0,11.0,13,13,20,20,9.0,9.0,7,7,11.0,11.0,13,13,20,20,9.0,9.0,Jul,12.0,6
Bawsey Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Bedford Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Berrington Pool,7,7,9.0,9.0,8,8,8,8,5.0,5.0,7,7,9.0,9.0,8,8,8,8,5.0,5.0,Jul,7.0,6
Bertha Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Blaxton and Finningley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Bogton Loch,8,8,8.0,8.0,4,4,nan,nan,5.0,5.0,8,8,8.0,8.0,4,4,nan,nan,5.0,5.0,Dec,6.0,6
Bowood Lake,0,0,0.0,0.0,2,2,2,2,2.0,2.0,0,0,0.0,0.0,2,2,2,2,2.0,2.0,Oct,1.0,6
Bramshill Plantation Lakes,nan,nan,4.0,4.0,(4),(4),2,2,2.0,2.0,nan,nan,4.0,4.0,(4),(4),2,2,2.0,2.0,Dec,3.0,6
Brooklands Lake (East Worthing),64,64,47.0,47.0,14,14,9,9,7.0,7.0,64,64,47.0,47.0,14,14,9,9,7.0,7.0,Sep,28.0,6
Burham Marsh,0,0,0.0,0.0,0,0,0,0,nan,nan,0,0,0.0,0.0,0,0,0,0,nan,nan,nan,0.0,6
Bush Loch (Gatehouse of Fleet),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Cardew Mires Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Carr Vale Flash and Reserve Pond,0,0,5.0,5.0,2,2,nan,nan,nan,nan,0,0,5.0,5.0,2,2,nan,nan,nan,nan,nan,2.0,6
Catcliffe Flash,2,2,6.0,6.0,10,10,2,2,5.0,5.0,2,2,6.0,6.0,10,10,2,2,5.0,5.0,Sep,5.0,6
Chichester Canal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Church Wilne Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Codnor Park Reservoir,6,6,2.0,2.0,2,2,2,2,2.0,2.0,6,6,2.0,2.0,2,2,2,2,2.0,2.0,Oct,3.0,6
Colwyn Bay and North Clwyd Coast,(5),(5),4.0,4.0,5,5,(2),(2),8.0,8.0,(5),(5),4.0,4.0,5,5,(2),(2),8.0,8.0,Oct,6.0,6
Cors Crychydd Reen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Cromwell Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Cullaloe Loch,2,2,2.0,2.0,2,2,2,2,2.0,2.0,2,2,2.0,2.0,2,2,2,2,2.0,2.0,Jul,2.0,6
Culzean Pond,5,5,6.0,6.0,10,10,11,11,nan,nan,5,5,6.0,6.0,10,10,11,11,nan,nan,nan,8.0,6
Cumrue Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Daneshill Nature Reserve,12,12,12.0,12.0,nan,nan,nan,nan,nan,nan,12,12,12.0,12.0,nan,nan,nan,nan,nan,nan,nan,12.0,6
"Diana Fountain, Bushy Park",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Dinefwr Pools Llandeilo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Dyfi Estuary,3,3,6,6,4,4,2.0,2.0,2.0,2.0,3,3,6,6,4,4,2.0,2.0,2.0,2.0,Dec,3.0,6
"Edenbrook Country Park, Fleet",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Faldonside Loch,3,3,6,6,5,5,6.0,6.0,4.0,4.0,3,3,6,6,5,5,6.0,6.0,4.0,4.0,Sep,5.0,6
Feddal Ponds Complex,6,6,6,6,6,6,4.0,4.0,nan,nan,6,6,6,6,6,6,4.0,4.0,nan,nan,nan,6.0,6
Fetcham Mill Pond,6,6,2,2,8,8,4.0,4.0,7.0,7.0,6,6,2,2,8,8,4.0,4.0,7.0,7.0,Oct,5.0,6
Foots Cray Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Forth and Clyde Canal - Bonnybridge to Lock 16,49,49,29,29,16,16,29.0,29.0,12.0,12.0,49,49,29,29,16,16,29.0,29.0,12.0,12.0,Jan,27.0,6
Fowey Estuary,15,15,7,7,9,9,12.0,12.0,10.0,10.0,15,15,7,7,9,9,12.0,12.0,10.0,10.0,Oct,11.0,6
Goldsworth Park Lake Woking,nan,nan,nan,nan,nan,nan,5.0,5.0,11.0,11.0,nan,nan,nan,nan,nan,nan,5.0,5.0,11.0,11.0,Jun,8.0,6
Greatbottom Flash,5,5,nan,nan,nan,nan,nan,nan,nan,nan,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,6
Green Diamonds,2,2,nan,nan,0,0,0.0,0.0,nan,nan,2,2,nan,nan,0,0,0.0,0.0,nan,nan,nan,1.0,6
Greenhead Pond (Perchy Pond),8,8,10,10,3,3,7.0,7.0,9.0,9.0,8,8,10,10,3,3,7.0,7.0,9.0,9.0,Sep,7.0,6
Grimsthorpe Lake,9,9,(2),(2),2,2,2.0,2.0,2.0,2.0,9,9,(2),(2),2,2,2.0,2.0,2.0,2.0,Jan,4.0,6
Groveland Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Hagnaby Lock Fen,2,2,2,2,(2),(2),3.0,3.0,0.0,0.0,2,2,2,2,(2),(2),3.0,3.0,0.0,0.0,nan,2.0,6
Harestonhill Pond,5,5,4,4,2,2,5.0,5.0,4.0,4.0,5,5,4,4,2,2,5.0,5.0,4.0,4.0,Feb,4.0,6
Hartford GP,2,2,7,7,6,6,3.0,3.0,nan,nan,2,2,7,7,6,6,3.0,3.0,nan,nan,nan,5.0,6
Hauxley Nature Reserve,nan,nan,nan,nan,2,2,2.0,2.0,2.0,2.0,nan,nan,nan,nan,2,2,2.0,2.0,2.0,2.0,Nov,2.0,6
Hendre Pond (Trowbridge Lake),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Heritage Park Loch,9,9,11,11,5,5,3.0,3.0,10.0,10.0,9,9,11,11,5,5,3.0,3.0,10.0,10.0,Sep,8.0,6
Hinchingbrooke Gravel Pit,7Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,40Supplementary visit under the WeBS Core Count SurveyWeBS,40Supplementary visit under the WeBS Core Count SurveyWeBS,5,5,2.0,2.0,nan,nan,7Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,40Supplementary visit under the WeBS Core Count SurveyWeBS,40Supplementary visit under the WeBS Core Count SurveyWeBS,5,5,2.0,2.0,nan,nan,nan,14.0,6
Hollingworth Lake,nan,nan,4,4,1,1,nan,nan,0.0,0.0,nan,nan,4,4,1,1,nan,nan,0.0,0.0,nan,2.0,6
Holy Loch,4,4,6,6,nan,nan,nan,nan,19.0,19.0,4,4,6,6,nan,nan,nan,nan,19.0,19.0,Sep,10.0,6
Holywell Pond,nan,nan,nan,nan,2,2,8.0,8.0,5.0,5.0,nan,nan,nan,nan,2,2,8.0,8.0,5.0,5.0,Sep,5.0,6
Inner Loch Indaal,7,7,6,6,2,2,0.0,0.0,0.0,0.0,7,7,6,6,2,2,0.0,0.0,0.0,0.0,nan,3.0,6
John Bennett Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Leen Valley and Mill Lake Country Park (Bestwood Lake),17,17,23,23,30,30,24.0,24.0,36.0,36.0,17,17,23,23,30,30,24.0,24.0,36.0,36.0,Sep,26.0,6
Liden Lagoon,1,1,3,3,4,4,4.0,4.0,8.0,8.0,1,1,3,3,4,4,4.0,4.0,8.0,8.0,Aug,4.0,6
Linton Pond Ellington,nan,nan,nan,nan,2,2,2.0,2.0,5.0,5.0,nan,nan,nan,nan,2,2,2.0,2.0,5.0,5.0,May,3.0,6
Llyn Alaw,51,51,49,49,39,39,11,11,30,30,51,51,49,49,39,39,11,11,30,30,Aug,36.0,6
Llyn Coron,9,9,(4),(4),3,3,8,8,9,9,9,9,(4),(4),3,3,8,8,9,9,Oct,7.0,6
Loch Fada (Benbecula),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Loch Faskally,0,0,0,0,1,1,1,1,2,2,0,0,0,0,1,1,1,1,2,2,Nov,1.0,6
Loch Na Bo,11,11,2,2,6,6,7,7,12,12,11,11,2,2,6,6,7,7,12,12,Oct,8.0,6
Loch Oire,3,3,9,9,2,2,4,4,4,4,3,3,9,9,2,2,4,4,4,4,Nov,4.0,6
Loch Watston Doune,7,7,6,6,6,6,2,2,8,8,7,7,6,6,6,6,2,2,8,8,Sep,6.0,6
Loch a' Chinn Uacraich (Coot Loch) (Benbecula),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Loch of Banks,4,4,2,2,3,3,1,1,2,2,4,4,2,2,3,3,1,1,2,2,Feb,2.0,6
Loch of Boardhouse,10,10,6,6,37,37,47,47,54,54,10,10,6,6,37,37,47,47,54,54,Oct,31.0,6
Loch of Burness (Westray),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Loch of Wester,4,4,3,3,2,2,6,6,nan,nan,4,4,3,3,2,2,6,6,nan,nan,nan,4.0,6
Lochend Loch (Edinburgh),4,4,(6),(6),5,5,4,4,4,4,4,4,(6),(6),5,5,4,4,4,4,Sep,5.0,6
Marazion Marsh,4,4,8,8,8,8,15,15,17,17,4,4,8,8,8,8,15,15,17,17,Aug,10.0,6
Marsh Court River,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Marston Vale Country Park,3,3,8,8,26,26,9,9,14,14,3,3,8,8,26,26,9,9,14,14,Jan,12.0,6
Merryton Haughs,43,43,24,24,21,21,nan,nan,nan,nan,43,43,24,24,21,21,nan,nan,nan,nan,nan,29.0,6
Midross Gravel Pits,5,5,11,11,6,6,4,4,6,6,5,5,11,11,6,6,4,4,6,6,Nov,6.0,6
Mill Dam,2,2,nan,nan,nan,nan,nan,nan,2,2,2,2,nan,nan,nan,nan,nan,nan,2,2,Oct,2.0,6
Moddershall Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Montgomery and Brecon Canal - Bettws Lane to M4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Montrose to St Cyrus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Moulden Hill Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Newenden Flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Newlyn Harbour and Tolcarne Rocks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Newton Farm Pond,(7),(7),2,2,2,2,2,2,4,4,(7),(7),2,2,2,2,2,2,4,4,Oct,3.0,6
Oakthorpe Flashes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Orchill House Loch,2,2,8,8,4,4,1,1,0,0,2,2,8,8,4,4,1,1,0,0,nan,3.0,6
Otterston Loch,nan,nan,(4),(4),(6),(6),(14),(14),(13),(13),nan,nan,(4),(4),(6),(6),(14),(14),(13),(13),Feb,9.0,6
Pathways Care Farm Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Peppermill Dam,2.0,2.0,(2),(2),44,44,16,16,2.0,2.0,2.0,2.0,(2),(2),44,44,16,16,2.0,2.0,Jul,16.0,6
Pittville Park,4.0,4.0,6,6,2,2,2,2,2.0,2.0,4.0,4.0,6,6,2,2,2,2,2.0,2.0,Sep,3.0,6
Ploughlands Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Polemere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
"Pow Flood, Madderty",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Queen's Park Pool (Crewe),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Quorn Lodge Farm Borrow Pit,34.0,34.0,35,35,43,43,65,65,49.0,49.0,34.0,34.0,35,35,43,43,65,65,49.0,49.0,Nov,45.0,6
Radnor Mere,8.0,8.0,4,4,1,1,2,2,23.0,23.0,8.0,8.0,4,4,1,1,2,2,23.0,23.0,Oct,8.0,6
Reddish Vale Visitors Centre (Topmill Pond and Bottom Pond),2.0,2.0,2,2,2,2,3,3,4.0,4.0,2.0,2.0,2,2,2,2,3,3,4.0,4.0,Mar,3.0,6
Reigate Priory Lake,2.0,2.0,10,10,5,5,5,5,5.0,5.0,2.0,2.0,10,10,5,5,5,5,5.0,5.0,Feb,5.0,6
Relief Channel Denver to King's Lynn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Avon - Salisbury,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Don - Dyce to Brig O Balgownie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
"River Eden, Carlisle to Grinsdale",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Lune - Halton (Crook of Lune) to Caton,3.0,3.0,11,11,nan,nan,nan,nan,nan,nan,3.0,3.0,11,11,nan,nan,nan,nan,nan,nan,nan,7.0,6
River Nith - Keltonbank to Nunholm,6.0,6.0,(7),(7),7,7,(4),(4),8.0,8.0,6.0,6.0,(7),(7),7,7,(4),(4),8.0,8.0,Oct,7.0,6
River Severn - Frankwell to Shelton (Shrewsbury),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Teith - Blackdub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Thames behind Molesey Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
River Wye - Bakewell to Haddon,0.0,0.0,5,5,5,5,4,4,5.0,5.0,0.0,0.0,5,5,5,5,4,4,5.0,5.0,Nov,4.0,6
Sambrook Mill Ponds,0.0,0.0,4,4,4,4,2,2,1.0,1.0,0.0,0.0,4,4,4,4,2,2,1.0,1.0,Jan,2.0,6
Sandown Canoe Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Seaton and Murton Ponds,11.0,11.0,4,4,(4),(4),1,1,9.0,9.0,11.0,11.0,4,4,(4),(4),1,1,9.0,9.0,Jun,6.0,6
Settrington Lake,0.0,0.0,6,6,(9),(9),(2),(2),3.0,3.0,0.0,0.0,6,6,(9),(9),(2),(2),3.0,3.0,Nov,5.0,6
Sheldon Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Shibdon Pond,9.0,9.0,8,8,8,8,nan,nan,nan,nan,9.0,9.0,8,8,8,8,nan,nan,nan,nan,nan,8.0,6
South Lake Woodley (Bulmershe),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Square Pond and Neath Canal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
St Pierre Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Stratfield Saye,4.0,4.0,6,6,6,6,2,2,4.0,4.0,4.0,4.0,6,6,6,6,2,2,4.0,4.0,Nov,4.0,6
Swallow Pond Wallsend,nan,nan,nan,nan,2.0,2.0,2,2,5.0,5.0,nan,nan,nan,nan,2.0,2.0,2,2,5.0,5.0,Feb,3.0,6
Talygarn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Testwood Lakes,2,2,5.0,5.0,8.0,8.0,8,8,3.0,3.0,2,2,5.0,5.0,8.0,8.0,8,8,3.0,3.0,Sep,5.0,6
"The Flash, Welshpool",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
The Ouse and Lairo Water,6,6,2.0,2.0,0.0,0.0,3,3,2.0,2.0,6,6,2.0,2.0,0.0,0.0,3,3,2.0,2.0,Dec,3.0,6
Tongham Gravel Pit,34,34,nan,nan,21.0,21.0,30,30,9.0,9.0,34,34,nan,nan,21.0,21.0,30,30,9.0,9.0,Jan,24.0,6
Towyn to Llanddulas,(5),(5),4.0,4.0,5.0,5.0,(2),(2),8.0,8.0,(5),(5),4.0,4.0,5.0,5.0,(2),(2),8.0,8.0,Oct,6.0,6
Trittiford Mill Park Pond and Brampton Mill Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Urswick Tarn near Ulverston,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Victoria Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
WWT Washington,2,2,2.0,2.0,0.0,0.0,3,3,3.0,3.0,2,2,2.0,2.0,0.0,0.0,3,3,3.0,3.0,Nov,2.0,6
Warnford Lake and River Meon,10,10,13.0,13.0,8.0,8.0,nan,nan,nan,nan,10,10,13.0,13.0,8.0,8.0,nan,nan,nan,nan,nan,10.0,6
Wells Palace Moat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Wey Navigation and Mill Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Whitesands Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Wicken Fen,7,7,7.0,7.0,8.0,8.0,3,3,7.0,7.0,7,7,7.0,7.0,8.0,8.0,3,3,7.0,7.0,Dec,6.0,6
Wistow Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Witchett Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
