Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,nan,nan,13,30,7,nan,May,17,17,nan
Greylag Goose,nan,nan,nan,13,30,7,nan,May,17,17,nan
Tufted Duck,nan,nan,nan,7,4,12,nan,Jul,8,8,nan
Mallard,nan,nan,nan,6,9,7,nan,Mar,7,7,nan
Greylag Goose (Icelandic),nan,nan,nan,2,0,0,nan,nan,1,1,nan
Teal,nan,nan,nan,1,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
