Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Hornsea Mere,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Hoveringham and Bleasby Gravel Pits,0,0,0,0,nan,nan,0,0.0,0,0,0,0,0.0,(0),0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Howick to Beadnell,0,0,0,(0),0,(0),0,0.0,0,0,0,0,0.0,0,(0),0,(0),0,(0),0,nan,0,0,7,2019-11-21 14:26:32
Humber Estuary,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Hurworth Burn Reservoir,0,0,0,0,0,nan,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Inner Moray and Beauly Firths,0,0,0,0,0,0,0,0.0,0,0,(0),0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Irt and Mite and Esk Estuary,0,0,nan,0,0,0,0,0.0,(0),8,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Island of Papa Westray,nan,nan,nan,0,(0),(0),(0),0.0,1,0,1,1,2.0,3,2,1,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Isle of Cumbrae,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,nan,0,0,7,2019-11-21 14:26:32
Kenfig Pool,0,0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Kentra Bay,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,1,0,0.0,0,0,0,0,0,0,(0),nan,0,0,7,2019-11-21 14:26:32
Kilnaughton Bay Port Ellen,nan,nan,nan,nan,nan,nan,0,nan,nan,14,16,nan,nan,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
King's Dyke Pits Whittlesey,0,0,nan,nan,nan,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,nan,nan,nan,0,0,7,2019-11-21 14:26:32
Kingsbridge Estuary,0,4,0,0,0,(0),0,0.0,0,0,0,0,0.0,(0),0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Kirkcudbright Bay and Dee Estuary,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,2Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,nan,nan,nan,nan,0,0,7,2019-11-21 14:26:32
Ladyburn Lake (Druridge Bay CP),nan,nan,nan,0,0,0,0,0.0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Langstone Harbour,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Lapwing Hall Pool,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Lea Farm Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Lee Valley Gravel Pits,0,(0),0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Lindisfarne,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,(0),(0),(0),(0),(0),(0),nan,0,0,7,2019-11-21 14:26:32
Livermere and Ampton Water,0,0,0,0,0,0,0,0.0,nan,0,0,0,nan,nan,nan,nan,nan,nan,(0),0,nan,0,0,7,2019-11-21 14:26:32
Loch An Alltain Duibh,0,(0),1,nan,nan,nan,0,0.0,0,(0),0,0,0.0,0,0,0,0,0,0,0,nan,0,0,7,2019-11-21 14:26:32
Loch An Eilein (Tiree),0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Ardnave,0,0,0.0,nan,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Bee (South Uist),nan,0,18.0,1,2,0,17,0.0,0.0,0,0,nan,0,0,0,0,0,2,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Bhasapoll (Tiree),0,(0),0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Crinan,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,1,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Fleet Complex,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Gilp,0,(0),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,(0),0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Hempriggs,(0),0,0.0,0,nan,nan,0,0.0,0.0,0,(0),0,0,0,0,0,0,1,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Inver,0,(0),nan,nan,nan,(0),0,0.0,0.0,0,3,(0),(0),0,(0),0,(0),0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Ken,(0),(0),0.0,(0),(0),(0),(0),nan,0.0,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0,8,2019-11-21 14:26:38
Loch Leven,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Lomond,1,(0),0.0,0,(0),(0),0,0.0,0.0,0,0,0,0,0,0,(0),(0),(0),0,(0),nan,0,0,8,2019-11-21 14:26:38
Loch Mor (Benbecula),nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,8,2019-11-21 14:26:38
Loch Riaghain (Tiree),0,0,0.0,0,0,0,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch Sandary (North Uist),nan,0,0.0,0,0,0,0,0.0,0.0,0,18,0,0,0,nan,0,0,0,nan,nan,nan,0,0,8,2019-11-21 14:26:38
Loch a' Chinn Uacraich (Coot Loch) (Benbecula),nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,nan,nan,0,0,3,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch of Hundland,0,0,0.0,0,0,0,0,0.0,0.0,0,(0),0,0,0,0,0,0,0,(0),0,nan,0,0,8,2019-11-21 14:26:38
Loch of Reiff,nan,nan,nan,nan,nan,nan,nan,nan,0.0,(0),0,0,0,0,0,0,0,0,1,0,nan,0,0,8,2019-11-21 14:26:38
Loch of Spiggie,nan,0,1.0,0,0,0,0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,1,Oct,0,0,8,2019-11-21 14:26:38
Loch of Strathbeg,0,0,0.0,0,0,(0),0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loch of Tankerness,1,0,1.0,0,0,0,0,1.0,0.0,0,(1),0,0,0,0,0,0,0,nan,nan,nan,0,0,8,2019-11-21 14:26:38
Loe Pool,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
London Wetland Centre,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Longis Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,(0),0,0,(0),0,0,nan,0,nan,nan,0,0,8,2019-11-21 14:26:38
Lossie Estuary,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Loughs Neagh and Beg,0,0,0.0,0,0,0,0,0.0,0.0,2,2,0,0,0,0,0,1,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Lower Derwent Ings,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Maer Lake,0,0,0.0,0,0,0,0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:26:38
Marlow Gravel Pits,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),0,0,nan,nan,nan,nan,nan,0,0,8,2019-11-21 14:26:38
Mawddach Estuary,nan,nan,0.0,0,nan,nan,nan,0.0,0.0,0,0,0,0,0,0,0,(0),0,0,0,nan,0,0,8,2019-11-21 14:26:38
Maxey Pits,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Medmerry RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Medway Estuary,(0),0,(0),(0),0,0.0,0,0,0,0,0,0,0,0,(0),0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Middle Yare Marshes,0,0,0,0,0,0.0,0,0,0,0,0,(0),0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Mill Dam and Balfour Mains Pools,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Minsmere,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Montrose Basin,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,(0),0.0,nan,0,0,9,2019-11-21 14:26:43
Montrose to St Cyrus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.0,nan,0,0,9,2019-11-21 14:26:43
Moors Valley Country Park,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Moray Coast,0,0,0,0,0,0.0,0,0,0,0,(0),0,0,(0),0,0,0,(0),0,0.0,nan,0,0,9,2019-11-21 14:26:43
Mumbles Head,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Nene Washes,0,0,0,0,0,0.0,0,0,0,(0),0,0,0,0,0,0,0,0,(0),0.0,nan,0,0,9,2019-11-21 14:26:43
Nevern Estuary,0,(0),1,2,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.0,Nov,0,0,9,2019-11-21 14:26:43
Newcastle Shore,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,0,nan,nan,0,0,9,2019-11-21 14:26:43
Newgale Beach,0,nan,0,0,0,0.0,0,(0),(0),0,0,(0),(0),(0),0,(0),(0),(0),(0),0.0,nan,0,0,9,2019-11-21 14:26:43
Newtown Estuary,0,0,0,0,0,0.0,(0),(0),0,0,0,0,(0),0,0,(0),0,0,(0),0.0,nan,0,0,9,2019-11-21 14:26:43
Nor Wick and Skaw,nan,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,nan,0,0.0,nan,0,0,9,2019-11-21 14:26:43
North Bay (South Uist),nan,nan,nan,nan,0,0.0,31,0,0,0,0,nan,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
North Cave Pond,nan,nan,nan,nan,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
North Norfolk Coast,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
North Warren and Thorpeness Mere,0,0,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
North West Solent,0,(0),(0),(0),(0),0.0,0,0,0,0,0,0,0,0,0,0,0,0,(0),0.0,nan,0,0,9,2019-11-21 14:26:43
Nosterfield Gravel Pits,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Ogmore Estuary,(0),0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Orchardton and Auchencairn Bays,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Nov,0,0,9,2019-11-21 14:26:43
Orwell Estuary,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Oulton Ponds,nan,nan,nan,nan,nan,1.0,0,0,0,(0),0,0,nan,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Ouse Washes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Pagham Harbour,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Papercourt Gravel Pits,0,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:26:43
Par Sands Pools and St Andrews Road,0,0,0,0,0,0,(0),0,0.0,50,0,0,0,0,(0),0,0,0,nan,0,nan,0,0,10,2019-11-21 14:26:49
Pegwell Bay,0,0,0,0,0,(0),(0),0,0.0,0,0,0,0,0,0,(0),(0),0,0,0,nan,0,0,10,2019-11-21 14:26:49
Peterhead Bay and Sandford Bay,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0,(0),0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Pevensey Levels,(0),0,(0),0,0,0,0,(0),0.0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Piltanton and Luce Estuaries,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Pirton Pool,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Pool of Virkie,0,4,0,0,2,0,0,0,0.0,0,3,0,0,8,0,0,0,0,0,1,Oct,0,0,10,2019-11-21 14:26:49
Port Meadow,0,0,0,(0),0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Porter Brook - Sheffield,nan,0,0,0,nan,0,0,(0),nan,nan,nan,nan,nan,nan,0,(0),nan,nan,nan,0,nan,0,0,10,2019-11-21 14:26:49
Portsmouth Harbour,0,(0),0,0,(0),0,0,0,0.0,0,(0),(0),0,(0),(0),0,(0),0,(0),(0),nan,0,0,10,2019-11-21 14:26:49
Pulfin Bog and High Eske Nature Reserve,0,0,0,0,0,(0),0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Queen Elizabeth II Country Park Lakes,nan,nan,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Queen Mary Reservoir,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Queen's Park (Swindon),0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
R.Bervie: Bervie Bay to Upper Mill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,(0),(0),0,0,0,nan,0,0,10,2019-11-21 14:26:49
Raa Estuary and Achnahaird Bay,0,(0),(0),nan,nan,nan,0,(0),0.0,0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,10,2019-11-21 14:26:49
Ranworth and Cockshoot Broads,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Rhossili Causeway,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Ribble Estuary,0,0,0,0,0,3,1,1,0.0,1,8,2,0,1,2,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,nan,0,0,10,2019-11-21 14:26:49
Ringstead Gravel Pits,nan,nan,nan,0,nan,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
River Avon - Fordingbridge to Ringwood,0,0,0,0,(0),0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
River Avon - Ringwood to Christchurch,0,(0),0,(0),0,0,0,0,0.0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
River Lune - Caton to Hornby and Wenning Foot (The Snab),0,0,0,0,0,nan,nan,0,0.0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
River Medway - M2 to Chatham Maritime,(0),(0),0,0,0,0,0,0,0.0,0,0,(0),(0),(0),0,nan,nan,0,nan,nan,nan,0,0,10,2019-11-21 14:26:49
River Ouse - Southease to Lewes (Lewes Brooks),(0),0,(0),0,0,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Rother Valley Country Park,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Rumworth Lodge Reservoir,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,nan,0,0,nan,0,0,10,2019-11-21 14:26:49
Ruxley GP,0,(0),0,0,0,0,0,0,0.0,nan,nan,nan,nan,0,0,(0),nan,nan,nan,nan,nan,0,0,10,2019-11-21 14:26:49
Ryde Pier to Puckpool Point,0,0,0,0,0,0,0,0,0.0,0,nan,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:26:49
Sanday (Orkney),nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,0,nan,0,nan,0,0,10,2019-11-21 14:26:49
Scalby Ness Sands to Long Nab,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Sea Bank (Huttoft) Clay Pits,0,0,0.0,nan,nan,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Seahouses to Budle Point,0,0,0.0,(0),0.0,(0),(0),(0),0,0.0,0,(0),0,(0),(0),(0),0,0.0,(0),(0),nan,0,0,11,2019-11-21 14:26:55
Serpentine and Long Water and Round Pond - Kensington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Severn Estuary (Welsh counties),0,0,0.0,0,0.0,0,1,0,0,0.0,0,0,1,0,5,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Severn Hams,(0),0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Shavington Park,0,0,0.0,nan,nan,nan,nan,nan,nan,0.0,0,0,(0),0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Siblyback Reservoir,0,0,1.0,0,0.0,0,0,0,(0),0.0,nan,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Sinah Gravel Pit,0,0,0.0,0,0.0,0,0,(0),0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,11,2019-11-21 14:26:55
Slains Lochs (Meikle and Sand and Cotehill),nan,(0),0.0,0,0.0,(0),0,0,0,0.0,nan,(0),0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Slapton Ley,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,(0),0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Solway Estuary,0,0,6.0,0,0.0,0,5,0,0,0.0,0,0,0,3,0,1,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Solway Estuary (English counties),0,0,6.0,0,0.0,0,4,0,0,0.0,0,0,0,0,0,1,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Solway Estuary (Scottish counties),0,0,0.0,0,0.0,0,2,0,0,0.0,0,0,0,3,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Somerset Levels,0,0,0.0,3,0.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Sonning Eye and Henley Road GPs,0,0,0.0,0,0.0,0,0,nan,0,nan,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Sound of Gigha,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,16,0,0,1,0,(0),nan,0,nan,nan,0,0,11,2019-11-21 14:26:55
Sound of Gigha and Rhunahaorine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,16,0,0,1,0,(0),nan,0,0,nan,0,0,11,2019-11-21 14:26:55
South Medwin Pools,nan,0,0.0,0,0.0,0,0,0,0,0.0,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,11,2019-11-21 14:26:55
South Ronaldsay,0,(0),1.0,0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Southampton Water,0,0,0.0,0,0.0,0,0,0,0,0.0,(0),0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
"Sovereign Harbour, Langney",nan,nan,0.0,0,0.0,0,nan,0,0,0.0,0,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,0,0,11,2019-11-21 14:26:55
Spittal to Cocklawburn,0,0,nan,(0),0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
St Andrews Bay,0,0,0.0,0,0.0,0,0,(0),0,0.0,(0),0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
St Bees Head to Mawbray,0,0,nan,(0),0.0,(0),0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
St Cyrus to Stonehaven,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
St Mary's Island,0,0,0.0,0,0.0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Staines Reservoirs,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Stanton Lake,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,nan,0,0,11,2019-11-21 14:26:55
Stocks Reservoir,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,11,2019-11-21 14:26:55
Stour Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Summerleaze Gravel Pits,0.0,0,nan,0,(0),(0),0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,nan,nan,nan,nan,0,0,12,2019-11-21 14:27:00
Swale Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Swansea Bay,0.0,4,4,0,0,0,0.0,23,0,0.0,11,3.0,7.0,0,0,0,(0),0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Tamar Lakes,0.0,0,0,0,nan,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Tay Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,(0),0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Tees Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Teign Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,(0),0.0,0.0,0,0,(0),0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Thames Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Thanet Coast,0.0,0,0,0,0,(0),0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
The Strand Colonsay,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
The Wash,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Thorne Moors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Thrapston Gravel Pits,0.0,0,0,0,0,0,nan,nan,nan,nan,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Thurlestone Bay: Loam Castle-Beacon Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.0,1.0,Jan,0,0,12,2019-11-21 14:27:00
Thurso Bay,nan,(0),nan,nan,1,(0),0.0,0,(0),0.0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Traeth Bach,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Trinity Broads,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,nan,nan,nan,0,0,12,2019-11-21 14:27:00
Tweed Estuary,0.0,(0),0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Twyford Gravel Pits,0.0,0,nan,0,0,0,0.0,0,0,0.0,(0),0.0,0.0,0,0,0,0,(0),0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Tyne Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
