Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[54, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[227, 1, 'Jan', 0, None, None]","[581, 1, 'Feb', 0, None, None]","[1283, 1, 'Dec', 0, None, None]","[1309, 1, 'Dec', 0, None, None]","[1109, 1, 'Dec', 0, None, None]","[218, 1, 'Jan', 0, None, None]","[225, 1, 'Jan', 0, None, None]","[1013, 1, 'Jan', 0, None, None]","[2672, 1, 'Nov', 0, None, None]","[2765, 1, 'Nov', 0, None, None]","[1942, 1, 'Dec', 0, None, None]","[1812, 1, 'Dec', 0, None, None]","[1263, 1, 'Dec', 0, None, None]","[479, 1, 'Dec', 0, None, None]","[1631, 1, 'Jan', 0, None, None]","[2733, 1, 'Dec', 0, None, None]","[3773, 1, 'Nov', 0, None, None]","[2615, 1, 'Dec', 0, None, None]","[1795, 1, 'Jan', 0, None, None]","[3243, 1, 'Nov', 0, None, None]","[2078, 1, 'Dec', 0, None, None]","[2366, 1, 'Jan', 0, None, None]","[1532, 2, 'Feb', 0, None, None]","[2540, 1, 'Dec', 0, None, None]","[2404, 1, 'Jan', 0, None, None]","[1649, 2, 'Feb', 0, None, None]","[1432, 1, 'Nov', 0, None, None]","[2351, 2, 'Dec', 0, None, None]","[1974, 1, 'Dec', 0, None, None]","[2667, 2, 'Dec', 0, None, None]","[2636, 2, 'Feb', 0, None, None]","[4586, 1, 'Feb', 0, None, None]","[2430, 2, 'Feb', 0, None, None]","[2801, 1, 'Jan', 0, None, None]","[3245, 1, 'Jan', 0, None, None]","[2370, 1, 'Jan', 0, None, None]","[3678, 1, 'Feb', 0, None, None]","[2886, 1, 'Jan', 0, None, None]","[2890, 1, 'Jan', 0, None, None]","[3951, 1, 'Nov', 0, None, None]","[4088, 1, 'Dec', 0, None, None]","[3748, 1, 'Dec', 0, None, None]","[3056, 1, 'Nov', 0, None, None]",2019-12-04 15:20:55
Portsmouth Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'Dec', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[100, 1, 'Feb', 0, None, None]","[60, 1, 'Dec', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[320, 1, 'Jan', 0, None, None]","[360, 1, 'Jan', 0, None, None]","[1640, 1, 'Dec', 0, None, None]","[680, 1, 'Jan', 0, None, None]","[1465, 1, 'Jan', 0, None, None]","[1559, 1, 'Jan', 0, None, None]","[2454, 1, 'Nov', 0, None, None]","[1476, 1, 'Jan', 0, None, None]","[3316, 1, 'Nov', 0, None, None]","[855, 1, 'Jan', 0, None, None]","[2236, 1, 'Nov', 0, None, None]","[1855, 1, 'Nov', 0, None, None]","[1610, 1, 'Nov', 0, None, None]","[2347, 1, 'Oct', 0, None, None]","[2129, 1, 'Dec', 0, None, None]","[1748, 1, 'Jan', 0, None, None]","[2567, 1, 'Jan', 0, None, None]","[1978, 1, 'Nov', 0, None, None]","[2640, 1, 'Feb', 0, None, None]","[2169, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3583, 1, 'Dec', 0, None, None]","[2284, 1, 'Nov', 0, None, None]","[2773, 1, 'Mar', 0, None, None]","[2785, 2, 'Jan', 0, None, None]","[2505, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2169, 1, 'Feb', 0, None, None]","[2661, 2, 'Feb', 0, None, None]","[1827, 2, 'Jan', 0, None, None]","[1682, 2, 'Dec', 0, None, None]","[2185, 1, 'Dec', 0, None, None]","[2293, 1, 'Dec', 0, None, None]","[1725, 1, 'Feb', 0, None, None]","[2925, 1, 'Feb', 0, None, None]","[3162, 1, 'Feb', 0, None, None]","[2500, 2, 'Dec', 0, None, None]","[2538, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2030, 2, 'Jan', 0, None, None]","[2054, 1, 'Feb', 0, None, None]","[2819, 2, 'Feb', 0, None, None]","[2106, 2, 'Jan', 0, None, None]","[3062, 2, 'Feb', 0, None, None]","[2953, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2304, 2, 'Nov', 0, None, None]","[1462, 2, 'Feb', 0, None, None]","[2142, 2, 'Mar', 0, None, None]",2019-12-04 15:20:55
Fleet and Wey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[95, 1, 'Feb', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[37, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[120, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[142, 1, 'Feb', 0, None, None]","[124, 1, 'Feb', 0, None, None]","[312, 1, 'Jan', 0, None, None]","[216, 1, 'Jan', 0, None, None]","[628, 1, 'Dec', 0, None, None]","[467, 1, 'Dec', 0, None, None]","[329, 1, 'Jan', 0, None, None]","[1355, 1, 'Feb', 0, None, None]","[798, 1, 'Dec', 0, None, None]","[1000, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[850, 1, 'Jan', 0, None, None]","[2800, 1, 'Dec', 0, None, None]","[4355, 1, 'Nov', 0, None, None]","[1982, 1, 'Dec', 0, None, None]","[3983, 1, 'Nov', 0, None, None]","[2962, 1, 'Nov', 0, None, None]","[2630, 1, 'Nov', 0, None, None]","[3529, 2, 'Nov', 0, None, None]","[3048, 1, 'Nov', 0, None, None]","[2290, 1, 'Nov', 0, None, None]","[1404, 1, 'Nov', 0, None, None]","[1813, 1, 'Oct', 0, None, None]","[2188, 1, 'Dec', 0, None, None]","[398, 1, 'Nov', 0, None, None]","[1337, 1, 'Nov', 0, None, None]","[2625, 1, 'Nov', 0, None, None]","[1436, 1, 'Dec', 0, None, None]","[1554, 1, 'Nov', 0, None, None]","[1810, 1, 'Dec', 0, None, None]","[2200, 1, 'Dec', 0, None, None]","[2190, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2416, 1, 'Dec', 0, None, None]","[1999, 1, 'Nov', 0, None, None]","[1582, 1, 'Nov', 0, None, None]","[1290, 1, 'Nov', 0, None, None]","[2074, 1, 'Nov', 0, None, None]","[3586, 1, 'Oct', 0, None, None]","[2864, 1, 'Dec', 0, None, None]","[5061, 1, 'Nov', 0, None, None]",2019-12-04 15:20:55
Swale Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[92, 1, 'Jan', 0, None, None]","[118, 1, 'Feb', 0, None, None]","[80, 1, 'Jan', 0, None, None]","[726, 1, 'Jan', 0, None, None]","[520, 1, 'Jan', 0, None, None]","[530, 1, 'Dec', 0, None, None]","[350, 1, 'Feb', 0, None, None]","[680, 1, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[800, 1, 'Mar', 0, None, None]","[1434, 1, 'Jan', 0, None, None]","[1337, 1, 'Jan', 0, None, None]","[442, 1, 'Feb', 0, None, None]","[1274, 1, 'Jan', 0, None, None]","[567, 1, 'Nov', 0, None, None]","[1010, 1, 'Jan', 0, None, None]","[1848, 1, 'Jan', 0, None, None]","[1375, 1, 'Jan', 0, None, None]","[2808, 1, 'Jan', 0, None, None]","[2040, 1, 'Feb', 0, None, None]","[1966, 1, 'Feb', 0, None, None]","[2589, 1, 'Jan', 0, None, None]","[1890, 1, 'Dec', 0, None, None]","[1079, 1, 'Jan', 0, None, None]","[4823, 1, 'Dec', 0, None, None]","[2595, 1, 'Nov', 0, None, None]","[1705, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2823, 1, 'Jan', 0, None, None]","[1650, 1, 'Nov', 0, None, None]","[1903, 1, 'Nov', 0, None, None]","[3141, 1, 'Jan', 0, None, None]","[1803, 2, 'Dec', 0, None, None]","[2215, 1, 'Feb', 0, None, None]","[1800, 1, 'Nov', 0, None, None]","[2149, 1, 'Oct', 0, None, None]","[1678, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1278, 1, 'Dec', 0, None, None]","[1210, 1, 'Feb', 0, None, None]","[2111, 1, 'Mar', 0, None, None]","[1861, 1, 'Jan', 0, None, None]","[2310, 1, 'Jan', 0, None, None]","[1857, 1, 'Jan', 0, None, None]","[2115, 1, 'Jan', 0, None, None]","[1783, 2, 'Dec', 0, None, None]","[1448, 1, 'Oct', 0, None, None]","[4126, 1, 'Oct', 0, None, None]","[2497, 1, 'Oct', 0, None, None]","[2288, 1, 'Oct', 0, None, None]","[1418, 1, 'Jan', 0, None, None]","[3326, 1, 'Mar', 0, None, None]","[3104, 1, 'Mar', 0, None, None]","[2864, 1, 'Nov', 0, None, None]",2019-12-04 15:20:55
Pagham Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[180, 1, 'Feb', 0, None, None]",nan,"[17, 1, 'Jan', 0, None, None]","[314, 1, 'Feb', 0, None, None]","[82, 1, 'Feb', 0, None, None]","[82, 1, 'Dec', 0, None, None]","[175, 1, 'Feb', 0, None, None]","[500, 1, 'Jan', 0, None, None]","[450, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1500, 1, 'Feb', 0, None, None]","[650, 1, 'Jan', 0, None, None]","[1500, 1, 'Jan', 0, None, None]","[2700, 1, 'Jan', 0, None, None]","[1500, 1, 'Dec', 0, None, None]","[1863, 1, 'Dec', 0, None, None]","[3093, 1, 'Feb', 0, None, None]","[2477, 1, 'Jan', 0, None, None]","[4219, 1, 'Jan', 0, None, None]","[3188, 1, 'Dec', 0, None, None]","[2251, 1, 'Feb', 0, None, None]","[2551, 1, 'Feb', 0, None, None]","[2965, 1, 'Feb', 0, None, None]","[2755, 1, 'Jan', 0, None, None]","[3181, 1, 'Nov', 0, None, None]","[3669, 1, 'Feb', 0, None, None]","[2969, 1, 'Dec', 0, None, None]","[2638, 1, 'Feb', 0, None, None]","[2611, 1, 'Jan', 0, None, None]","[3016, 1, 'Jan', 0, None, None]","[2879, 1, 'Jan', 0, None, None]","[1071, 1, 'Feb', 0, None, None]","[1260, 1, 'Feb', 0, None, None]","[2438, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2520, 1, 'Jan', 0, None, None]","[3178, 1, 'Dec', 0, None, None]","[2252, 1, 'Feb', 0, None, None]","[1210, 1, 'Feb', 0, None, None]","[2654, 1, 'Feb', 0, None, None]","[2819, 1, 'Jan', 0, None, None]","[2744, 1, 'Dec', 0, None, None]","[2341, 1, 'Feb', 0, None, None]","[2522, 1, 'Feb', 0, None, None]","[3015, 1, 'Feb', 0, None, None]","[2453, 1, 'Mar', 0, None, None]","[2500, 1, 'Feb', 0, None, None]","[2351, 2, 'Feb', 0, None, None]","[2325, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2100, 1, 'Feb', 0, None, None]","[3701, 1, 'Feb', 0, None, None]","[2306, 1, 'Feb', 0, None, None]","[2506, 1, 'Dec', 0, None, None]",2019-12-04 15:20:55
Stour Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[340, 1, 'Feb', 0, None, None]","[540, 1, 'Feb', 0, None, None]","[510, 1, 'Feb', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[434, 1, 'Dec', 0, None, None]","[240, 1, 'Feb', 0, None, None]","[380, 1, 'Feb', 0, None, None]","[360, 1, 'Dec', 0, None, None]","[414, 1, 'Dec', 0, None, None]","[298, 1, 'Feb', 0, None, None]","[430, 1, 'Jan', 0, None, None]","[400, 1, 'Mar', 0, None, None]","[538, 1, 'Dec', 0, None, None]","[542, 1, 'Feb', 0, None, None]","[686, 1, 'Jan', 0, None, None]","[558, 1, 'Dec', 0, None, None]","[1535, 1, 'Feb', 0, None, None]","[1384, 1, 'Dec', 0, None, None]","[674, 1, 'Mar', 0, None, None]","[1220, 1, 'Jan', 0, None, None]","[2371, 1, 'Jan', 0, None, None]","[1375, 1, 'Feb', 0, None, None]","[1784, 1, 'Dec', 0, None, None]","[1387, 1, 'Dec', 0, None, None]","[1322, 1, 'Oct', 0, None, None]","[1980, 1, 'Feb', 0, None, None]","[1849, 1, 'Dec', 0, None, None]","[1742, 1, 'Jan', 0, None, None]","[2293, 1, 'Mar', 0, None, None]","[1801, 1, 'Mar', 0, None, None]","[1757, 2, 'Mar', 0, None, None]","[2173, 1, 'Mar', 0, None, None]","[2367, 1, 'Dec', 0, None, None]","[1769, 1, 'Dec', 0, None, None]","[1716, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1412, 1, 'Apr', 0, None, None]","[1753, 1, 'Apr', 0, None, None]","[1914, 1, 'Mar', 0, None, None]","[1782, 1, 'Mar', 0, None, None]","[1617, 1, 'Apr', 0, None, None]","[2063, 1, 'Feb', 0, None, None]","[2038, 1, 'Nov', 0, None, None]","[1726, 1, 'Jan', 0, None, None]","[1891, 1, 'Feb', 0, None, None]","[1875, 1, 'Mar', 0, None, None]","[2162, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3176, 1, 'Feb', 0, None, None]","[2275, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2707, 1, 'Apr', 0, None, None]","[2462, 1, 'Apr', 0, None, None]","[1933, 1, 'Apr', 0, None, None]","[2788, 1, 'Nov', 0, None, None]",2019-12-04 15:20:55
Southampton Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[38, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[163, 1, 'Feb', 0, None, None]","[203, 1, 'Feb', 0, None, None]","[240, 1, 'Feb', 0, None, None]","[429, 1, 'Feb', 0, None, None]","[924, 1, 'Jan', 0, None, None]","[879, 1, 'Feb', 0, None, None]","[819, 1, 'Jan', 0, None, None]","[1587, 1, 'Feb', 0, None, None]","[1339, 1, 'Feb', 0, None, None]","[2408, 1, 'Jan', 0, None, None]","[1723, 1, 'Jan', 0, None, None]","[1473, 1, 'Jan', 0, None, None]","[1547, 1, 'Jan', 0, None, None]","[2486, 1, 'Jan', 0, None, None]","[1457, 1, 'Jan', 0, None, None]","[1340, 1, 'Dec', 0, None, None]","[2752, 1, 'Feb', 0, None, None]","[1322, 1, 'Mar', 0, None, None]","[2420, 1, 'Jan', 0, None, None]","[1475, 1, 'Mar', 0, None, None]","[3007, 1, 'Jan', 0, None, None]","[1821, 1, 'Dec', 0, None, None]","[2160, 1, 'Dec', 0, None, None]","[918, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1656, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1241, 1, 'Dec', 0, None, None]","[1455, 1, 'Dec', 0, None, None]","[1326, 1, 'Jan', 0, None, None]","[1274, 1, 'Jan', 0, None, None]","[1386, 1, 'Mar', 0, None, None]","[949, 1, 'Feb', 0, None, None]","[1151, 1, 'Jan', 0, None, None]","[1674, 1, 'Feb', 0, None, None]","[869, 1, 'Mar', 0, None, None]","[1055, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1649, 1, 'Jan', 0, None, None]","[2496, 1, 'Jan', 0, None, None]","[1257, 1, 'Mar', 0, None, None]","[2395, 1, 'Nov', 0, None, None]","[3355, 1, 'Jan', 0, None, None]","[1893, 1, 'Oct', 0, None, None]","[1592, 1, 'Jan', 0, None, None]","[2136, 1, 'Feb', 0, None, None]",2019-12-04 15:20:55
North West Solent,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[140, 1, 'Feb', 0, None, None]","[102, 1, 'Feb', 0, None, None]","[240, 1, 'Jan', 0, None, None]","[350, 1, 'Mar', 0, None, None]","[350, 1, 'Feb', 0, None, None]","[490, 1, 'Jan', 0, None, None]","[700, 1, 'Feb', 0, None, None]","[642, 1, 'Mar', 0, None, None]","[803, 1, 'Jan', 0, None, None]","[1190, 1, 'Mar', 0, None, None]","[990, 1, 'Feb', 0, None, None]","[1400, 1, 'Dec', 0, None, None]","[1800, 1, 'Feb', 0, None, None]","[1666, 1, 'Feb', 0, None, None]","[1690, 1, 'Feb', 0, None, None]","[2600, 1, 'Dec', 0, None, None]","[2170, 1, 'Jan', 0, None, None]","[1750, 1, 'Jan', 0, None, None]","[2400, 1, 'Feb', 0, None, None]","[1977, 1, 'Jan', 0, None, None]","[3335, 1, 'Feb', 0, None, None]","[4809, 1, 'Jan', 0, None, None]","[3334, 1, 'Jan', 0, None, None]","[2650, 1, 'Dec', 0, None, None]","[2046, 2, 'Jan', 0, None, None]","[2643, 1, 'Dec', 0, None, None]","[3493, 1, 'Jan', 1, 'Supplementary visit under the WeBS Low Tide Count Survey', 'WeBS']","[2810, 1, 'Jan', 0, None, None]","[2659, 1, 'Dec', 0, None, None]","[2114, 2, 'Jan', 0, None, None]","[1616, 1, 'Jan', 0, None, None]","[2350, 1, 'Feb', 0, None, None]","[1500, 1, 'Jan', 0, None, None]","[1790, 1, 'Jan', 0, None, None]","[2208, 2, 'Jan', 0, None, None]","[2377, 1, 'Feb', 0, None, None]","[1808, 1, 'Jan', 0, None, None]","[2101, 1, 'Jan', 0, None, None]","[1885, 1, 'Jan', 0, None, None]","[2050, 1, 'Dec', 0, None, None]","[1800, 1, 'Jan', 0, None, None]","[2195, 1, 'Feb', 0, None, None]","[2110, 1, 'Jan', 0, None, None]","[2660, 1, 'Jan', 0, None, None]","[3120, 1, 'Feb', 0, None, None]","[1756, 1, 'Nov', 0, None, None]","[1165, 1, 'Feb', 0, None, None]","[1638, 1, 'Jan', 0, None, None]",2019-12-04 15:20:55
Exe Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[141, 1, 'Jan', 0, None, None]","[120, 1, 'Jan', 0, None, None]","[118, 1, 'Dec', 0, None, None]","[285, 1, 'Jan', 0, None, None]","[350, 1, 'Jan', 0, None, None]","[290, 2, 'Feb', 0, None, None]","[600, 1, 'Jan', 0, None, None]","[650, 1, 'Jan', 0, None, None]","[320, 1, 'Dec', 0, None, None]","[1300, 1, 'Jan', 0, None, None]","[900, 1, 'Nov', 0, None, None]","[920, 1, 'Feb', 0, None, None]","[1575, 1, 'Jan', 0, None, None]","[2400, 1, 'Jan', 0, None, None]","[1945, 1, 'Dec', 0, None, None]","[1700, 1, 'Nov', 0, None, None]","[1402, 1, 'Nov', 0, None, None]","[1895, 1, 'Dec', 0, None, None]","[2493, 1, 'Dec', 0, None, None]","[3729, 1, 'Dec', 0, None, None]","[2500, 2, 'Oct', 0, None, None]","[1724, 1, 'Dec', 0, None, None]","[2795, 1, 'Nov', 0, None, None]","[2510, 1, 'Nov', 0, None, None]","[2665, 1, 'Nov', 0, None, None]","[2020, 1, 'Nov', 0, None, None]","[1815, 1, 'Oct', 0, None, None]","[2049, 1, 'Oct', 0, None, None]","[2056, 1, 'Jan', 0, None, None]","[1587, 1, 'Nov', 0, None, None]","[1832, 1, 'Oct', 0, None, None]","[1768, 1, 'Oct', 0, None, None]","[1647, 1, 'Nov', 0, None, None]","[1806, 1, 'Nov', 0, None, None]","[1345, 1, 'Oct', 0, None, None]","[1183, 1, 'Jan', 0, None, None]","[1714, 1, 'Jan', 0, None, None]","[1368, 1, 'Oct', 0, None, None]","[1645, 1, 'Oct', 0, None, None]","[1531, 1, 'Feb', 0, None, None]","[1374, 1, 'Nov', 0, None, None]","[1820, 1, 'Nov', 0, None, None]","[1614, 1, 'Feb', 0, None, None]","[1317, 1, 'Feb', 0, None, None]","[1219, 1, 'Dec', 0, None, None]","[1586, 1, 'Feb', 0, None, None]","[1396, 1, 'Nov', 0, None, None]","[2048, 1, 'Jan', 0, None, None]","[1767, 1, 'Jan', 0, None, None]","[2163, 1, 'Feb', 0, None, None]","[2129, 1, 'Feb', 0, None, None]","[1457, 2, 'Dec', 0, None, None]",2019-12-04 15:20:55
Newtown Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[86, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[246, 1, 'Feb', 0, None, None]",nan,"[110, 1, 'Mar', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[345, 1, 'Feb', 0, None, None]","[275, 1, 'Jan', 0, None, None]","[700, 1, 'Dec', 0, None, None]","[650, 1, 'Jan', 0, None, None]","[600, 1, 'Feb', 0, None, None]","[680, 1, 'Feb', 0, None, None]","[885, 1, 'Feb', 0, None, None]","[695, 1, 'Jan', 0, None, None]","[750, 1, 'Jan', 0, None, None]","[845, 1, 'Jan', 0, None, None]","[785, 1, 'Feb', 0, None, None]","[720, 1, 'Dec', 0, None, None]","[870, 1, 'Jan', 0, None, None]","[1031, 1, 'Feb', 0, None, None]","[990, 1, 'Jan', 0, None, None]","[1289, 1, 'Feb', 0, None, None]","[1117, 1, 'Jan', 0, None, None]","[1125, 1, 'Feb', 0, None, None]","[1213, 2, 'Jan', 0, None, None]","[1664, 1, 'Feb', 0, None, None]","[1708, 1, 'Jan', 0, None, None]","[1559, 1, 'Jan', 0, None, None]","[1475, 2, 'Jan', 0, None, None]","[1676, 1, 'Dec', 0, None, None]","[1472, 2, 'Jan', 0, None, None]","[1411, 1, 'Jan', 1, 'Supplementary visit under the WeBS Low Tide Count Survey', 'WeBS']","[1727, 2, 'Jan', 0, None, None]","[1800, 1, 'Jan', 0, None, None]","[1660, 1, 'Jan', 0, None, None]","[1779, 1, 'Feb', 0, None, None]","[1235, 2, 'Dec', 0, None, None]","[1444, 2, 'Jan', 0, None, None]","[2033, 1, 'Dec', 0, None, None]","[1662, 1, 'Feb', 0, None, None]","[2115, 1, 'Jan', 0, None, None]","[1469, 1, 'Jan', 0, None, None]","[1382, 1, 'Jan', 0, None, None]","[1707, 1, 'Feb', 0, None, None]","[1423, 1, 'Feb', 0, None, None]","[1443, 1, 'Jan', 0, None, None]","[1855, 1, 'Jan', 0, None, None]","[2144, 1, 'Feb', 0, None, None]","[1332, 1, 'Dec', 0, None, None]","[1626, 1, 'Dec', 0, None, None]","[1538, 2, 'Jan', 0, None, None]",2019-12-04 15:20:55
Medway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[127, 1, 'Feb', 0, None, None]","[230, 1, 'Mar', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[150, 1, 'Nov', 0, None, None]","[360, 1, 'Mar', 0, None, None]","[550, 1, 'Feb', 0, None, None]","[721, 1, 'Jan', 0, None, None]","[757, 1, 'Jan', 0, None, None]","[716, 1, 'Dec', 0, None, None]","[1140, 1, 'Jan', 0, None, None]","[840, 1, 'Jan', 0, None, None]",nan,"[1064, 1, 'Dec', 0, None, None]","[1002, 1, 'Dec', 0, None, None]","[844, 1, 'Feb', 0, None, None]","[1065, 1, 'Jan', 0, None, None]","[2654, 1, 'Nov', 0, None, None]","[1576, 1, 'Feb', 0, None, None]","[1305, 1, 'Mar', 0, None, None]","[2653, 1, 'Jan', 0, None, None]","[2888, 1, 'Feb', 0, None, None]","[2896, 1, 'Feb', 0, None, None]","[3093, 1, 'Feb', 0, None, None]","[2466, 1, 'Jan', 0, None, None]","[3730, 1, 'Feb', 0, None, None]","[4484, 1, 'Jan', 0, None, None]","[3822, 1, 'Jan', 0, None, None]","[5104, 1, 'Feb', 0, None, None]","[3121, 1, 'Jan', 0, None, None]","[2733, 2, 'Nov', 0, None, None]","[2526, 2, 'Dec', 0, None, None]","[2638, 1, 'Feb', 0, None, None]","[2551, 2, 'Nov', 0, None, None]","[1771, 2, 'Feb', 0, None, None]","[1029, 1, 'Jan', 0, None, None]","[1678, 1, 'Mar', 0, None, None]","[1167, 1, 'Mar', 0, None, None]","[801, 1, 'Oct', 0, None, None]","[1504, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1515, 2, 'Feb', 0, None, None]","[1076, 1, 'Feb', 0, None, None]","[1367, 1, 'Jan', 0, None, None]","[929, 1, 'Jan', 0, None, None]","[1509, 1, 'Feb', 0, None, None]","[1602, 1, 'Mar', 0, None, None]","[2016, 1, 'Feb', 0, None, None]","[579, 2, 'Mar', 0, None, None]","[1050, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1254, 1, 'Jan', 0, None, None]","[2759, 1, 'Jan', 0, None, None]","[1273, 2, 'Feb', 0, None, None]","[1830, 1, 'Feb', 0, None, None]",2019-12-04 15:20:55
