Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Gravel Farm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0.0,0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,nan,nan,nan,nan,nan,0,nan,0,0,1,2019-11-28 05:17:44
Gresford Flash,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0,0.0,0,0,0,0,0,0.0,(0),0.0,0.0,0,0,0.0,0,0,0,(0),0.0,1,nan,0,0,nan,nan,nan,0,0,1,2019-11-28 05:17:44
Hamford Water,0.0,0.0,(0),0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Harewood Lake,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,(0),0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Hope Carr Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Humber Estuary,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,(0),0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Ingrebourne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.0,0,nan,nan,nan,0,0,0,1,0,(0),nan,nan,nan,nan,0,0,2,2019-11-28 05:18:13
King's Bromley Gravel Pits,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,0,0,2,2019-11-28 05:18:13
Lackford Lakes Nature Reserve,nan,nan,nan,nan,nan,nan,0.0,0.0,0,nan,nan,nan,nan,0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,(0),0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Little Ouse - Thetford,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),(0),1,(0),(0),(0),(0),0,(0),nan,0,0,2,2019-11-28 05:18:13
Llyn Alaw,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,nan,nan,0,0,nan,nan,nan,(0),nan,0,0,2,2019-11-28 05:18:13
Llyn Traffwll,0.0,nan,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Loch Leven,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,1,9Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Loch of Harray,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,(0),0,0,0,0,0.0,0,0.0,0.0,(0),0,0,1,0,0,0,0,(0),0,nan,0,0,2,2019-11-28 05:18:13
Lower Derwent Ings,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Mersey Estuary,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Montrose Basin,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,2,2019-11-28 05:18:13
Morecambe Bay,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,(0),0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
North Norfolk Coast,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,2,0.0,1,2.0,2.0,0,0,1,2,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
North West Solent,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,(0),0,0,0,0.0,0.0,0.0,0,1.0,(0),0,(0),(0),(0),(0),0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,2,2019-11-28 05:18:13
Nosterfield Gravel Pits,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,nan,nan,nan,0,0.0,nan,nan,(0),0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Orwell Estuary,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,(0),0.0,0.0,0.0,0,0.0,0,0,0,0,1Standard visit under the WeBS Low Tide Count SurveyWeBS,1Standard visit under the WeBS Low Tide Count SurveyWeBS,0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Ouse Fen and Pits (Hanson/RSPB),nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0.0,0,0,0,0,nan,0,0,0.0,0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Ouse Washes,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
Pirton Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
R Clyde: Carstairs to Thankerton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),(0),0,0,(0),0,0,0.0,(0),0.0,0.0,0,(0),(0),0,(0),0,(0),1,0,0,nan,0,0,2,2019-11-28 05:18:13
Ribble Estuary,0.0,0.0,0,(0),0.0,0.0,0.0,0.0,(0),0,(0),(0),0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,nan,0,0,2,2019-11-28 05:18:13
River Cam - Kingfishers Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,(0),0,0,0,0,0,0.0,0,0.0,0.0,1,0,1,1,0,0,0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,Nov,0,0,2,2019-11-28 05:18:13
Rivers Eamont and Eden - Honeypot to Edenhall,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,nan,0,0.0,0,0,0,0,nan,0,0,0.0,0,0.0,0.0,0,0,0,0,2,0,0,0,2,0,nan,0,0,2,2019-11-28 05:18:13
Severn Estuary,0.0,0.0,0,0,0.0,0.0,0.0,0.0,(0),(0),0,0,0,0,0.0,0.0,1.0,1,1.0,1,1,0,1,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-28 05:18:13
