Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Cottam Power Station Lagoons and Nature Reserve,0.0,10.0,1.0,10.0,9,19.0,4.0,3.0,6.0,16.0,22.0,24.0,7.0,34.0,6.0,16,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,4,11,2,0,nan,nan,4,4,14,2019-11-29 10:14:59
Culzean Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan,nan,nan,nan,4,4,14,2019-11-29 10:14:59
Ditchford Gravel Pits,0.0,2.0,6.0,5.0,8,3.0,2.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,2,9,0,1,2.0,2.0,2,6,0.0,nan,1,0,0.0,0,0,0,0,4.0,2,2,2,8,0,3,5.0,Apr,4,4,14,2019-11-29 10:14:59
Fort Henry Ponds and Exton Park Lakes,nan,nan,nan,nan,nan,nan,nan,5.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,4,2,3,3,4.0,2.0,2,0,2.0,4.0,2,2,3.0,4,3,4,3,4.0,4Supplementary visit under the WeBS Core Count SurveyWeBS,2,4,4,2,3,5.0,Jul,4,4,14,2019-11-29 10:14:59
Furber's Flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(2),0,(0),1,0.0,1,2,2,4Supplementary visit under the WeBS Core Count SurveyWeBS,11,1,2.0,Feb,4,4,14,2019-11-29 10:14:59
Gerrans Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,11.0,0.0,0,0,6.0,5,5,5,4,4.0,6,6,4,2,14,0,0.0,nan,4,4,14,2019-11-29 10:14:59
Greenlaw Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan,nan,4Supplementary visit under the WeBS Core Count SurveyWeBS,2,2,8Supplementary visit under the WeBS Core Count SurveyWeBS,6.0,Apr,4,4,14,2019-11-29 10:14:59
Grovebury Sandpit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,3,2.0,4,4,2,2,6,3,7.0,May,4,4,14,2019-11-29 10:14:59
Hersey Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,2,2,8,7.0,Jul,4,4,14,2019-11-29 10:14:59
Houghton Gate Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7Supplementary visit under the WeBS Core Count SurveyWeBS,5.0,May,4,4,14,2019-11-29 10:14:59
Hunterston to Fairlie,58.0,79.0,102.0,155.0,128,96.0,187.0,nan,86.0,94.0,88.0,126.0,nan,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,0,1,4,9,1,5.0,Aug,4,4,14,2019-11-29 10:14:59
Joe's Ponds and Rainton Meadows,0.0,0.0,nan,nan,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,nan,2.0,0.0,nan,nan,nan,nan,2,0,0.0,nan,2,4,4,4.0,4,3,2,3,4,4,5.0,Jul,4,4,14,2019-11-29 10:14:59
Kedleston Park Lake,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0.0,0.0,1,0,0.0,0.0,0,0,0.0,nan,nan,nan,nan,nan,3,3,4,6,4,4,1.0,Feb,4,4,14,2019-11-29 10:14:59
King's Dyke Pits Whittlesey,nan,nan,nan,nan,0,7.0,2.0,1.0,0.0,1.0,nan,nan,nan,nan,1.0,4,nan,0,(0),0.0,0.0,2,nan,nan,nan,0,0,3.0,1,0,0,0,2.0,2,4,4,2,5,nan,nan,nan,4,4,14,2019-11-29 10:14:59
Linkswood Sandpit Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2,11,1,0,0.0,0.0,0,0,2.0,0.0,2,1,0.0,0,0,7,2,8.0,3,8,6Supplementary visit under the WeBS Core Count SurveyWeBS,2,4,2,8.0,Jun,4,4,14,2019-11-29 10:14:59
