Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Alt Estuary,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,nan,0,0
Exe Estuary,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,nan,0,0
Lunda Wick,nan,nan,1,1,0,0,0,0,0,0,nan,nan,1,1,0,0,0,0,0,0,nan,0,0
Plym Estuary,nan,nan,(0),(0),(0),(0),1,1,0,0,nan,nan,(0),(0),(0),(0),1,1,0,0,nan,1,0
END
