Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[113, 1, 'Aug', 0, None, None]","[179, 1, 'Sep', 0, None, None]","[97, 1, 'Sep', 0, None, None]","[113, 2, 'Sep', 0, None, None]","[198, 1, 'Aug', 0, None, None]","[180, 1, 'Jun', 0, None, None]","[197, 1, 'Aug', 0, None, None]","[218, 1, 'Aug', 0, None, None]","[318, 1, 'Jun', 0, None, None]","[233, 1, 'Aug', 0, None, None]","[126, 1, 'Aug', 0, None, None]","[144, 1, 'Sep', 0, None, None]","[126, 1, 'Oct', 0, None, None]","[211, 1, 'Oct', 0, None, None]","[125, 1, 'May', 0, None, None]","[162, 1, 'Sep', 0, None, None]","[133, 1, 'Sep', 0, None, None]","[153, 1, 'Aug', 0, None, None]","[173, 1, 'Sep', 0, None, None]","[103, 1, 'Sep', 0, None, None]","[148, 1, 'Oct', 0, None, None]","[113, 1, 'Nov', 0, None, None]","[186, 1, 'Jun', 0, None, None]","[253, 1, 'Oct', 0, None, None]","[400, 1, 'Sep', 0, None, None]",2019-12-05 18:09:04
Lyndridge Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[140, 1, 'Sep', 0, None, None]","[152, 1, 'Oct', 0, None, None]","[141, 1, 'Sep', 0, None, None]","[161, 1, 'Sep', 0, None, None]","[162, 1, 'Sep', 0, None, None]",2019-12-05 18:09:04
Breydon Water and Berney Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[17, 1, 'Jun', 0, None, None]","[15, 1, 'Jun', 0, None, None]","[12, 1, 'Jul', 0, None, None]","[25, 1, 'Jun', 0, None, None]","[48, 1, 'Aug', 0, None, None]","[63, 1, 'Sep', 0, None, None]","[65, 1, 'Jul', 0, None, None]","[82, 1, 'Oct', 0, None, None]","[85, 1, 'Aug', 0, None, None]","[55, 1, 'Jul', 0, None, None]","[134, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[83, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[256, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[192, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[115, 1, 'Aug', 0, None, None]","[108, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[128, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[149, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[138, 1, 'Aug', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[109, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[104, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",2019-12-05 18:09:04
Rutland Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[31, 1, 'Jun', 0, None, None]","[27, 1, 'Sep', 0, None, None]","[35, 1, 'Oct', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[52, 1, 'Dec', 0, None, None]","[54, 1, 'Oct', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[58, 1, 'Jul', 0, None, None]","[70, 1, 'Sep', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[53, 1, 'Sep', 0, None, None]","[64, 1, 'Jul', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[96, 1, 'Sep', 0, None, None]","[63, 1, 'Aug', 0, None, None]","[77, 1, 'Sep', 0, None, None]","[122, 1, 'Sep', 0, None, None]","[133, 1, 'Sep', 0, None, None]","[127, 1, 'Jul', 0, None, None]","[145, 1, 'Sep', 0, None, None]","[124, 1, 'Sep', 0, None, None]","[107, 1, 'Oct', 0, None, None]","[107, 1, 'Sep', 0, None, None]",2019-12-05 18:09:04
Serpentine and Long Water and Round Pond - Kensington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[42, 2, 'May', 0, None, None]","[74, 1, 'Jan', 0, None, None]","[118, 1, 'Jan', 0, None, None]","[107, 1, 'Sep', 0, None, None]","[157, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2019-12-05 18:09:04
"The Long Water, Hampton Court Park (Home Park)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[57, 1, 'Apr', 0, None, None]","[133, 1, 'Sep', 0, None, None]",2019-12-05 18:09:04
Regents Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[78, 1, 'Jun', 0, None, None]","[65, 1, 'Jun', 0, None, None]",2019-12-05 18:09:04
Queen Mary Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[47, 1, 'Aug', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[5, 1, 'May', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[35, 1, 'Oct', 0, None, None]","[75, 1, 'Aug', 0, None, None]","[88, 1, 'Aug', 0, None, None]","[92, 1, 'Oct', 0, None, None]",2019-12-05 18:09:04
R.Thames: Moulsford to Streatley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[33, 1, 'Dec', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[88, 1, 'Sep', 0, None, None]","[45, 1, 'Oct', 0, None, None]","[81, 1, 'Sep', 0, None, None]",2019-12-05 18:09:04
Middle Yare Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 2, 'Nov', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[52, 2, 'Sep', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[44, 1, 'Sep', 0, None, None]","[45, 1, 'Sep', 0, None, None]","[45, 1, 'Oct', 0, None, None]","[72, 1, 'Oct', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[47, 1, 'Sep', 0, None, None]","[26, 1, 'Oct', 0, None, None]","[65, 1, 'Sep', 0, None, None]","[81, 1, 'Sep', 0, None, None]","[30, 2, 'Jun', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[51, 1, 'Oct', 0, None, None]","[42, 1, 'Sep', 0, None, None]","[106, 1, 'Oct', 0, None, None]","[73, 1, 'Nov', 0, None, None]","[72, 1, 'Oct', 0, None, None]","[28, 1, 'Sep', 0, None, None]","[63, 1, 'Sep', 0, None, None]","[11, 1, 'Jan', 0, None, None]",2019-12-05 18:09:04
Trinity Broads,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[8, 2, 'Dec', 0, None, None]",nan,"[13, 2, 'Dec', 0, None, None]","[15, 1, 'May', 0, None, None]","[58, 1, 'Jul', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[18, 1, 'Jun', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[8, 2, 'May', 0, None, None]","[26, 1, 'Jul', 0, None, None]","[33, 1, 'Aug', 0, None, None]","[19, 1, 'Jul', 0, None, None]","[48, 1, 'Jun', 0, None, None]","[73, 1, 'Jul', 0, None, None]","[57, 1, 'Jul', 0, None, None]","[62, 1, 'Jul', 0, None, None]","[39, 1, 'Jun', 0, None, None]","[41, 1, 'Aug', 0, None, None]",nan,nan,2019-12-05 18:09:04
Eversley Cross and Yateley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[69, 1, 'Oct', 0, None, None]","[96, 1, 'Nov', 0, None, None]","[156, 1, 'Sep', 0, None, None]","[117, 1, 'Sep', 0, None, None]","[162, 1, 'Sep', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[191, 1, 'Oct', 0, None, None]","[164, 1, 'Sep', 0, None, None]","[24, 1, 'Jul', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[99, 1, 'Jul', 0, None, None]","[69, 1, 'Oct', 0, None, None]",2019-12-05 18:09:04
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[5, 2, 'Dec', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[6, 1, 'May', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[39, 1, 'Nov', 0, None, None]","[32, 2, 'Dec', 0, None, None]","[32, 1, 'Nov', 0, None, None]","[78, 1, 'Oct', 0, None, None]","[42, 1, 'Sep', 0, None, None]","[54, 1, 'Sep', 0, None, None]","[25, 1, 'Jul', 0, None, None]","[33, 1, 'Jul', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[46, 1, 'Oct', 0, None, None]","[59, 1, 'Jun', 0, None, None]","[68, 1, 'Aug', 0, None, None]",2019-12-05 18:09:04
Queen Mother Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[12, 1, 'May', 0, None, None]","[40, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[81, 1, 'Aug', 0, None, None]","[75, 1, 'Jul', 0, None, None]",2019-12-05 18:09:04
River Avon - Ringwood to Christchurch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 2, 'Mar', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[9, 1, 'May', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[34, 1, 'Oct', 0, None, None]","[59, 1, 'Sep', 0, None, None]","[56, 1, 'Sep', 0, None, None]","[52, 1, 'Oct', 0, None, None]","[7, 1, 'Feb', 0, None, None]",2019-12-05 18:09:04
Spade Oak Gravel Pit (Little Marlow),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[33, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[37, 1, 'Sep', 0, None, None]","[49, 1, 'Sep', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[51, 1, 'Oct', 0, None, None]","[47, 1, 'Nov', 0, None, None]","[31, 1, 'Jan', 0, None, None]","[46, 1, 'Oct', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[61, 1, 'Nov', 0, None, None]","[31, 1, 'Oct', 0, None, None]",2019-12-05 18:09:04
Wimbledon Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[7, 1, 'Sep', 0, None, None]",nan,nan,"[21, 1, 'May', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[25, 1, 'Jun', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[15, 1, 'Apr', 0, None, None]","[32, 1, 'Aug', 0, None, None]","[49, 1, 'Jul', 0, None, None]","[44, 1, 'Aug', 0, None, None]",nan,nan,2019-12-05 18:09:04
