Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Liden Lagoon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Oct', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[17, 1, 'Nov', 0, None, None]","[11, 1, 'Oct', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[15, 1, 'Oct', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[23, 1, 'Nov', 0, None, None]",2019-12-05 18:18:10
Marden Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Jan', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[19, 1, 'Sep', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[23, 1, 'Feb', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[24, 1, 'Nov', 0, None, None]",2019-12-05 18:18:10
Moorgreen Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[17, 1, 'Jan', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[7, 2, 'Mar', 0, None, None]","[38, 2, 'Aug', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[15, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[24, 1, 'Feb', 0, None, None]","[38, 1, 'Oct', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[37, 1, 'Aug', 0, None, None]","[19, 1, 'Jul', 0, None, None]","[28, 1, 'Aug', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[32, 1, 'Aug', 0, None, None]","[6, 1, 'Jan', 0, None, None]",nan,2019-12-05 18:18:10
Radwell Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[11, 1, 'Aug', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[28, 1, 'Nov', 0, None, None]",nan,nan,"[17, 1, 'Feb', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[29, 1, 'Sep', 0, None, None]","[18, 1, 'Aug', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[17, 1, 'Sep', 0, None, None]",2019-12-05 18:18:10
Redgrave and Lopham Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 2, 'Oct', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Jun', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[28, 1, 'Oct', 0, None, None]","[11, 1, 'Aug', 0, None, None]",2019-12-05 18:18:10
Rodley Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jan', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[18, 2, 'Oct', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[22, 1, 'Dec', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[10, 2, 'Dec', 0, None, None]","[23, 1, 'Nov', 0, None, None]","[18, 1, 'Sep', 0, None, None]",2019-12-05 18:18:10
Saddington Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Oct', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[35, 1, 'Jul', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[53, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,nan,nan,"[18, 1, 'Oct', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[29, 2, 'Nov', 0, None, None]","[81, 1, 'Aug', 0, None, None]","[36, 1, 'Oct', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[1, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[17, 1, 'Sep', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[33, 1, 'Nov', 0, None, None]",2019-12-05 18:18:10
Weirwood Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[24, 1, 'Sep', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[40, 2, 'Oct', 0, None, None]","[34, 2, 'Sep', 0, None, None]","[23, 2, 'Sep', 0, None, None]","[19, 2, 'Sep', 0, None, None]","[31, 2, 'Sep', 0, None, None]","[21, 2, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[15, 1, 'Oct', 0, None, None]","[28, 1, 'Sep', 0, None, None]","[28, 1, 'Aug', 0, None, None]","[4, 2, 'May', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[31, 1, 'Oct', 0, None, None]","[41, 1, 'Aug', 0, None, None]","[30, 1, 'Sep', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[25, 1, 'Nov', 0, None, None]","[34, 1, 'Sep', 0, None, None]","[27, 1, 'Oct', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[9, 1, 'Nov', 0, None, None]",2019-12-05 18:18:10
Argal and College Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[28, 1, 'Dec', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[45, 1, 'Oct', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[17, 1, 'Oct', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[32, 1, 'Oct', 0, None, None]","[27, 1, 'Sep', 0, None, None]",2019-12-05 18:18:10
Broadwater Lake (Farncombe),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[24, 1, 'Nov', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[35, 1, 'Dec', 0, None, None]",2019-12-05 18:18:10
