Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Don Mouth to Ythan Mouth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[60, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[200, 1, 'Aug', 0, None, None]","[595, 1, 'Aug', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[153, 1, 'Aug', 0, None, None]","[534, 1, 'Jul', 0, None, None]","[165, 1, 'Aug', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[119, 1, 'Jul', 0, None, None]","[35, 1, 'Apr', 0, None, None]","[317, 1, 'Aug', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[93, 1, 'Sep', 0, None, None]","[18, 1, 'Jul', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[333, 1, 'Sep', 0, None, None]","[300, 1, 'Sep', 0, None, None]","[294, 1, 'Aug', 0, None, None]",2020-01-19 18:11:18
Tyne Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[67, 1, 'May', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[36, 1, 'Jun', 0, None, None]","[16, 1, 'May', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[18, 1, 'May', 0, None, None]","[53, 1, 'Mar', 0, None, None]","[47, 1, 'May', 0, None, None]","[78, 1, 'May', 0, None, None]","[51, 1, 'Jun', 0, None, None]","[64, 1, 'Apr', 0, None, None]","[42, 1, 'Apr', 0, None, None]","[37, 1, 'Apr', 0, None, None]","[14, 1, 'Jul', 0, None, None]","[36, 1, 'Mar', 0, None, None]","[47, 1, 'Apr', 0, None, None]","[114, 1, 'Apr', 0, None, None]","[90, 1, 'Mar', 0, None, None]","[68, 1, 'Mar', 0, None, None]","[684, 1, 'Aug', 0, None, None]","[69, 1, 'Mar', 0, None, None]","[12, 1, 'Jul', 0, None, None]",2020-01-19 18:11:18
Howick to Beadnell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[340, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1208, 1, 'Mar', 0, None, None]","[135, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[310, 1, 'Mar', 0, None, None]","[408, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:11:18
Nigg Bay to Cove Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[846, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[167, 1, 'Mar', 0, None, None]",nan,"[0, 2, '', 0, None, None]",2020-01-19 18:11:18
Winterfield to Barns Ness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[285, 1, 'Sep', 0, None, None]","[430, 1, 'Apr', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[65, 1, 'Aug', 0, None, None]","[30, 1, 'Sep', 0, None, None]","[30, 1, 'Nov', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[480, 1, 'May', 0, None, None]","[311, 1, 'Jul', 0, None, None]",2020-01-19 18:11:18
Anstruther Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jun', 0, None, None]","[155, 1, 'May', 0, None, None]","[22, 1, 'Nov', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[15, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[550, 1, 'Jun', 0, None, None]","[263, 1, 'May', 0, None, None]","[13, 1, 'Apr', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[20, 1, 'May', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[632, 1, 'Oct', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[11, 1, 'Jul', 0, None, None]",2020-01-19 18:11:18
Dungeness and Rye Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[500, 1, 'Jan', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[101, 1, 'Jan', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[200, 1, 'Dec', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[150, 1, 'Nov', 0, None, None]","[200, 1, 'Dec', 0, None, None]",2020-01-19 18:11:18
Drigg Point to St Bees Head,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[78, 1, 'Sep', 0, None, None]","[3, 1, 'Jun', 0, None, None]","[55, 1, 'Sep', 0, None, None]","[47, 1, 'Aug', 0, None, None]","[67, 1, 'Aug', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[417, 1, 'Aug', 0, None, None]","[56, 1, 'Sep', 0, None, None]",2020-01-19 18:11:18
Tees Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[156, 1, 'Jun', 0, None, None]","[2246, 1, 'Aug', 0, None, None]","[4009, 1, 'Aug', 0, None, None]","[110, 1, 'Aug', 0, None, None]","[971, 1, 'Aug', 0, None, None]","[798, 1, 'Sep', 0, None, None]","[391, 1, 'Aug', 0, None, None]","[153, 1, 'Aug', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[30, 1, 'Jul', 0, None, None]","[1492, 1, 'Jul', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[55, 1, 'Apr', 0, None, None]","[112, 1, 'Jun', 0, None, None]","[133, 1, 'Aug', 0, None, None]","[68, 1, 'May', 0, None, None]","[59, 1, 'May', 0, None, None]","[115, 1, 'May', 0, None, None]","[73, 1, 'May', 0, None, None]","[47, 1, 'Jun', 0, None, None]","[85, 1, 'May', 0, None, None]","[81, 1, 'Jun', 0, None, None]","[106, 1, 'May', 0, None, None]","[111, 1, 'May', 0, None, None]","[148, 1, 'Jul', 0, None, None]",2020-01-19 18:11:18
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[66, 1, 'Apr', 0, None, None]","[603, 1, 'Sep', 0, None, None]","[139, 1, 'Sep', 0, None, None]","[280, 1, 'May', 0, None, None]","[202, 1, 'Aug', 0, None, None]","[78, 1, 'Sep', 0, None, None]","[226, 1, 'Feb', 0, None, None]","[254, 1, 'Aug', 0, None, None]","[216, 1, 'Sep', 0, None, None]","[453, 1, 'Sep', 0, None, None]","[426, 1, 'Oct', 0, None, None]","[170, 1, 'Oct', 0, None, None]","[276, 1, 'Sep', 0, None, None]","[379, 1, 'Sep', 0, None, None]","[15, 1, 'Jul', 0, None, None]","[334, 1, 'Oct', 0, None, None]","[141, 1, 'Oct', 0, None, None]","[43, 1, 'Nov', 0, None, None]","[155, 1, 'Oct', 0, None, None]","[114, 1, 'Sep', 0, None, None]","[130, 1, 'Aug', 0, None, None]","[210, 1, 'Mar', 0, None, None]","[25, 1, 'May', 0, None, None]","[14, 1, 'May', 0, None, None]","[26, 1, 'Sep', 0, None, None]",2020-01-19 18:11:18
