Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Loch of Skene,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,1,1,2,2019-11-21 14:24:46
Medway Estuary,(0),0,(0),(0),0.0,0,0,0,0,0,0,0,0,62,(0),0.0,5.0,0,0,0,nan,1,1,2,2019-11-21 14:24:46
Moray Coast,1,0,0,0,14.0,1,0,0,0,0,(29),7,0,(0),0,0.0,0.0,4,0,0,nan,1,1,2,2019-11-21 14:24:46
North Norfolk Coast,1,2,0,1,4.0,1,0,1,0,2,1,3,21,3,2,1.0,0.0,1,2Standard visit under the WeBS Low Tide Count SurveyWeBS,1,Feb,1,1,2,2019-11-21 14:24:46
St Mary's Island,0,0,(1),0,0.0,0,1,nan,0,0,2,19,1,0,0,2.0,0.0,1,0,0,nan,1,1,2,2019-11-21 14:24:46
Ugie Estuary,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,3,6,0,0,5.0,0.0,0,0,0,nan,1,1,2,2019-11-21 14:24:46
Abberton Reservoir,0,0,0,0,0.0,0,0,0,(0),0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Adur Estuary,(0),(0),0,0,0.0,0,0,(0),0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Aldershot Camp Farm Gravel Pits and Sewage Treatment Works,(0),0,0,0,0.0,(0),0,0,0,0,(0),(0),(0),(0),0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Alnmouth,0,0,0,(0),0.0,0,(2),7,0,0,0,0,0,0,0,0.0,0.0,0,1,0,nan,0,0,2,2019-11-21 14:24:46
Alresford Pond,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Alt Estuary,0,0,0,0,0.0,0,0,0,0,0,0,0,(0),0,0,0.0,0.0,0,0,(0),nan,0,0,2,2019-11-21 14:24:46
Anstruther Bay,(0),0,0,1,0.0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Ardivachar Point (South Uist),nan,0,0,nan,0.0,0,0,0,0,0,0,nan,0,0,(0),0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Ardrossan-West Kilbride,nan,0,0,0,0.0,0,0,0,0,(0),0,nan,nan,0,nan,nan,nan,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Arran,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Artro Estuary,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Arun Valley,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Ashworth Moor Reservoir,0,0,0,0,0.0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Axe Estuary (Devon),0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Ayr to North Troon,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Bainton Pits,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Baleshare (North Uist),nan,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Balgray Reservoir,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Ballycastle - Fair Head,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Balranald Nature Reserve,nan,0,(0),0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Bann Estuary,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Barton Broad,nan,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Barton Pits and Catholme,0,0,0,0,0.0,0,0,0,0,0,0,0,(0),0,0,0.0,0.0,nan,nan,nan,nan,0,0,2,2019-11-21 14:24:46
Beaulieu Estuary,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,nan,0,0,2,2019-11-21 14:24:46
Belfast Lough,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Benacre Broad,0,0,0.0,0,0.0,0,39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Berrington Pool,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Besthorpe and Girton Gravel Pits and Fleet,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,(0),nan,0,nan,0,0,3,2019-11-21 14:24:52
