Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Severn Estuary (Welsh counties),nan,0,nan,nan,0.0,0.0,0.0,0.0,(0),(0),4.0,3,4,2.0,2,2,2,5,(2),7.0,6,57,100,139,107,119,128,135,118,107,137,158,125,179,180,206,345,291,254,213,Jul,262,262,1,2019-11-27 18:13:04
Severn Estuary (English counties),6.0,10,11.0,27.0,16.0,24.0,16.0,24.0,44,45,54.0,119,126,132.0,125,131,151,181,239,302.0,299,218,240,290,247,(283),333,315,336,376,246,255,245,231,223,215,253,253,291,272,Feb,257,257,1,2019-11-27 18:13:04
Ditchford Gravel Pits,8.0,86,42.0,40.0,40.0,65.0,35.0,50.0,38,49,46.0,33,39,48.0,53,62,54,80,63,49.0,99,98,85,185,nan,278,205,144,153,140,162,161,153,200,278,209,163,232,346,283,Oct,247,247,1,2019-11-27 18:13:04
Earls Barton Gravel Pits,4.0,47,20.0,37.0,36.0,50.0,49.0,73.0,89,81,128.0,120,139,100.0,47,89,(147),185,153,173.0,238,218,189,219,211,176,114,233,238,269,254,265,245,279,286,252,281,216,166,307,Dec,244,244,1,2019-11-27 18:13:04
Dungeness and Rye Bay,46.0,40,119.0,170.0,207.0,53.0,152.0,110.0,98,86,100.0,140,140,126.0,101,160,163,218,451,393.0,405,374,343,269,246,297,393,315,410,476,489,417,358,285,251,279,315,253,150,173,Oct,234,234,1,2019-11-27 18:13:04
Fen Drayton Lakes,24.0,7,27.0,14.0,6.0,nan,70.0,58.0,59,30,102.0,166Supplementary visit under the WeBS Core Count SurveyWeBS,150Supplementary visit under the WeBS Core Count SurveyWeBS,127.0,93Supplementary visit under the WeBS Core Count SurveyWeBS,195Supplementary visit under the WeBS Core Count SurveyWeBS,166Supplementary visit under the WeBS Core Count SurveyWeBS,228Supplementary visit under the WeBS Core Count SurveyWeBS,286,264.0,294Supplementary visit under the WeBS Core Count SurveyWeBS,369Supplementary visit under the WeBS Core Count SurveyWeBS,255Supplementary visit under the WeBS Core Count SurveyWeBS,238,330,237,323,181,141,144,249,201,358,161,172,(265),194,199,239,257,Jun,231,231,1,2019-11-27 18:13:04
Sutton and Lound Gravel Pits,42.0,41,15.0,28.0,16.0,51.0,23.0,35.0,28,31,38.0,33,nan,nan,82,nan,117,178,193,180.0,nan,103,nan,155,169,118,196,168,241,237,230,241,205,241,253,235,189,245,234Supplementary visit under the WeBS Core Count SurveyWeBS,226,Jul,226,226,1,2019-11-27 18:13:04
Montrose Basin,200.0,186,200.0,0.0,245.0,231.0,161.0,223.0,187,112,191.0,157,141,251.0,220,291,297,299,356,315.0,304,343,327,209,288,228,253,258,256,248,199,262,223,274,267,227,(144),203,(189),(145),Aug,215,215,1,2019-11-27 18:13:04
Deben Estuary,24.0,26,28.0,22.0,10.0,62.0,129.0,123.0,98,(124),138.0,109,0,84.0,92,121,107,100,147,129.0,160,152,124,143,145,177,225,205,173,199,215,178,197,192,171,203,235,(168),186,217,Jan,210,210,1,2019-11-27 18:13:04
Fairburn Ings,85.0,65,104.0,72.0,80.0,111.0,145.0,152.0,112,111,137.0,128,197,119.0,130,197,203,240,237,240.0,280,248,181,130,161,164,nan,312,286,195,204,265,306,288,204,289,(199),221,158,163,Jul,208,208,1,2019-11-27 18:13:04
Forth Estuary,56.0,42,22.0,32.0,36.0,12.0,55.0,64.0,60,88,106.0,32,71,140.0,127,123,97,103,184,194.0,237,217,236,175,257,247,234,228,188,157Supplementary visit under the WeBS Core Count SurveyWeBS,226,185,171,225,174,177,(177),222,223,211,Aug,208,208,1,2019-11-27 18:13:04
Alde Estuary,2.0,6,9.0,10.0,3.0,6.0,10.0,84.0,(176),176,203.0,141,133,116.0,112,79,178,(179),155,207.0,199,161,90,(102),159,123,121,108,162,130,134,125,100,135,132,166,196,179,201,212,Jan,191,191,1,2019-11-27 18:13:04
Inner Firth of Clyde,22.0,25.0,53.0,56.0,33.0,64.0,100,72.0,0.0,(101),105.0,107.0,66,79,52,96,120,141.0,105,166,97,136,106,95,(122),73,74,(82),105,81,(97),90,114,110,120,185,215,161,158,232,Jul,190,190,2,2019-11-27 18:13:27
Middle Tame Valley Gravel Pits,47.0,62.0,56.0,118.0,97.0,56.0,36,43.0,22.0,48,72.0,89.0,68,93,82,(83),175,163.0,203,238,181,148,154,160,140,40,64,10,150,169,280,164,39,128,103,219,144,223,172,190,Oct,190,190,2,2019-11-27 18:13:27
River Severn - Hawford Loch to Cherry Orchard Nature Reserve,nan,nan,nan,nan,nan,nan,nan,16.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158,149,221,224,Dec,188,188,2,2019-11-27 18:13:27
Woodend Loch (Glasgow),nan,nan,nan,nan,nan,4.0,31,43.0,57.0,nan,nan,nan,0,5,8,4,6,2.0,12,3,3,10,85,107,63,34,4,2,5,4,4,7,5,nan,nan,nan,nan,nan,nan,187,Nov,187,187,2,2019-11-27 18:13:27
Ouse Fen and Pits (Hanson/RSPB),nan,nan,nan,nan,nan,nan,nan,0.0,nan,(5),nan,nan,166Supplementary visit under the WeBS Core Count SurveyWeBS,133Supplementary visit under the WeBS Core Count SurveyWeBS,121Supplementary visit under the WeBS Core Count SurveyWeBS,260Supplementary visit under the WeBS Core Count SurveyWeBS,440,26.0,131Supplementary visit under the WeBS Core Count SurveyWeBS,130Supplementary visit under the WeBS Core Count SurveyWeBS,175Supplementary visit under the WeBS Core Count SurveyWeBS,82Supplementary visit under the WeBS Core Count SurveyWeBS,31,nan,101,95,79,146,317,136,191,274,88,226,290,255,170,215,166,126,Oct,186,186,2,2019-11-27 18:13:27
Lower Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82,nan,nan,nan,nan,nan,nan,116,nan,nan,nan,nan,199,286,300,309,266,311,(149),(133),245,150,217,144,152,183,234,211,Dec,185,185,2,2019-11-27 18:13:27
River Avon - Fordingbridge to Ringwood,115.0,139.0,71.0,nan,108.0,78.0,95,94.0,187.0,147,154.0,191.0,176,130,181,180,244,219.0,149,163,185,(206),245,232,200,187,(236),234,(229),281,183,296,227,373,183,(194),195,186,185,165,Jan,185,185,2,2019-11-27 18:13:27
Poole Harbour,36.0,48.0,61.0,44.0,61.0,63.0,56,37.0,53.0,40,54.0,23.0,70,80,147,149,(143),183.0,183,98,226,124,122,148,136,(318),196,169,(107),133,184,131,(190),145,121,137,191,153,170,195,Sep,169,169,2,2019-11-27 18:13:27
Thames Estuary,272.0,455.0,280.0,284.0,286.0,275.0,243,155.0,208.0,247,260.0,298.0,136,162,143,231,246,223.0,277,162,215,213,189,206,208,104,108,150,139,107,160,206,134,217,105,148,154,201,(208),112,Aug,165,165,2,2019-11-27 18:13:27
Whitemoor Haye,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125,240,372,339,268,173,184,211,157,130,161,283,344,93,169,268,123,86,180,Jan,165,165,2,2019-11-27 18:13:27
Humber Estuary,29.0,61.0,100.0,94.0,60.0,82.0,47,12.0,26.0,45,8.0,22.0,34,19,39,142,130,174.0,(158),213,(314),271,303,216,319,156,269,178,350,266,377,453,115,113,161,184,(135),137,158,169,Jul,162,162,2,2019-11-27 18:13:27
River Welland - Spalding to Borough Fen,nan,245.0,249.0,243.0,269.0,265.0,316,305.0,254.0,164,241.0,176.0,111,155,105,129,150,283.0,248,184,247,287,200,150,124,320,231,325,348,160,189,249,358,320,182,171,154,183,142,159,Oct,162,162,2,2019-11-27 18:13:27
Stodmarsh,60.0,50.0,16.0,83.0,91.0,27.0,46,88.0,105.0,nan,nan,128.0,126,120,123,182,214,214.0,249,320,245,(199),289,297,436,195,123,162,137,139,180,312,207,182,131,134,161,140,181,193,Feb,162,162,2,2019-11-27 18:13:27
Avon Valley - Salisbury to Fordingbridge,116.0,141.0,132.0,192.0,161.0,123.0,110,203.0,174.0,153,215.0,208.0,211,146,180,(191),263,272.0,233,215,(239),(263),395,229,(162),311,238,257,196,231,175,197,217,195,184,195,177,126,141,167,Oct,161,161,2,2019-11-27 18:13:27
Christchurch Harbour,367.0,322.0,346.0,334.0,451.0,363.0,(345),370.0,392.0,341,402.0,538.0,250,352,2,108,340,nan,nan,nan,nan,200,(100),137,430Mute Swan counts in Christchurch HarbourDorset Bird Report,51,116,191,157,160,(95),178,135,160,226,124,172,186,180,142,Dec,161,161,2,2019-11-27 18:13:27
Llangorse Lake,nan,nan,17.0,10.0,10.0,9.0,5,8.0,10.0,11,15.0,14.0,14,14,7,25,42,46.0,86,80,116,84,112,83,96,78,41,40,66,116,74,114,136,163,165,(173),143,163,156,167,Sep,160,160,2,2019-11-27 18:13:27
River Earn - Forteviot Bridge to Kinkell Bridge,9.0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,nan,nan,nan,nan,nan,8,41.0,8,44,38,19,20,34,44,56,119,75,25,28,184,233,57,95,105,166,110,209,144,166,Dec,159,159,2,2019-11-27 18:13:27
Breydon Water and Berney Marshes,57.0,56.0,68.0,127.0,139.0,169.0,88,105.0,150.0,105,213.0,370.0,194,149,161,103,110,133.0,155,129,171,171,116,106,161,163,151,112,150,182Supplementary roost count under the WeBS Core Count SurveyWeBS,90,105,81,95,168Supplementary visit under the WeBS Core Count SurveyWeBS,197Supplementary visit under the WeBS Core Count SurveyWeBS,126,145Supplementary visit under the WeBS Core Count SurveyWeBS,170Supplementary roost count under the WeBS Core Count SurveyWeBS,136,May,155,155,2,2019-11-27 18:13:27
Narford Lake,nan,nan,nan,nan,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154,Sep,154,154,2,2019-11-27 18:13:27
Hatfield Moors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,(0),nan,nan,(152),(97),nan,nan,nan,125,125,2,2019-11-27 18:13:27
Chew Valley Lake,91.0,47.0,98.0,54.0,113.0,77.0,86,84.0,67.0,58,65.0,73.0,77,99,117,161,102,104.0,166,107,117,126,112,103,107,103,130,120,95,100,110,140,140,180,140,145,95,155,155,185,Sep,147,147,2,2019-11-27 18:13:27
Trinity Broads,nan,nan,nan,nan,0.0,6.0,4,6.0,2.0,5,9.0,18.0,26,46,nan,nan,nan,40.0,nan,52,(100),80,77,(16),24,36,(45),52,88,67,74,118,265,163,103,121,139,181,nan,nan,nan,147,147,2,2019-11-27 18:13:27
Radwell Lakes,18.0,45.0,6.0,4.0,36.0,7.0,13,27.0,nan,41,81.0,36.0,59,83,nan,48,nan,nan,nan,nan,53,96,63,68,147,119,nan,nan,104,150,194,197,210,238,172,170,171,154,127,105,Nov,145,145,2,2019-11-27 18:13:27
Strangford Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,176,212.0,174.0,195,114,151Standard visit under the WeBS Low Tide Count SurveyWeBS,213,131,98.0,83,96,111,225,174,183,180,193,94,133,59,252,111,221,186,123,195,187,100,183,144,113,Oct,145,145,2,2019-11-27 18:13:27
Nene Washes,167.0,56.0,62.0,88.0,85.0,164.0,120,179.0,nan,nan,174.0,176.0,167,155,229,366,233,199.0,179,400,241,136,342,175,161,145,81,124,228,181,207,77,86,194,146,200,131,146,110,135,Apr,144,144,2,2019-11-27 18:13:27
River Earn - Lawhill Oxbows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,18,2,2,10,27,15,25,29,202,(56),84,103,156,82,194,144,nan,nan,144,144,2,2019-11-27 18:13:27
Stanwick Gravel Pits Consolidated,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,11.0,14,21,60,20,33,31.0,39,(25),42,42,nan,(62),nan,75,nan,113,nan,nan,(105),(203),110,nan,165,147,146,128,96,203,Mar,144,144,2,2019-11-27 18:13:27
Tay Estuary,13.0,2.0,8.0,3.0,8.0,0.0,2,31.0,34.0,23,39.0,63.0,49,58,48,32,116,107.0,112,42,(87),78,53,81,125,226,(184),129,193,(149),158,166,(196),(147),78,172,(204),(169),82,95Supplementary visit under the WeBS Core Count SurveyWeBS,Aug,144,144,2,2019-11-27 18:13:27
Deeping St James,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,50.0,72,71,5,8,2,3.0,nan,nan,nan,nan,nan,41,26,9,14,28,94,nan,nan,nan,130,190,171,38,136,193,123,220,Jul,142,142,2,2019-11-27 18:13:27
Clumber Park Lake,38.0,22.0,34.0,41.0,23.0,25.0,20,24.0,37.0,38,18.0,34.0,15,21,14,15,21,12.0,16,(19),11,13,16,31,51,13,nan,72,71,90,95,162,(129),126,148,134,128,115,163,161,Sep,140,140,2,2019-11-27 18:13:27
Pitsford Reservoir,18.0,26.0,35.0,64.0,39.0,43.0,49.0,29.0,32.0,57.0,46.0,24.0,46.0,68.0,80,60,91,109,102,113,(126),136,159,121,122,160,204,146.0,121,97,80,137,152,124,122,104,145.0,106,128,215,Aug,140,140,3,2019-11-27 18:13:50
Loch of Skene,1.0,4.0,8.0,6.0,5.0,5.0,14.0,14.0,23.0,52.0,nan,175.0,275.0,329.0,375,404,180,101,57,(138),142,137,69,34,31,89,72,70.0,60,68,67,72,77,84,130,127,150.0,135,128,151,Jun,138,138,3,2019-11-27 18:13:50
Serpentine and Long Water and Round Pond - Kensington,11.0,3.0,7.0,5.0,8.0,nan,nan,3.0,nan,nan,nan,13.0,nan,nan,7,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(66),115.0,129,148Supplementary visit under the WeBS Core Count SurveyWeBS,160Supplementary visit under the WeBS Core Count SurveyWeBS,Sep,138,138,3,2019-11-27 18:13:50
Ringstead Gravel Pits,nan,nan,33.0,39.0,31.0,17.0,60.0,43.0,24.0,29.0,96.0,100.0,78.0,52.0,3,101,36,54,21,116,nan,nan,nan,104,nan,85,nan,nan,nan,nan,118,139,115,114,157,134,150.0,157,145,99,Sep,137,137,3,2019-11-27 18:13:50
Windermere,24.0,7.0,31.0,46.0,31.0,nan,51.0,88.0,31.0,26.0,58.0,62.0,82.0,136.0,165,169,153,159,153,213,nan,nan,nan,(164),141,(171),153,206.0,248,249Supplementary visit under the WeBS Core Count SurveyWeBS,159Supplementary visit under the WeBS Core Count SurveyWeBS,186Supplementary visit under the WeBS Core Count SurveyWeBS,141,143,140,138,162.0,106,nan,nan,nan,135,135,3,2019-11-27 18:13:50
Hogganfield Loch,3.0,19.0,29.0,nan,nan,33.0,42.0,92.0,99.0,nan,nan,nan,nan,48.0,55,81,117,146,154,121,178,205,153,173,157,193,179,162.0,142,134,157,173,145,140,134,130,149.0,136,136,118,Jul,134,134,3,2019-11-27 18:13:50
Hornsea Mere,45.0,78.0,90.0,70.0,81.0,85.0,29.0,58.0,70.0,79.0,58.0,105.0,nan,nan,nan,82,110,nan,40,49,394,364,346,217,486,527Supplementary visit under the WeBS Core Count SurveyWeBS,520Supplementary visit under the WeBS Core Count SurveyWeBS,462.0,375,290,155,318Supplementary visit under the WeBS Core Count SurveyWeBS,196,346Supplementary visit under the WeBS Core Count SurveyWeBS,364Supplementary visit under the WeBS Core Count SurveyWeBS,35,131.0,146,128,228,Aug,134,134,3,2019-11-27 18:13:50
Southport Marina,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,94.0,95,100,153,242,285,231,252,143,132,138,142,nan,nan,170.0,240,212,200,175,187,186,189,136,90.0,90,143,207,Jul,133,133,3,2019-11-27 18:13:50
Clifford Hill Gravel Pits Consolidated,19.0,6.0,33.0,59.0,33.0,17.0,40.0,23.0,22.0,18.0,32.0,41.0,79.0,104.0,43,133,171,86,220,156,114,166,127,97,135,165,86,167.0,177,115,142,186Supplementary visit under the WeBS Core Count SurveyWeBS,206,154,157,81,126.0,148,135,172,Jul,132,132,3,2019-11-27 18:13:50
Lee Valley Gravel Pits,60.0,20.0,16.0,87.0,65.0,77.0,50.0,53.0,56.0,69.0,51.0,108.0,93.0,74.0,93,113,162,104,123,116,126,152,129,193,162,123,126,172.0,116,159,174,194,181,194,149,157,143.0,125,104,(128),Oct,132,132,3,2019-11-27 18:13:50
Willen Lake,43.0,42.0,62.0,24.0,70.0,34.0,26.0,42.0,37.0,168.0,57.0,56.0,49.0,22.0,16,21,11,18,19,33,24,41,96,106,139,165,117,7.0,84,78,33,nan,nan,15,98,182,22.0,nan,215,110,Sep,132,132,3,2019-11-27 18:13:50
Hardley Flood,nan,nan,nan,nan,nan,7.0,9.0,2.0,9.0,5.0,3.0,33.0,52.0,63.0,68,32,73,73,nan,nan,nan,nan,108,nan,194,193,202,39.0,37,17,85,105,76,73,16,145,142.0,106,nan,nan,nan,131,131,3,2019-11-27 18:13:50
River Wye - Sellack Marsh to Sellack Boat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,nan,nan,nan,nan,130,130,3,2019-11-27 18:13:50
