Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Cresswell to Chevington Burn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[19, 1, 'Feb', 0, None, None]",nan,"[4, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[42, 1, 'Oct', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[41, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[17, 1, 'Oct', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[70, 1, 'Sep', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[41, 2, 'Feb', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[124, 1, 'Nov', 0, None, None]","[28, 2, 'Feb', 0, None, None]","[167, 1, 'Sep', 0, None, None]","[27, 1, 'Sep', 0, None, None]","[35, 2, 'Dec', 0, None, None]","[7, 2, 'Mar', 0, None, None]","[9, 2, 'Jan', 0, None, None]","[22, 1, 'Dec', 0, None, None]","[48, 2, 'Dec', 0, None, None]","[69, 2, 'Jan', 0, None, None]",2020-01-19 18:05:33
Doon Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[360, 1, 'Feb', 0, None, None]","[380, 1, 'Jan', 0, None, None]","[140, 1, 'Feb', 0, None, None]","[180, 1, 'Aug', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[216, 1, 'Jan', 0, None, None]","[30, 1, 'Oct', 0, None, None]","[150, 1, 'Jan', 0, None, None]","[40, 1, 'Feb', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[450, 1, 'Jan', 0, None, None]","[80, 1, 'Dec', 0, None, None]","[86, 1, 'Jan', 0, None, None]","[56, 1, 'Jan', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[121, 1, 'Dec', 0, None, None]","[66, 1, 'Sep', 0, None, None]","[55, 1, 'Jan', 0, None, None]","[82, 1, 'Sep', 0, None, None]","[237, 1, 'Mar', 0, None, None]","[152, 1, 'Nov', 0, None, None]","[504, 1, 'Feb', 0, None, None]","[390, 1, 'Feb', 0, None, None]","[545, 1, 'Feb', 0, None, None]","[672, 1, 'Sep', 0, None, None]","[796, 1, 'Aug', 0, None, None]","[44, 1, 'Mar', 0, None, None]","[70, 2, 'Jan', 0, None, None]","[75, 1, 'Oct', 0, None, None]","[85, 1, 'Sep', 0, None, None]","[77, 1, 'Feb', 0, None, None]","[77, 1, 'Oct', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[55, 1, 'Oct', 0, None, None]","[63, 1, 'Feb', 0, None, None]",nan,"[133, 1, 'Sep', 0, None, None]","[36, 1, 'Oct', 0, None, None]",nan,"[46, 1, 'Oct', 0, None, None]","[35, 1, 'Mar', 0, None, None]","[69, 1, 'Jan', 0, None, None]","[32, 1, 'Sep', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[76, 1, 'Mar', 0, None, None]","[78, 1, 'Dec', 0, None, None]",2020-01-19 18:05:33
Durham Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[69, 1, 'Nov', 0, None, None]","[70, 1, 'Sep', 0, None, None]","[152, 2, 'Feb', 0, None, None]","[207, 2, 'Jan', 0, None, None]","[80, 1, 'Jan', 0, None, None]","[92, 2, 'Aug', 0, None, None]","[72, 1, 'Dec', 0, None, None]","[68, 1, 'Jan', 0, None, None]","[84, 1, 'Feb', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[122, 1, 'Dec', 0, None, None]","[118, 1, 'Jan', 0, None, None]","[56, 1, 'Oct', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[21, 1, 'Jun', 0, None, None]","[42, 1, 'Dec', 0, None, None]","[43, 1, 'Oct', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[152, 1, 'Dec', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[42, 1, 'Jan', 0, None, None]",2020-01-19 18:05:33
Greenan Loch (Bute),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[100, 1, 'Mar', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[96, 1, 'Dec', 0, None, None]","[124, 1, 'Mar', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[200, 2, 'Mar', 0, None, None]","[43, 1, 'Feb', 0, None, None]","[260, 1, 'Mar', 0, None, None]","[220, 1, 'Mar', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[180, 1, 'Jan', 0, None, None]","[220, 1, 'Mar', 0, None, None]","[120, 1, 'Mar', 0, None, None]","[255, 1, 'Mar', 0, None, None]","[190, 1, 'Feb', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[160, 2, 'Mar', 0, None, None]","[120, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[80, 1, 'Mar', 0, None, None]","[81, 1, 'Mar', 0, None, None]","[63, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:05:33
River Ribble - Trough House to Siddows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[77, 1, 'Mar', 0, None, None]","[49, 1, 'Mar', 0, None, None]","[113, 1, 'Mar', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[96, 1, 'Feb', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[9, 1, 'Feb', 0, None, None]",2020-01-19 18:05:33
Dart Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Mar', 0, None, None]","[118, 1, 'Dec', 0, None, None]","[164, 1, 'Sep', 0, None, None]","[30, 2, 'Jan', 0, None, None]","[35, 2, 'Feb', 0, None, None]","[40, 2, 'Sep', 0, None, None]","[150, 1, 'Sep', 0, None, None]","[57, 1, 'Dec', 0, None, None]","[216, 1, 'Oct', 0, None, None]","[62, 1, 'Feb', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[69, 1, 'Jan', 0, None, None]","[88, 1, 'Dec', 0, None, None]","[64, 1, 'Jan', 0, None, None]","[71, 1, 'Jan', 0, None, None]","[86, 1, 'Feb', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[27, 1, 'Feb', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[140, 1, 'Oct', 0, None, None]","[3, 2, 'Apr', 0, None, None]","[111, 2, 'Sep', 0, None, None]","[115, 2, 'Sep', 0, None, None]","[114, 1, 'Aug', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[86, 1, 'Oct', 0, None, None]","[61, 1, 'Jul', 0, None, None]","[116, 1, 'Sep', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[40, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[84, 1, 'Jan', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[63, 1, 'Sep', 0, None, None]","[73, 1, 'Sep', 0, None, None]","[57, 1, 'Nov', 0, None, None]","[42, 1, 'Sep', 0, None, None]","[30, 2, 'Dec', 0, None, None]","[48, 1, 'Sep', 0, None, None]","[50, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[74, 1, 'Nov', 0, None, None]","[34, 1, 'Feb', 0, None, None]","[56, 1, 'Jan', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[45, 1, 'Jul', 0, None, None]","[63, 1, 'Oct', 0, None, None]",2020-01-19 18:05:33
Harold's Wick,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[62, 1, 'Feb', 0, None, None]","[43, 1, 'Jul', 0, None, None]","[62, 1, 'Mar', 0, None, None]","[28, 1, 'Aug', 0, None, None]","[33, 1, 'Sep', 0, None, None]","[124, 1, 'Jan', 0, None, None]","[94, 1, 'Feb', 0, None, None]","[62, 1, 'Dec', 0, None, None]","[58, 1, 'Feb', 0, None, None]","[49, 1, 'Nov', 0, None, None]","[55, 1, 'Dec', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[45, 1, 'Jan', 0, None, None]","[44, 1, 'Feb', 0, None, None]","[77, 1, 'Jan', 0, None, None]","[46, 1, 'Jan', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[28, 1, 'Aug', 0, None, None]",nan,2020-01-19 18:05:33
Lough McNean Lower,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[130, 1, 'Jan', 0, None, None]","[86, 1, 'Nov', 0, None, None]","[135, 1, 'Dec', 0, None, None]","[113, 1, 'Feb', 0, None, None]","[89, 1, 'Mar', 0, None, None]","[195, 1, 'Jan', 0, None, None]","[182, 1, 'Jan', 0, None, None]","[112, 1, 'Jan', 0, None, None]","[70, 1, 'Dec', 0, None, None]",nan,nan,nan,"[116, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[39, 1, 'Dec', 0, None, None]",nan,"[41, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[31, 1, 'Jan', 0, None, None]","[76, 1, 'Jan', 0, None, None]","[57, 1, 'Feb', 0, None, None]",nan,"[85, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]",nan,nan,2020-01-19 18:05:33
Fairburn Ings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[1, 1, 'May', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[16, 1, 'Mar', 0, None, None]","[15, 2, 'Feb', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[23, 1, 'Mar', 0, None, None]","[36, 1, 'Feb', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[36, 1, 'Jan', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[88, 2, 'Sep', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[36, 1, 'Jan', 0, None, None]",2020-01-19 18:05:33
Loch Lomond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[40, 2, 'Mar', 0, None, None]",nan,"[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[61, 2, 'Mar', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[25, 2, 'Mar', 0, None, None]","[43, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[47, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[46, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[61, 1, 'Mar', 0, None, None]","[103, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]",2020-01-19 18:05:33
