Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[718, 1, 'Jan', 0, None, None]","[500, 1, 'Jan', 0, None, None]","[987, 1, 'Jan', 0, None, None]","[540, 1, 'Jan', 0, None, None]","[172, 1, 'Nov', 0, None, None]","[215, 1, 'Jan', 0, None, None]","[900, 1, 'Nov', 0, None, None]","[568, 1, 'Nov', 0, None, None]","[140, 1, 'Jan', 0, None, None]","[1190, 1, 'Jan', 0, None, None]","[650, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[4000, 1, 'Sep', 0, None, None]","[120, 1, 'Feb', 0, None, None]","[3150, 1, 'Jan', 0, None, None]","[4400, 1, 'Jan', 0, None, None]","[449, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[3800, 1, 'Sep', 0, None, None]","[4346, 1, 'Oct', 0, None, None]","[4144, 1, 'Oct', 0, None, None]","[6247, 1, 'Mar', 0, None, None]","[5740, 1, 'Jul', 0, None, None]","[7604, 1, 'Sep', 0, None, None]","[8173, 1, 'Sep', 0, None, None]","[8089, 1, 'Sep', 0, None, None]","[7509, 1, 'Nov', 0, None, None]","[6886, 1, 'Aug', 0, None, None]","[6708, 1, 'Nov', 0, None, None]","[4882, 1, 'Jul', 0, None, None]","[5567, 1, 'Jan', 0, None, None]","[8200, 2, 'Oct', 0, None, None]","[8131, 1, 'Oct', 0, None, None]","[6713, 1, 'Nov', 0, None, None]","[5306, 1, 'Jul', 0, None, None]","[3903, 1, 'Dec', 0, None, None]","[4541, 1, 'Jul', 0, None, None]","[3950, 1, 'Jul', 0, None, None]","[5300, 1, 'Aug', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[3815, 1, 'Apr', 0, None, None]","[3374, 1, 'May', 0, None, None]","[2138, 1, 'May', 0, None, None]","[5534, 1, 'Feb', 0, None, None]","[4248, 1, 'Mar', 0, None, None]","[6151, 1, 'Dec', 0, None, None]","[7121, 1, 'Mar', 0, None, None]","[5608, 1, 'Feb', 0, None, None]","[6303, 1, 'Nov', 0, None, None]","[5757, 1, 'Oct', 0, None, None]","[4320, 1, 'Sep', 0, None, None]","[4667, 1, 'Nov', 0, None, None]","[7374, 1, 'Nov', 0, None, None]",2019-12-06 11:13:08
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1600, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3388, 1, 'Mar', 0, None, None]","[1800, 1, 'Mar', 0, None, None]","[1655, 1, 'Mar', 0, None, None]","[4062, 1, 'Jan', 0, None, None]","[3933, 1, 'Jan', 0, None, None]","[2546, 1, 'Jan', 0, None, None]","[5410, 1, 'Mar', 0, None, None]","[8550, 1, 'Feb', 0, None, None]","[9685, 1, 'Feb', 0, None, None]","[5331, 1, 'Jan', 0, None, None]","[4136, 1, 'Feb', 0, None, None]","[5959, 1, 'Dec', 0, None, None]","[3617, 1, 'Dec', 0, None, None]","[3429, 1, 'Dec', 0, None, None]","[3330, 1, 'Oct', 0, None, None]","[4352, 1, 'Sep', 0, None, None]","[3894, 1, 'Sep', 0, None, None]","[2310, 1, 'Dec', 0, None, None]","[3300, 1, 'Sep', 0, None, None]","[3492, 1, 'Oct', 0, None, None]","[4467, 1, 'Dec', 0, None, None]","[4613, 1, 'Feb', 0, None, None]","[3955, 1, 'Feb', 0, None, None]","[8187, 1, 'Feb', 0, None, None]","[7762, 1, 'Oct', 0, None, None]","[6672, 1, 'Sep', 0, None, None]","[9375, 1, 'Mar', 0, None, None]","[9698, 2, 'Aug', 0, None, None]","[8959, 1, 'Sep', 0, None, None]","[7533, 1, 'Sep', 0, None, None]","[9166, 1, 'Jul', 0, None, None]","[6937, 1, 'Sep', 0, None, None]","[7171, 1, 'Sep', 0, None, None]","[6283, 1, 'Sep', 0, None, None]","[8893, 1, 'Aug', 0, None, None]","[5684, 1, 'Sep', 0, None, None]","[7616, 1, 'Mar', 0, None, None]","[7014, 1, 'Aug', 0, None, None]","[4750, 1, 'Mar', 0, None, None]","[5047, 1, 'Sep', 0, None, None]","[5646, 1, 'Aug', 0, None, None]","[4571, 1, 'Aug', 0, None, None]","[5925, 1, 'Sep', 0, None, None]","[4273, 1, 'Mar', 0, None, None]","[7387, 2, 'Feb', 0, None, None]","[5123, 1, 'Aug', 0, None, None]","[3687, 1, 'Sep', 0, None, None]","[4310, 1, 'Aug', 0, None, None]","[5267, 1, 'Sep', 0, None, None]","[5627, 1, 'Jan', 0, None, None]","[5634, 1, 'Aug', 0, None, None]","[5035, 1, 'Sep', 0, None, None]",2019-12-06 11:13:08
Tay Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8000, 1, 'Jan', 0, None, None]","[301, 1, 'Jan', 0, None, None]","[4400, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[21110, 1, 'Nov', 0, None, None]","[16001, 1, 'Nov', 0, None, None]","[16508, 1, 'Nov', 0, None, None]","[5500, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[2000, 1, 'Sep', 0, None, None]","[3030, 1, 'Sep', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[15460, 1, 'Oct', 0, None, None]","[13600, 1, 'Oct', 0, None, None]","[100, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[14100, 1, 'Nov', 0, None, None]","[1000, 1, 'Jan', 0, None, None]","[307, 1, 'Mar', 0, None, None]","[440, 1, 'Nov', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[30000, 1, 'Nov', 0, None, None]","[20000, 1, 'Feb', 0, None, None]","[5000, 1, 'Sep', 0, None, None]","[251, 2, 'Sep', 0, None, None]","[2468, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[4200, 2, 'Nov', 0, None, None]","[60, 1, 'Nov', 0, None, None]","[12255, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[7055, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[6030, 1, 'Nov', 0, None, None]","[32, 1, 'Apr', 0, None, None]","[190, 1, 'Jul', 0, None, None]","[7500, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[6000, 1, 'Oct', 0, None, None]","[4700, 1, 'Nov', 0, None, None]","[5636, 1, 'Dec', 0, None, None]","[11500, 1, 'Feb', 0, None, None]","[9164, 2, 'Jan', 0, None, None]","[7500, 2, 'Nov', 0, None, None]","[4000, 1, 'Sep', 0, None, None]","[5100, 1, 'Nov', 0, None, None]","[1450, 1, 'Nov', 0, None, None]","[13000, 1, 'Nov', 0, None, None]","[10530, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3953, 2, 'Nov', 0, None, None]","[5470, 1, 'Nov', 0, None, None]","[4720, 2, 'Oct', 0, None, None]","[4000, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4700, 2, 'Dec', 0, None, None]",2019-12-06 11:13:08
Belfast Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[346, 1, 'Nov', 0, None, None]","[108, 1, 'Feb', 0, None, None]","[137, 1, 'Aug', 0, None, None]","[440, 1, 'Nov', 0, None, None]","[1227, 1, 'Dec', 0, None, None]","[1107, 1, 'Oct', 0, None, None]","[641, 1, 'Oct', 0, None, None]","[952, 1, 'Nov', 0, None, None]","[695, 1, 'Oct', 0, None, None]","[1020, 2, 'Dec', 0, None, None]","[448, 1, 'Dec', 0, None, None]","[580, 1, 'Oct', 0, None, None]","[913, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1076, 1, 'Sep', 0, None, None]","[2219, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[906, 1, 'Feb', 0, None, None]","[1016, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1813, 1, 'Sep', 0, None, None]","[1490, 1, 'Dec', 0, None, None]","[1839, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1482, 1, 'Jan', 0, None, None]","[2675, 1, 'Dec', 0, None, None]","[2062, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2352, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2372, 1, 'Mar', 0, None, None]","[3673, 1, 'Jan', 0, None, None]","[2655, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3579, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[4114, 1, 'Nov', 0, None, None]","[3642, 1, 'Oct', 0, None, None]","[4542, 1, 'Nov', 0, None, None]","[4393, 1, 'Nov', 0, None, None]",2019-12-06 11:13:08
Inner Firth of Clyde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[440, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[1697, 1, 'Sep', 0, None, None]","[1500, 1, 'Nov', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[1614, 1, 'Feb', 0, None, None]","[3200, 1, 'Jan', 0, None, None]",nan,"[1208, 1, 'Jan', 0, None, None]","[3177, 1, 'Oct', 0, None, None]","[1459, 1, 'Jan', 0, None, None]","[2489, 1, 'Feb', 0, None, None]","[1594, 1, 'Dec', 0, None, None]","[1601, 1, 'Dec', 0, None, None]","[3501, 1, 'Oct', 0, None, None]","[2560, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[4325, 2, 'Sep', 0, None, None]","[4384, 1, 'Oct', 0, None, None]","[4674, 1, 'Nov', 0, None, None]","[2939, 2, 'Oct', 0, None, None]","[4164, 1, 'Oct', 0, None, None]","[2584, 1, 'Oct', 0, None, None]","[3450, 1, 'Oct', 0, None, None]","[3638, 1, 'Oct', 0, None, None]","[4238, 1, 'Oct', 0, None, None]","[18902, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[19393, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[14529, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[17596, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[14679, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[15692, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[14297, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[15276, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[13042, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[8055, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[9590, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[3960, 1, 'Aug', 0, None, None]","[3262, 1, 'Sep', 0, None, None]","[2932, 1, 'Aug', 0, None, None]","[3019, 1, 'Aug', 0, None, None]","[1952, 1, 'Aug', 0, None, None]","[2277, 1, 'Aug', 0, None, None]","[2281, 1, 'Sep', 0, None, None]","[1972, 1, 'Sep', 0, None, None]","[2784, 1, 'Sep', 0, None, None]","[2570, 1, 'Sep', 0, None, None]","[2452, 1, 'Sep', 0, None, None]",2019-12-06 11:13:08
Don Mouth to Ythan Mouth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[200, 1, 'Jan', 0, None, None]","[800, 1, 'Oct', 0, None, None]","[960, 1, 'Oct', 0, None, None]","[1320, 1, 'Oct', 0, None, None]","[1200, 1, 'Oct', 0, None, None]","[1080, 1, 'Oct', 0, None, None]","[4790, 1, 'Sep', 0, None, None]","[8800, 1, 'Aug', 0, None, None]","[8163, 1, 'Sep', 0, None, None]","[391, 1, 'Mar', 0, None, None]","[4277, 1, 'Sep', 0, None, None]","[1243, 1, 'Sep', 0, None, None]","[497, 1, 'Feb', 0, None, None]","[1639, 1, 'Sep', 0, None, None]","[9000, 1, 'Aug', 0, None, None]","[5520, 1, 'Aug', 0, None, None]","[2649, 1, 'Sep', 0, None, None]","[1152, 1, 'Sep', 0, None, None]","[1591, 1, 'Sep', 0, None, None]","[2886, 1, 'Sep', 0, None, None]","[400, 1, 'Dec', 0, None, None]","[2500, 1, 'Sep', 0, None, None]","[2220, 1, 'Sep', 0, None, None]","[3500, 2, 'Jul', 0, None, None]","[3000, 2, 'Aug', 0, None, None]","[107, 2, 'Oct', 0, None, None]","[1215, 1, 'Sep', 0, None, None]","[2159, 2, 'Sep', 0, None, None]","[360, 1, 'Aug', 0, None, None]","[634, 1, 'Aug', 0, None, None]","[224, 1, 'Sep', 0, None, None]","[475, 1, 'Sep', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[715, 2, 'Jun', 0, None, None]","[1117, 1, 'Apr', 0, None, None]","[270, 2, 'Aug', 0, None, None]","[538, 1, 'Sep', 0, None, None]","[111, 1, 'Nov', 0, None, None]","[132, 1, 'Jun', 0, None, None]","[794, 1, 'Nov', 0, None, None]","[133, 1, 'May', 0, None, None]","[370, 2, 'Oct', 0, None, None]","[226, 1, 'Jul', 0, None, None]","[909, 1, 'Jun', 0, None, None]","[3710, 1, 'Sep', 0, None, None]","[1352, 1, 'Sep', 0, None, None]","[3060, 1, 'Aug', 0, None, None]","[2000, 1, 'Aug', 0, None, None]",2019-12-06 11:13:08
Ythan Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[703, 1, 'Feb', 0, None, None]","[1156, 1, 'Jan', 0, None, None]","[834, 1, 'Jan', 0, None, None]","[864, 1, 'Nov', 0, None, None]","[1134, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1314, 1, 'Jan', 0, None, None]","[1640, 1, 'Jan', 0, None, None]","[1415, 1, 'Nov', 0, None, None]","[1564, 1, 'Oct', 0, None, None]","[2418, 1, 'Sep', 0, None, None]","[1729, 1, 'Oct', 0, None, None]","[1849, 1, 'Oct', 0, None, None]","[1695, 1, 'Sep', 0, None, None]","[1445, 1, 'Oct', 0, None, None]","[1962, 1, 'Oct', 0, None, None]","[1670, 1, 'Oct', 0, None, None]","[2000, 1, 'Sep', 0, None, None]","[1316, 1, 'Sep', 0, None, None]","[1689, 1, 'Sep', 0, None, None]","[1661, 1, 'Oct', 0, None, None]","[1831, 1, 'Oct', 0, None, None]","[1315, 1, 'Oct', 0, None, None]","[1013, 1, 'Sep', 0, None, None]","[2322, 1, 'Mar', 0, None, None]","[2586, 1, 'Sep', 0, None, None]","[2065, 1, 'Jul', 0, None, None]","[3150, 1, 'May', 0, None, None]","[2850, 1, 'Jun', 0, None, None]","[3700, 1, 'Aug', 0, None, None]","[3210, 1, 'Jun', 0, None, None]","[3366, 1, 'Jul', 0, None, None]","[3944, 1, 'Jun', 0, None, None]","[3800, 1, 'Jul', 0, None, None]","[583, 1, 'Jan', 0, None, None]","[3531, 1, 'May', 0, None, None]","[2082, 1, 'Apr', 0, None, None]","[3417, 1, 'Jun', 0, None, None]","[4212, 2, 'May', 0, None, None]","[3580, 1, 'May', 0, None, None]","[3607, 2, 'May', 0, None, None]","[3140, 2, 'May', 0, None, None]","[3351, 1, 'May', 0, None, None]","[3079, 1, 'Jun', 0, None, None]","[2326, 1, 'May', 0, None, None]","[1975, 1, 'May', 0, None, None]","[1631, 1, 'May', 0, None, None]","[1897, 1, 'Jun', 0, None, None]","[1467, 1, 'Jul', 0, None, None]","[1252, 1, 'Jun', 0, None, None]","[1712, 1, 'Oct', 0, None, None]","[1387, 1, 'Jun', 0, None, None]",2019-12-06 11:13:08
Montrose Basin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[577, 1, 'Mar', 0, None, None]","[503, 1, 'Feb', 0, None, None]","[800, 1, 'Mar', 0, None, None]","[450, 1, 'Jan', 0, None, None]","[500, 1, 'Mar', 0, None, None]","[300, 1, 'Mar', 0, None, None]","[1200, 1, 'Feb', 0, None, None]","[900, 1, 'Feb', 0, None, None]","[600, 1, 'Jan', 0, None, None]","[780, 1, 'Sep', 0, None, None]","[800, 1, 'Nov', 0, None, None]","[1700, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1350, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1679, 1, 'Oct', 0, None, None]","[1840, 1, 'Feb', 0, None, None]","[2772, 1, 'Feb', 0, None, None]","[2230, 1, 'Sep', 0, None, None]","[2000, 1, 'Mar', 0, None, None]","[2960, 1, 'Nov', 0, None, None]","[2100, 1, 'Feb', 0, None, None]","[1898, 1, 'Oct', 0, None, None]","[1316, 1, 'Mar', 0, None, None]","[1537, 1, 'Nov', 0, None, None]","[2120, 1, 'Oct', 0, None, None]","[2100, 2, 'Oct', 0, None, None]","[2100, 1, 'Sep', 0, None, None]","[2163, 1, 'Nov', 0, None, None]","[3365, 1, 'May', 0, None, None]","[2214, 1, 'Nov', 0, None, None]","[2500, 2, 'Sep', 0, None, None]","[3013, 1, 'Feb', 0, None, None]","[3051, 1, 'Oct', 0, None, None]","[2075, 1, 'Jan', 0, None, None]","[1754, 1, 'Jul', 0, None, None]","[4322, 1, 'Feb', 0, None, None]","[2584, 1, 'Dec', 0, None, None]","[2321, 1, 'Nov', 0, None, None]","[1099, 1, 'Jun', 0, None, None]","[1555, 1, 'Sep', 0, None, None]","[1983, 1, 'Jul', 0, None, None]","[1216, 2, 'Aug', 0, None, None]","[1423, 1, 'Oct', 0, None, None]","[1580, 1, 'Aug', 0, None, None]","[1770, 1, 'Sep', 0, None, None]","[1430, 1, 'Aug', 0, None, None]","[1493, 2, 'Aug', 0, None, None]","[1215, 1, 'Jul', 0, None, None]",2019-12-06 11:13:08
Loch Fleet Complex,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 1, 'Jan', 0, None, None]","[450, 1, 'Feb', 0, None, None]","[142, 1, 'Jan', 0, None, None]","[265, 1, 'Sep', 0, None, None]","[1070, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[64, 1, 'Feb', 0, None, None]","[3545, 1, 'Dec', 0, None, None]","[3040, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1000, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[140, 1, 'Jan', 0, None, None]","[1097, 1, 'Nov', 0, None, None]","[2043, 1, 'Nov', 0, None, None]","[1645, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1450, 1, 'Sep', 0, None, None]","[1500, 1, 'Oct', 0, None, None]","[2000, 1, 'Nov', 0, None, None]","[2000, 1, 'Oct', 0, None, None]","[1800, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2200, 1, 'Oct', 0, None, None]","[1012, 1, 'Dec', 0, None, None]","[1116, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[460, 1, 'Oct', 0, None, None]","[1427, 1, 'Oct', 0, None, None]","[262, 1, 'Oct', 0, None, None]","[1113, 1, 'Oct', 0, None, None]","[251, 1, 'Oct', 0, None, None]","[376, 1, 'Oct', 0, None, None]","[174, 1, 'Oct', 0, None, None]","[33, 1, 'Jan', 0, None, None]","[77, 1, 'Oct', 0, None, None]","[56, 1, 'Dec', 0, None, None]","[39, 1, 'Jan', 0, None, None]","[149, 1, 'Oct', 0, None, None]","[205, 1, 'Oct', 0, None, None]","[435, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[30, 1, 'Dec', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[230, 1, 'Jan', 0, None, None]","[139, 1, 'Dec', 0, None, None]","[185, 2, 'Oct', 0, None, None]","[385, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[620, 1, 'Feb', 0, None, None]","[184, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[689, 2, 'Oct', 0, None, None]","[916, 2, 'Dec', 0, None, None]","[1000, 1, 'Dec', 0, None, None]","[1236, 1, 'Dec', 0, None, None]","[494, 1, 'Oct', 0, None, None]",2019-12-06 11:13:08
Loch Ryan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[84, 1, 'Nov', 0, None, None]","[74, 1, 'Jan', 0, None, None]","[78, 1, 'Jan', 0, None, None]","[85, 1, 'Feb', 0, None, None]","[80, 1, 'Jan', 0, None, None]","[228, 1, 'Sep', 0, None, None]","[74, 1, 'Nov', 0, None, None]","[110, 1, 'Dec', 0, None, None]","[210, 1, 'Nov', 0, None, None]","[90, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[120, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[191, 1, 'Dec', 0, None, None]","[303, 1, 'Nov', 0, None, None]","[291, 1, 'Feb', 0, None, None]","[130, 1, 'Mar', 0, None, None]","[137, 1, 'Nov', 0, None, None]","[93, 1, 'Dec', 0, None, None]","[66, 1, 'Nov', 0, None, None]","[50, 1, 'Oct', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[228, 1, 'Jan', 0, None, None]","[1202, 1, 'Jul', 0, None, None]","[1400, 1, 'Sep', 0, None, None]","[2037, 1, 'Jul', 0, None, None]","[1031, 2, 'Nov', 0, None, None]","[1188, 1, 'Sep', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[1803, 1, 'Aug', 0, None, None]","[1150, 1, 'Jul', 1, 'Firth of Clyde Eider News', 'Note this reports a greater extent than the WeBS Core Count site']","[539, 1, 'Aug', 0, None, None]","[385, 2, 'Sep', 0, None, None]","[772, 1, 'Nov', 0, None, None]","[429, 1, 'Jan', 0, None, None]","[1025, 1, 'Mar', 0, None, None]","[937, 1, 'Dec', 0, None, None]","[734, 2, 'Jan', 0, None, None]","[758, 1, 'Feb', 0, None, None]","[855, 1, 'Sep', 0, None, None]","[737, 1, 'Dec', 0, None, None]","[889, 1, 'Sep', 0, None, None]","[868, 1, 'Nov', 0, None, None]","[415, 1, 'Dec', 0, None, None]",2019-12-06 11:13:08
