Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Angle Park Loch (Birns Farm Gravel Pit),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3.0,2.0,0.0,nan,1,1,1,2019-11-29 10:42:21
Anglezarke and Yarrow Reservoirs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1.0,1.0,0.0,nan,1,1,1,2019-11-29 10:42:21
"Backwell Lake, Nailsea (Bucklands Pond)",nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,4,4,4Supplementary visit under the WeBS Core Count SurveyWeBS,3,3,3,3,8,5.0,1,1,1,0.0,1.0,1.0,Aug,1,1,1,2019-11-29 10:42:21
Boultham Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0.0,nan,nan,nan,(0),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,1.0,Jul,1,1,1,2019-11-29 10:42:21
Chew Valley Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,0,0.0,0.0,0.0,nan,1,1,1,2019-11-29 10:42:21
Clydach Vale Countryside Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2.0,1,2,1,1.0,1.0,1.0,Nov,1,1,1,2019-11-29 10:42:21
Coed Hirwaun Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,2.0,Apr,1,1,1,2019-11-29 10:42:21
Cotswold Water Park (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,(0),0,(0),(0),(0),(0),5,(0),(0),(0),(0),(0),0.0,(0),1,1,nan,nan,nan,nan,1,1,1,2019-11-29 10:42:21
Dearne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,1,1,3.0,0.0,0.0,nan,1,1,1,2019-11-29 10:42:21
Derwent Water,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0,0.0,0.0,6.0,8.0,7,7,21,10,6,6,11,7,5,3,2,2,1,1.0,2,1,2,1.0,2.0,1.0,Jul,1,1,1,2019-11-29 10:42:21
Diss Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,2,2,2,0,1,1,0,0,0,0,2,2.0,2,1,1,1.0,1.0,0.0,nan,1,1,1,2019-11-29 10:42:21
