Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Ythan to Collieston,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[189, 1, 'Aug', 0, None, None]",nan,2020-01-19 17:59:37
Loch Ewe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[197, 1, 'Feb', 0, None, None]","[115, 1, 'Feb', 0, None, None]","[261, 1, 'Feb', 0, None, None]","[98, 1, 'Feb', 0, None, None]","[76, 1, 'Feb', 0, None, None]","[82, 1, 'Feb', 0, None, None]","[75, 2, 'Jan', 0, None, None]","[42, 2, 'Feb', 0, None, None]","[88, 1, 'Feb', 0, None, None]","[271, 1, 'Feb', 0, None, None]","[123, 1, 'Feb', 0, None, None]","[180, 1, 'Feb', 0, None, None]","[187, 1, 'Feb', 0, None, None]","[125, 1, 'Feb', 0, None, None]",2020-01-19 17:59:37
Inner Firth of Clyde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']",nan,"[139, 1, 'Oct', 0, None, None]","[213, 2, 'Sep', 0, None, None]","[159, 2, 'Sep', 0, None, None]","[190, 1, 'Oct', 0, None, None]","[115, 1, 'Dec', 0, None, None]","[197, 1, 'Feb', 0, None, None]","[297, 1, 'Feb', 0, None, None]","[223, 1, 'Sep', 0, None, None]","[218, 1, 'Sep', 0, None, None]","[267, 1, 'Sep', 0, None, None]","[126, 1, 'Aug', 0, None, None]","[186, 1, 'Sep', 0, None, None]","[162, 1, 'Aug', 0, None, None]","[162, 1, 'Oct', 0, None, None]","[142, 1, 'Sep', 0, None, None]","[205, 1, 'Sep', 0, None, None]","[203, 1, 'Sep', 0, None, None]",2020-01-19 17:59:37
Moray Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[121, 1, 'Oct', 0, None, None]","[180, 1, 'Oct', 0, None, None]","[251, 1, 'Oct', 0, None, None]","[33, 1, 'Jan', 0, None, None]","[193, 1, 'Oct', 0, None, None]","[347, 1, 'Oct', 0, None, None]","[132, 2, 'Oct', 0, None, None]","[42, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[92, 1, 'Dec', 0, None, None]","[223, 1, 'Oct', 0, None, None]","[102, 1, 'Oct', 0, None, None]","[158, 1, 'Oct', 0, None, None]","[202, 1, 'Oct', 0, None, None]","[236, 1, 'Oct', 0, None, None]","[146, 1, 'Dec', 0, None, None]",2020-01-19 17:59:37
Strangford Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[21, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[82, 1, 'Dec', 0, None, None]","[65, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[108, 1, 'Oct', 0, None, None]","[90, 1, 'Sep', 0, None, None]","[55, 1, 'Dec', 0, None, None]","[92, 1, 'Nov', 0, None, None]","[101, 1, 'Nov', 0, None, None]","[166, 1, 'Dec', 0, None, None]","[189, 1, 'Nov', 0, None, None]","[226, 1, 'Jan', 0, None, None]","[218, 1, 'Nov', 0, None, None]","[295, 1, 'Nov', 0, None, None]","[291, 1, 'Oct', 0, None, None]","[173, 1, 'Oct', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[247, 1, 'Oct', 0, None, None]","[277, 1, 'Nov', 0, None, None]","[265, 1, 'Sep', 0, None, None]","[286, 1, 'Oct', 0, None, None]","[214, 1, 'Oct', 0, None, None]","[190, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[101, 1, 'Oct', 0, None, None]","[98, 1, 'Feb', 0, None, None]","[179, 1, 'Nov', 0, None, None]","[214, 1, 'Dec', 0, None, None]",2020-01-19 17:59:37
Loch Ryan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[30, 1, 'Jan', 0, None, None]","[90, 2, 'Nov', 0, None, None]","[110, 2, 'Oct', 0, None, None]","[79, 1, 'Dec', 0, None, None]","[144, 1, 'Oct', 0, None, None]","[127, 1, 'Oct', 0, None, None]","[179, 1, 'Oct', 0, None, None]","[110, 1, 'Oct', 0, None, None]","[19, 1, 'Feb', 0, None, None]","[109, 1, 'Sep', 0, None, None]","[105, 1, 'Nov', 0, None, None]","[103, 1, 'Sep', 0, None, None]","[97, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[118, 1, 'Sep', 0, None, None]","[189, 1, 'Oct', 0, None, None]","[95, 1, 'Dec', 0, None, None]","[197, 1, 'Oct', 0, None, None]","[73, 2, 'Nov', 0, None, None]",2020-01-19 17:59:37
Sullom Voe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[36, 1, 'Nov', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[187, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[77, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[81, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[62, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[50, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[106, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[104, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[133, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[68, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[219, 1, 'Nov', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[145, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,nan,nan,nan,nan,nan,nan,nan,"[150, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",2020-01-19 17:59:37
Island of Egilsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[78, 1, 'Nov', 0, None, None]","[62, 1, 'Jan', 0, None, None]","[67, 1, 'Jan', 0, None, None]","[47, 1, 'Mar', 0, None, None]","[230, 1, 'Feb', 0, None, None]",nan,"[286, 1, 'Nov', 0, None, None]","[161, 1, 'Nov', 0, None, None]","[380, 2, 'Nov', 0, None, None]","[67, 1, 'Nov', 0, None, None]","[2, 2, 'Oct', 0, None, None]",nan,"[60, 1, 'Nov', 0, None, None]","[111, 1, 'Jan', 0, None, None]","[375, 1, 'Jan', 0, None, None]","[47, 1, 'Jan', 0, None, None]",2020-01-19 17:59:37
Red Point to Port Henderson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[92, 1, 'Feb', 0, None, None]","[246, 1, 'Feb', 0, None, None]","[105, 1, 'Feb', 0, None, None]","[68, 2, 'Feb', 0, None, None]","[52, 1, 'Feb', 0, None, None]","[74, 2, 'Jan', 0, None, None]","[84, 2, 'Jan', 0, None, None]","[60, 1, 'Feb', 0, None, None]","[10, 2, 'Feb', 0, None, None]","[154, 2, 'Feb', 0, None, None]","[199, 2, 'Feb', 0, None, None]","[19, 1, 'Feb', 0, None, None]","[217, 1, 'Feb', 0, None, None]","[103, 2, 'Feb', 0, None, None]",2020-01-19 17:59:37
Cluas Deas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 1, 'Feb', 0, None, None]","[25, 2, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[42, 2, 'Feb', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[89, 1, 'Feb', 0, None, None]","[83, 2, 'Feb', 0, None, None]","[78, 1, 'Feb', 0, None, None]","[40, 1, 'Feb', 0, None, None]","[314, 1, 'Feb', 0, None, None]",nan,2020-01-19 17:59:37
