Site,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RoughTimeAccessed
Back Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[38, 1, 'Jul', 0, None, None]","[6, 2, 'Jul', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[52, 2, 'Jul', 0, None, None]","[42, 2, 'May', 0, None, None]","[18, 2, 'Aug', 0, None, None]","[128, 2, 'May', 0, None, None]","[110, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,2020-01-19 18:22:23
Tweed Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[1, 1, 'May', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[260, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:22:23
Beadnell to Seahouses,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]","[2, 2, 'Sep', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[53, 1, 'Jul', 0, None, None]","[62, 1, 'Sep', 0, None, None]","[15, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[11, 1, 'Aug', 0, None, None]","[72, 1, 'Jul', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[86, 1, 'Jul', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[10, 1, 'May', 0, None, None]","[105, 1, 'Jun', 0, None, None]",2020-01-19 18:22:23
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[102, 1, 'Jun', 0, None, None]","[44, 1, 'May', 0, None, None]","[105, 1, 'Jul', 0, None, None]","[124, 1, 'Jun', 0, None, None]","[144, 1, 'Jul', 0, None, None]","[80, 1, 'May', 0, None, None]","[103, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[94, 1, 'Jul', 0, None, None]","[178, 2, 'Apr', 0, None, None]","[59, 1, 'May', 0, None, None]","[16, 1, 'May', 0, None, None]","[11, 1, 'Jun', 0, None, None]","[30, 1, 'May', 0, None, None]","[123, 1, 'Jul', 0, None, None]","[122, 1, 'Jul', 0, None, None]","[82, 1, 'Jun', 0, None, None]","[112, 1, 'Jun', 0, None, None]","[20, 1, 'Jun', 0, None, None]","[109, 1, 'May', 0, None, None]","[52, 1, 'May', 0, None, None]","[14, 1, 'Jun', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[80, 1, 'May', 0, None, None]",2020-01-19 18:22:23
Moray Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'May', 0, None, None]",nan,nan,2020-01-19 18:22:23
Loch of North Haa and Loch of Beith,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'May', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'May', 0, None, None]","[60, 1, 'Jun', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[45, 1, 'May', 0, None, None]","[41, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[100, 1, 'Jul', 0, None, None]","[52, 1, 'Jun', 0, None, None]","[30, 1, 'Jun', 0, None, None]","[3, 1, 'Jun', 0, None, None]",2020-01-19 18:22:23
"Hamna Voe and Galtagarth, Yell",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Jun', 0, None, None]","[50, 1, 'Jul', 0, None, None]","[100, 1, 'Jul', 0, None, None]","[150, 1, 'Jul', 0, None, None]","[50, 1, 'Jul', 0, None, None]","[45, 1, 'Jul', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[25, 1, 'Jul', 0, None, None]",nan,"[40, 1, 'Jul', 0, None, None]",nan,nan,nan,2020-01-19 18:22:23
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[19, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Aug', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[35, 2, 'Apr', 0, None, None]","[5, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[151, 1, 'May', 0, None, None]","[1, 1, 'Apr', 0, None, None]",2020-01-19 18:22:23
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[35, 2, 'Apr', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[151, 1, 'May', 0, None, None]","[1, 1, 'Apr', 0, None, None]",2020-01-19 18:22:23
Loch Inver,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[18, 1, 'Jun', 0, None, None]","[0, 2, '', 0, None, None]","[80, 1, 'Jul', 0, None, None]","[120, 1, 'Jun', 0, None, None]","[50, 1, 'May', 0, None, None]","[54, 2, 'May', 0, None, None]","[60, 1, 'Jun', 0, None, None]","[38, 1, 'May', 0, None, None]","[30, 2, 'Jul', 0, None, None]","[24, 1, 'May', 0, None, None]","[70, 1, 'Jun', 0, None, None]","[16, 1, 'Jun', 0, None, None]",2020-01-19 18:22:23
