Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Fala Flow,nan,nan,470.0,625.0,1567.0,6548,3240.0,nan,nan,6794.0,3000.0,nan,nan,nan,1000.0,nan,nan,nan,nan,nan,nan,"7,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,910Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,790Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",741Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"3,750Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,170Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,650WWT/JNCC National Grey Goose Censusnull","1,510Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",13084,"5,604Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,920Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",5475,7784,"11,773Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",6595,nan,"4,340Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,7623,7623,1,2019-11-28 10:23:17
Dee Estuary (England and Wales),(0),89.0,0.0,16.0,0.0,35,1.0,97.0,1,0.0,0.0,7.0,65,5,10.0,78,6,69,92,16,(136),90,(151),70Standard visit under the WeBS Low Tide Count SurveyWeBS,96,151,304,195,222,250,340Standard visit under the WeBS Low Tide Count SurveyWeBS,750,"2,500Supplementary visit under the WeBS Core Count SurveyWeBS",2300,4020,3320,6208,6874,10564,9935,Mar,7380,7380,1,2019-11-28 10:23:17
Wedholme Flow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1300,"6,000Supplementary visit under the WeBS Core Count SurveyWeBS",10000,7000,"5,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",9300,11000,9000,7500,3700,3700,Feb,6980,6980,1,2019-11-28 10:23:17
The Wilderness - Ladybank,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0,25,3Supplementary visit under the WeBS Core Count SurveyWeBS,166,"2,500Supplementary visit under the WeBS Core Count SurveyWeBS",16660,"2,410Supplementary visit under the WeBS Core Count SurveyWeBS","4,089Supplementary visit under the WeBS Core Count SurveyWeBS","3,410Supplementary visit under the WeBS Core Count SurveyWeBS","8,808Supplementary visit under the WeBS Core Count SurveyWeBS","15,384Supplementary visit under the WeBS Core Count SurveyWeBS",Nov,6820,6820,1,2019-11-28 10:23:17
Wigtown Bay,0,0.0,nan,8400.0,7000.0,9510.0,12000.0,17000.0,"(3,910)",7000.0,14000.0,6007.0,6776.0,3810,3009.0,3530,3597,7229,"(7,280)",5234,5029,6459,50,"5,316Supplementary visit under the WeBS Core Count SurveyWeBS","(4,747)",8662,7219,802,"(6,695)",11720,4943,5941,6120,6413,5662,6589,"8,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,172Standard visit under the WeBS Low Tide Count SurveyWeBS","(6,447)",5276,Mar,6759,6759,2,2019-11-28 10:23:52
"River Earn, Dalreoch To Kinkell",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,180Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,"6,750Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,6750,6750,2,2019-11-28 10:23:52
R Clyde: Carstairs to Thankerton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),948,5650,"(4,850)",11000,3350,5300,"(3,050)",4500,1540,"(4,720)",4530,3100,2608,"(5,120)",13500,15200,1510,"(8,300)",3150,4950,Oct,6622,6622,2,2019-11-28 10:23:52
Dee Estuary (English counties),(0),89.0,0.0,16.0,0.0,35.0,1.0,97.0,1,0.0,0.0,7.0,65.0,5,10.0,78,6,69,92,16,(136),90,(151),4,96,151,184,195,153,250,333,515,1335,1910,4020,3320,5908,6634,8064,8368,Feb,6459,6459,2,2019-11-28 10:23:52
Lindisfarne,31,23.0,18.0,26.0,16.0,30.0,200.0,3.0,1,0.0,60.0,40.0,41.0,(60),55.0,307,1100,950,339,1000,39,"1,500Supplementary roost count under the WeBS Core Count SurveyWeBS",5881,"6,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","(3,679)",1496,"5,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",6132,"6,900WWT/JNCC National Grey Goose Censusnull","3,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,630Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,068Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","12,000Supplementary visit under the WeBS Core Count SurveyWeBS","(8,139)",Oct,5681,5681,2,2019-11-28 10:23:52
Loch of Lintrathen,5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4,0.0,0.0,20.0,100.0,180,8.0,560,410,0,0,720,(296),"10,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,220Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,920Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,440Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",8921,"9,790Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,040Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",8410,"10,745Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,380Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",8360,"(7,610)",7000,"5,180Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",50Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,5320,"8,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,5190,5190,2,2019-11-28 10:23:52
