Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Whetsted Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[60, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[39, 1, 'Dec', 0, None, None]",nan,nan,2019-12-06 11:51:52
Bramshill Plantation Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 2, 'Mar', 0, None, None]",nan,nan,"[38, 1, 'Feb', 0, None, None]","[23, 2, 'Feb', 0, None, None]","[28, 1, 'Dec', 0, None, None]","[87, 1, 'Dec', 0, None, None]","[56, 1, 'Feb', 0, None, None]","[49, 1, 'Dec', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[39, 1, 'Dec', 0, None, None]","[60, 1, 'Nov', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[56, 1, 'Feb', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[52, 1, 'Feb', 0, None, None]","[42, 1, 'Nov', 0, None, None]","[41, 1, 'Jan', 0, None, None]","[29, 1, 'Feb', 0, None, None]","[22, 1, 'Dec', 0, None, None]","[29, 1, 'Feb', 0, None, None]",2019-12-06 11:51:52
Ellerton Mill Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]",nan,"[29, 1, 'Oct', 0, None, None]","[16, 1, 'Oct', 0, None, None]","[21, 1, 'Nov', 0, None, None]","[28, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[36, 1, 'Dec', 0, None, None]","[57, 1, 'Sep', 0, None, None]",2019-12-06 11:51:52
Green Moor Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[33, 1, 'Jan', 0, None, None]","[32, 1, 'Feb', 0, None, None]",2019-12-06 11:51:52
Island Barn Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[28, 1, 'Jan', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[27, 1, 'Dec', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[40, 1, 'Nov', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[40, 1, 'Jan', 0, None, None]","[51, 1, 'Feb', 0, None, None]","[61, 1, 'Dec', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[33, 1, 'Dec', 0, None, None]","[41, 1, 'Dec', 0, None, None]","[20, 1, 'Mar', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[55, 1, 'Jan', 0, None, None]","[71, 1, 'Jan', 0, None, None]","[40, 1, 'Oct', 0, None, None]",nan,"[36, 1, 'Dec', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[60, 1, 'Dec', 0, None, None]","[31, 1, 'Nov', 0, None, None]","[91, 1, 'Feb', 0, None, None]","[69, 1, 'Dec', 0, None, None]",nan,"[9, 1, 'Feb', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[52, 1, 'Dec', 0, None, None]","[51, 1, 'Feb', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[41, 1, 'Jan', 0, None, None]","[18, 1, 'Jan', 0, None, None]",2019-12-06 11:51:52
Medmerry RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[21, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,"[5, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,"[7, 1, 'Jan', 0, None, None]","[39, 1, 'Jan', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[33, 1, 'Nov', 0, None, None]","[72, 1, 'Feb', 0, None, None]",2019-12-06 11:51:52
North Hykeham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[14, 1, 'Dec', 0, None, None]","[76, 1, 'Dec', 0, None, None]","[49, 1, 'Jan', 0, None, None]",nan,"[2, 1, 'Apr', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]","[219, 1, 'Jan', 0, None, None]","[60, 1, 'Jan', 0, None, None]","[107, 1, 'Jan', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[143, 1, 'Feb', 0, None, None]","[112, 1, 'Jan', 0, None, None]","[40, 2, 'Oct', 0, None, None]","[57, 1, 'Feb', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[26, 1, 'Jan', 0, None, None]",nan,2019-12-06 11:51:52
River Test - Leckford,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Feb', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[31, 1, 'Dec', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[27, 1, 'Dec', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[29, 1, 'Apr', 0, None, None]","[53, 1, 'Apr', 0, None, None]","[75, 2, 'Dec', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[62, 1, 'Dec', 0, None, None]","[63, 1, 'Feb', 0, None, None]","[49, 1, 'Nov', 0, None, None]","[31, 1, 'Dec', 0, None, None]","[38, 1, 'Nov', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[32, 1, 'Jan', 0, None, None]","[34, 1, 'Dec', 0, None, None]",2019-12-06 11:51:52
Trinity Broads,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[7, 1, 'Dec', 0, None, None]",nan,nan,nan,"[16, 1, 'Nov', 0, None, None]",nan,"[2, 2, 'Apr', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[14, 2, 'Nov', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[41, 1, 'Jan', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[73, 1, 'Dec', 0, None, None]","[291, 1, 'Dec', 0, None, None]","[133, 1, 'Nov', 0, None, None]","[80, 1, 'Jan', 0, None, None]","[60, 1, 'Nov', 0, None, None]","[72, 1, 'Oct', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[33, 1, 'Aug', 0, None, None]","[40, 1, 'Sep', 0, None, None]","[27, 1, 'Jan', 0, None, None]",nan,nan,2019-12-06 11:51:52
Wicks Farm Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[51, 1, 'Jan', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[47, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[73, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[18, 2, 'Dec', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[42, 1, 'Nov', 0, None, None]","[66, 1, 'Dec', 0, None, None]","[16, 1, 'Sep', 0, None, None]",2019-12-06 11:51:52
Lea Farm Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[80, 1, 'Dec', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[77, 1, 'Oct', 0, None, None]","[39, 1, 'Oct', 0, None, None]","[14, 1, 'Dec', 0, None, None]",2019-12-06 11:51:52
Medway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[8, 1, 'Jan', 0, None, None]",nan,"[16, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[1, 2, 'Aug', 0, None, None]","[18, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[8, 2, 'Mar', 0, None, None]","[6, 2, 'Mar', 0, None, None]","[16, 2, 'Feb', 0, None, None]","[6, 2, 'Jul', 0, None, None]","[10, 1, 'May', 0, None, None]","[21, 1, 'Nov', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[5, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[7, 2, 'Jan', 0, None, None]","[38, 1, 'Jul', 0, None, None]","[43, 2, 'Jun', 0, None, None]","[54, 1, 'Jun', 0, None, None]","[76, 1, 'Jul', 0, None, None]","[43, 2, 'Nov', 0, None, None]","[56, 2, 'Jun', 0, None, None]","[13, 2, 'Apr', 0, None, None]","[32, 1, 'Mar', 0, None, None]","[48, 1, 'Dec', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[25, 1, 'Apr', 0, None, None]","[33, 1, 'Jun', 0, None, None]",2019-12-06 11:51:52
St James's Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Nov', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[2, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,"[12, 1, 'Jun', 0, None, None]","[51, 1, 'Dec', 0, None, None]",2019-12-06 11:51:52
Anglers Country Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[50, 1, 'Dec', 0, None, None]","[46, 1, 'Feb', 0, None, None]","[69, 1, 'Nov', 0, None, None]","[88, 1, 'Nov', 0, None, None]","[38, 1, 'Nov', 0, None, None]","[95, 1, 'Dec', 0, None, None]","[68, 1, 'Nov', 0, None, None]","[103, 1, 'Nov', 0, None, None]","[171, 1, 'Oct', 0, None, None]","[58, 1, 'Sep', 0, None, None]","[165, 1, 'Feb', 0, None, None]","[54, 1, 'Oct', 0, None, None]","[24, 1, 'Nov', 0, None, None]","[42, 1, 'Oct', 0, None, None]","[28, 1, 'Oct', 0, None, None]","[28, 1, 'Apr', 0, None, None]","[31, 1, 'Apr', 0, None, None]",2019-12-06 11:51:52
Carlton Marsh (Barnsley),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Nov', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[1, 2, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'May', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Feb', 0, None, None]",nan,"[5, 1, 'Aug', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[11, 1, 'Jun', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[28, 1, 'Feb', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[23, 1, 'Jul', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[28, 1, 'Sep', 0, None, None]","[29, 1, 'Oct', 0, None, None]","[55, 1, 'Oct', 0, None, None]",2019-12-06 11:51:52
Daventry Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[30, 1, 'Oct', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[39, 1, 'Nov', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[44, 1, 'Dec', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[37, 1, 'Sep', 0, None, None]","[17, 1, 'Aug', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[31, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:51:52
Erewash Meadows NR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[9, 2, 'Feb', 0, None, None]","[5, 2, 'Jan', 0, None, None]","[11, 2, 'Mar', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[16, 1, 'Jul', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[18, 1, 'Jul', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[12, 1, 'Apr', 0, None, None]",nan,"[16, 2, 'Oct', 0, None, None]","[10, 2, 'Sep', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[16, 2, 'Apr', 0, None, None]","[25, 1, 'Apr', 0, None, None]","[22, 1, 'May', 0, None, None]","[37, 1, 'Apr', 0, None, None]","[40, 1, 'Apr', 0, None, None]",2019-12-06 11:51:52
Laverstoke Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[44, 1, 'Mar', 0, None, None]","[105, 1, 'Oct', 0, None, None]","[46, 1, 'Nov', 0, None, None]","[48, 1, 'Dec', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[34, 1, 'Oct', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[42, 1, 'Dec', 0, None, None]",2019-12-06 11:51:52
Leen Valley and Mill Lake Country Park (Bestwood Lake),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[11, 1, 'Oct', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[27, 1, 'Sep', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[23, 1, 'Oct', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[31, 1, 'Oct', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[39, 1, 'Dec', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[18, 1, 'Sep', 0, None, None]","[27, 1, 'Oct', 0, None, None]","[33, 1, 'Nov', 0, None, None]",2019-12-06 11:51:52
Maxey Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Jan', 0, None, None]","[6, 1, 'Oct', 0, None, None]",nan,"[8, 1, 'Apr', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[38, 1, 'Nov', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[9, 2, 'Feb', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[16, 1, 'Nov', 0, None, None]","[33, 1, 'Jan', 0, None, None]","[58, 1, 'Jan', 0, None, None]","[74, 1, 'Dec', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[9, 1, 'Jan', 0, None, None]",2019-12-06 11:51:52
