Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Acton Park Lake,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,(0),0,0.0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 03:20:12
Albert Village Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,0.0,0,(0),0.0,0,0,nan,0,0,1,2019-11-22 03:20:12
Aldenham Reservoir,3,0,0,0,nan,37,5,5,1,2.0,1.0,0.0,nan,0,0.0,(0),nan,nan,nan,nan,nan,0,0,1,2019-11-22 03:20:12
Allerton Bywater,12.0,23,14,11,8.0,12.0,4,8.0,6,4.0,8,1,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Allestree Park Lakes,1.0,nan,nan,nan,0.0,0.0,0,0.0,0,nan,nan,nan,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Alloch Dam,3.0,7,4,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,0,0,2,2019-11-22 03:20:19
Alnmouth,0.0,0,0,(0),0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Alresford Pond,0.0,7,2,1,2.0,3.0,4,0.0,2,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Alt Estuary,1.0,2,1,1,2.0,2.0,2,1.0,7,0.0,0,0,1,0,0,0.0,0.0,0,0.0,(0),nan,0,0,2,2019-11-22 03:20:19
Altofts Ings,3.0,3,4,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,nan,nan,nan,0,0,2,2019-11-22 03:20:19
Alton Water,1.0,28,3,3,3.0,2.0,2,1.0,0,0.0,1,0,1,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Altrincham Treatment Works,nan,nan,nan,4,0.0,2.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,(0),nan,nan,nan,0,0,2,2019-11-22 03:20:19
Alvecote Pools,4.0,4,10,1Ruddy Duck supplementary countsWWT/CSL,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Angerton Lake,nan,nan,nan,4,2.0,1.0,(0),0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Angle Park Loch (Birns Farm Gravel Pit),nan,nan,nan,2,2.0,3.0,3,0.0,0,0.0,0,0,1,1,2,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Anglers Country Park Lake,54.0,69,70Supplementary visit under the WeBS Core Count SurveyWeBS,58,76.0,78.0,180Ruddy Duck supplementary countsWWT/CSL,185.0,34,37.0,24,5,4,3,4,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Antermony Loch,3.0,5,0,0,0.0,0.0,2,4.0,4,1.0,0,0,0,0,0,0.0,nan,nan,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Appleton Reservoir,10.0,9,12,8,25.0,21.0,14,18.0,23,10.0,4,0,2,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Aqualate Mere,20.0,11,5,14,21.0,11.0,4,7.0,35,4.0,(9),2,0,1,0,0.0,1.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Arcot Pond,nan,nan,2,3,0.0,5.0,4,0.0,0,0.0,2,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Ardsley Reservoir,0.0,0,0,0,0.0,0.0,0,0.0,0,1.0,0,0,0,nan,nan,0.0,nan,nan,nan,0,nan,0,0,2,2019-11-22 03:20:19
Argal Reservoir,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,0,0,2,2019-11-22 03:20:19
Argal and College Reservoirs,0.0,0,0,0,0.0,0.0,0,0.0,1,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Arlington Reservoir,0.0,0,0,0,4.0,0.0,0,0.0,0,2.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Arun Valley,26.0,(24),29,17,30.0,16.0,6,10.0,8,3.0,0,1,0,1,0,0.0,1.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Attenborough Gravel Pits,14.0,23,0,39,nan,4.0,22,43.0,40,44.0,(56),(31),(8),(8),(0),0.0,0.0,0,0.0,nan,nan,0,0,2,2019-11-22 03:20:19
Audenshaw Reservoirs,0.0,0,2,3,0.0,0.0,0,0.0,2,0.0,0,0,0,0,0,0.0,0.0,0,0.0,nan,nan,0,0,2,2019-11-22 03:20:19
Avon - Cumberland Basin to Netham Weir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,nan,nan,nan,0,nan,0,0,2,2019-11-22 03:20:19
