Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Loch of Mey,(200),(26),(160),nan,90,7,55,200,80,363,(274),(0),28,180Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,209Supplementary visit under the WeBS Core Count SurveyWeBS",840Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,402Supplementary visit under the WeBS Core Count SurveyWeBS,1300,865,2000,Nov,1081,1081,1,2019-11-22 01:18:22
R Spey - Tullochgorum to Boat of Balliefirth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,060Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,1060,1060,1,2019-11-22 01:18:22
Loch Hempriggs,320,403,203,527,nan,nan,2239,(216),460,23,83,830,79,146,1036,"3,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",318,218,408,268,Nov,942,942,1,2019-11-22 01:18:22
Loch Insh and Spey Marshes,319,303,510,382,693Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,566,504,483,320WWT/JNCC National Grey Goose Censusnull,943,1047,567,562,1138,436,1165,726,"1,845Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",360Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,361,Oct,891,891,1,2019-11-22 01:18:22
River Eden - Little Salkeld,nan,nan,nan,nan,nan,nan,nan,(450),100,(860),700,510,422,675,880,469,1000,860,305,"1,800Supplementary visit under the WeBS Core Count SurveyWeBS",Nov,887,887,1,2019-11-22 01:18:22
Dornoch Firth,2352,"3,351Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",3339,"2,386Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2916,2259,1720,"1,632Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2858,"3,310WWT/JNCC National Grey Goose Censusnull",6379,1825,"3,596Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",4659,929,850,1020,424,928,951,Dec,835,835,1,2019-11-22 01:18:22
Loch Leven,(795),720Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",567,967Supplementary visit under the WeBS Core Count SurveyWeBS,274,395,620,150,310Supplementary visit under the WeBS Core Count SurveyWeBS,367,1144,"3,868Supplementary visit under the WeBS Core Count SurveyWeBS",913unspecified sea-watchnull,1561,625Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,520,776,675,Sep,831,831,1,2019-11-22 01:18:22
Brownrigg,nan,nan,nan,nan,nan,nan,nan,nan,nan,265WWT/JNCC National Grey Goose Censusnull,nan,nan,817Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,810Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,810,810,1,2019-11-22 01:18:22
Loch of Tankerness,1170,246,0,732,850,1121,677,900,1146,510,(794),1273,0,0,0,420,1190,(708),nan,nan,nan,805,805,1,2019-11-22 01:18:22
Loch Scarmclate,1800,3500,880,750,404,1500,964,770,1500,323,500,800,70,3200,"1,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,850Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",660Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,930Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,320,238Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Nov,800,800,1,2019-11-22 01:18:22
