Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Ingbirchworth Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Feb', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[27, 1, 'Dec', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[23, 1, 'Mar', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[14, 1, 'Jun', 0, None, None]","[23, 1, 'Aug', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[7, 1, 'Aug', 0, None, None]",nan,nan,nan,nan,"[7, 1, 'Jun', 0, None, None]","[11, 1, 'Jul', 0, None, None]",nan,nan,nan,"[14, 1, 'Mar', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[11, 1, 'Jun', 0, None, None]","[16, 1, 'Jul', 0, None, None]","[23, 2, 'Jul', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[14, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Lindskeldfield Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[29, 1, 'Mar', 0, None, None]","[14, 2, 'Mar', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[16, 1, 'Aug', 0, None, None]","[12, 2, 'Feb', 0, None, None]","[12, 2, 'Jul', 0, None, None]","[9, 2, 'Jul', 0, None, None]","[10, 2, 'Sep', 0, None, None]","[11, 2, 'Aug', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[15, 2, 'Oct', 0, None, None]","[14, 2, 'Sep', 0, None, None]","[12, 2, 'Jul', 0, None, None]","[5, 2, 'Jun', 0, None, None]","[7, 2, 'May', 0, None, None]",2019-12-04 19:46:05
Litton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[25, 1, 'Jan', 0, None, None]",nan,nan,nan,"[26, 1, 'Jan', 0, None, None]","[22, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,"[10, 1, 'Apr', 0, None, None]","[4, 1, 'Aug', 0, None, None]",nan,"[19, 1, 'Jun', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[13, 1, 'Apr', 0, None, None]",nan,nan,2019-12-04 19:46:05
Loch of Banks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'Feb', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[221, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[13, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Lound Waterworks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[52, 1, 'Mar', 0, None, None]","[86, 1, 'Oct', 0, None, None]","[15, 1, 'May', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[7, 1, 'May', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[22, 1, 'Feb', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[9, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Merryton Haughs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Jan', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[33, 1, 'Mar', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[41, 1, 'Mar', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[42, 1, 'Dec', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[17, 1, 'Nov', 0, None, None]","[29, 1, 'Jan', 0, None, None]","[31, 1, 'Dec', 0, None, None]","[28, 1, 'Feb', 0, None, None]","[21, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,"[33, 1, 'Mar', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[43, 1, 'Feb', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[10, 1, 'May', 0, None, None]",nan,nan,nan,"[15, 1, 'Mar', 0, None, None]","[8, 2, 'Jul', 0, None, None]",nan,nan,2019-12-04 19:46:05
Newdigate Brickworks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[18, 1, 'Mar', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[12, 1, 'Nov', 0, None, None]",2019-12-04 19:46:05
Newton Sandpit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Oct', 0, None, None]","[16, 2, 'Aug', 0, None, None]","[9, 1, 'Aug', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[13, 1, 'Jul', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[16, 1, 'Aug', 0, None, None]","[25, 1, 'Aug', 0, None, None]","[24, 1, 'Aug', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[14, 1, 'Jul', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[15, 1, 'Jun', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[21, 1, 'Jun', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[22, 1, 'Aug', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[16, 1, 'Jan', 0, None, None]",2019-12-04 19:46:05
Novington Sand Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 2, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[15, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[13, 1, 'Sep', 0, None, None]","[11, 1, 'Oct', 0, None, None]",nan,2019-12-04 19:46:05
Otley Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[11, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,"[12, 1, 'May', 0, None, None]","[101, 1, 'Jan', 0, None, None]","[61, 1, 'Feb', 0, None, None]","[91, 1, 'Aug', 0, None, None]","[62, 1, 'Jan', 0, None, None]","[94, 1, 'Dec', 0, None, None]","[44, 1, 'Aug', 0, None, None]","[66, 1, 'Feb', 0, None, None]","[137, 1, 'Jan', 0, None, None]","[65, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Jan', 0, None, None]",2019-12-04 19:46:05
