Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Plantation Farm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,nan,nan,14,14,1,2019-11-27 19:22:52
Hatfield Moors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,(0),nan,nan,13Supplementary visit under the WeBS Core Count SurveyWeBS,(8),nan,nan,nan,13,13,1,2019-11-27 19:22:52
Ribble Estuary,213,96,180,219,220,374,214,206.0,15,214,135,128,315,168,(75),482,270,212,322,344,137,(40),(272),(221),310,187,175,(132),23,10,18,7,40,0,3,47,6,0,0,12,Jan,13,13,1,2019-11-27 19:22:52
Middle Yare Marshes,nan,0,0,11,0,0,1,0.0,5,30,0,0,0,0,0,0,0,0,0,(0),3,0,6,0,0,0,120,0,0,0,2,4,1,0,0,0,50,0,9,0,nan,12,12,1,2019-11-27 19:22:52
Minsmere,11,9,16,13,12,7,6,112.0,63,3,0,23,nan,18,22,11,3,(25),(1),2,2,0,13,3,0,29,20,10,20,24,27,34,36,43,10,14,9,15,1,14,Feb,11,11,1,2019-11-27 19:22:52
River Usk - Llanllowell to Newbridge,nan,nan,nan,nan,nan,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(6),(19),(14),4,(0),nan,11,11,1,2019-11-27 19:22:52
Thames Estuary,17,23,39,35,19,21,71,27.0,47,18,17,40,13,7,0,6,(14),(9),2,3,30,39,24,17,5Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0,0,33,2,0,4,0,23,0,0,8,7,22,6,Dec,9,9,1,2019-11-27 19:22:52
Morecambe Bay,0,0,6,0,0,0,1,0.0,0,(0),0,0,8,6,19,3,6,0,40,65,16,(12),0,22,0,22,0,4Standard visit under the WeBS Low Tide Count SurveyWeBS,7,4,5,5,(33),18,7,(12),7,4,0,(10),Nov,7,7,1,2019-11-27 19:22:52
Blagdon Lake,18,0,8,0,34,11,20,0.0,2,6,3,5,6,16,17,0,0,0,5,2,0,0,0,3,0,(16),11,0,5,0,(0),0,0,10,2,1,0,13,16,0,nan,6,6,1,2019-11-27 19:22:52
River Arun - Arundel to Littlehampton,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,nan,0,0,0,0,0,nan,nan,(0),11,0,nan,6,6,1,2019-11-27 19:22:52
Dee Estuary (English counties),(0),0,6,0,7,(4),10,2.0,3,9,8,35,66,47,77,15,34,25,107,79,48,56,118,78,70,80,92,48,44,82,16,47,0,21,30,0,0,14,9,2,Jan,5,5,1,2019-11-27 19:22:52
Nocton Fen,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,34,31,nan,0,2,18,25,22,4,8,35,3,19,35,0,0,0,2,0,0,3,14,0,7,2,nan,nan,nan,nan,5,5,1,2019-11-27 19:22:52
Rodley and Wilmer Common,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0,23,28,0,0,0,6,0,14,0,0,0,0,1,9,nan,nan,nan,0,0,0,(0),20,0,0,6,0,nan,5,5,1,2019-11-27 19:22:52
Chew Valley Lake,4,30,14,0,0,6,12,4.0,0,8,8,5,7,6,3,4,0,9,8,0,0,0,0,0,0,0,0,11,0,0,0,7,8,6,0,7,2,0,8,4,Dec,4,4,1,2019-11-27 19:22:52
Grafham Water,11,16,6,0,18,5,0,0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,(0),0,0,0,0,5,4,(0),5,3,6,2,Jan,4,4,1,2019-11-27 19:22:52
North Norfolk Coast,0,0,0,0,1,0,0,0.0,0,12,0,17,3,24,28,2,14,6,2,11,10,3,(4),4,0,7,1,0,0,1,36,0,1,8,1,0,3,6,5,6Supplementary visit under the WeBS Core Count SurveyWeBS,Nov,4,4,1,2019-11-27 19:22:52
Orwell Estuary,0,0,0,0,0,0,0,0.0,0,0,0,0,0,(0),0,0,0,0,0,0,0,0,0,7Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0,0,0,0,0,0,0,0,0,0,0,7Standard visit under the WeBS Low Tide Count SurveyWeBS,0,12,0,nan,4,4,1,2019-11-27 19:22:52
Somerset Levels,89,314,114,452,129,73,0,161.0,52,124,77,222,141,160,209,195,(119),(345),282,68,(120),(117),146,(108),(69),112,21,22,0,15,16,36Supplementary visit under the WeBS Core Count SurveyWeBS,63,4,7,2,2,7,8Supplementary visit under the WeBS Core Count SurveyWeBS,2,Feb,4,4,1,2019-11-27 19:22:52
Stodmarsh,1,0,11,28,0,0,34,26.0,0,nan,nan,4,19,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,10,19,3,7,0,4,4,Jan,4,4,1,2019-11-27 19:22:52
Abberton Reservoir,85,11,9,24,0,11,34,18.0,3,0,0,34,11,84,0,0,77,69,70,48,(26),8,0,(5),0,21,2,2,(0),0,0,5,11,7,3,6,0,8,1,1,Apr,3,3,1,2019-11-27 19:22:52
Cotswold Water Park (Central),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0,2.0,0,0,5,0,nan,nan,nan,nan,3,3,2,2019-11-27 19:23:18
Mersey Estuary,1,3.0,3.0,17.0,0.0,0.0,0.0,2.0,0,0,0.0,2,23.0,20.0,15.0,4.0,11.0,4,11,12,10,16Standard visit under the WeBS Low Tide Count SurveyWeBS,0.0,12,17.0,0,4,14.0,5,7,2.0,10,0.0,1,8Standard visit under the WeBS Low Tide Count SurveyWeBS,0,8,3,0,(2),Jan,3,3,2,2019-11-27 19:23:18
Oulton Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,(0),0,9,0,nan,nan,nan,3,3,2,2019-11-27 19:23:18
The Wash,49,20.0,31.0,92.0,28.0,68.0,99.0,120.0,69,106,28.0,101,62.0,72.0,117.0,111.0,22.0,(17),(23),2,21,4,0.0,12,9.0,34,22,21.0,6,18,8.0,(6),7.0,0,7,7,2,1,2,1,Jan,3,3,2,2019-11-27 19:23:18
Alde Estuary,0,6.0,32.0,130.0,0.0,0.0,18.0,30.0,(154),62,82.0,36,43.0,73.0,53.0,18.0,18.0,178,52,165,4,12,0.0,35Standard visit under the WeBS Low Tide Count SurveyWeBS,25.0,2,0,0.0,2,0,2.0,4,9.0,4,0,0,4,2,2,0,nan,2,2,2,2019-11-27 19:23:18
Bardney Pit,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,0,0.0,0.0,0.0,0.0,1.0,4,2,9,0,0,4.0,0,2.0,nan,nan,2.0,0,0,0.0,0,0.0,8,0,0,0,4,5,0,nan,2,2,2,2019-11-27 19:23:18
Branston Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,6,nan,nan,nan,2,2,2,2019-11-27 19:23:18
Carlton and Oulton Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9,0,(0),0,nan,2,2,2,2019-11-27 19:23:18
Colne Estuary,(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,10,0.0,0,0.0,0.0,0.0,44.0,7.0,(0),0,0,0,0,0.0,(0),0.0,0,0,0.0,0,(0),0.0,0,0.0,0,(0),7,(0),0,0,0,nan,2,2,2,2019-11-27 19:23:18
Langstone Harbour,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,(0),0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,8Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0,nan,2,2,2,2019-11-27 19:23:18
Lower Derwent Ings,100,187.0,214.0,24.0,60.0,126.0,137.0,126.0,132,27,44.0,50,40.0,25.0,52.0,35.0,74.0,30,139,81,21,61,60.0,0,11.0,4,0,0.0,1,1,1.0,1,0.0,0,3,0,1,4,2,2,Feb,2,2,2,2019-11-27 19:23:18
Montrose Basin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,4,0.0,0,0.0,0,0,0,0,7,(0),0,nan,2,2,2,2019-11-27 19:23:18
Walmore Common,15,56.0,124.0,0.0,110.0,88.0,167.0,82.0,150,18,0.0,137,164.0,nan,106.0,127.0,75.0,106,135,(68),43,41Supplementary visit under the WeBS Core Count SurveyWeBS,7.0,51,99.0,95,21,39.0,34,21,17.0,2,0.0,5,0,0,2,0,7,0,nan,2,2,2,2019-11-27 19:23:18
Bardolf Water Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,5,0,0,0,nan,1,1,2,2019-11-27 19:23:18
Benacre Broad,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,0.0,0.0,0,0,17,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,6,0,nan,1,1,2,2019-11-27 19:23:18
Castle Marshes Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0.0,(0),0,0.0,0,0.0,0,0,0,6,0,0,0,nan,1,1,2,2019-11-27 19:23:18
Coquet Estuary,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,(0),0,0,0,0,0.0,0,0.0,0,0,0.0,0,(0),0.0,0,0.0,0,0,0,4,0,0,0,nan,1,1,2,2019-11-27 19:23:18
