Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Aston On Trent Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[348, 1, 'Jan', 0, None, None]","[67, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,"[224, 1, 'Mar', 0, None, None]","[283, 2, 'Nov', 0, None, None]",nan,nan,"[233, 1, 'Nov', 0, None, None]","[210, 1, 'Feb', 0, None, None]","[96, 2, 'Nov', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[9, 1, 'Jan', 0, None, None]",nan,"[350, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[350, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[570, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[191, 1, 'Sep', 0, None, None]","[500, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2020-01-19 18:11:28
Ugie Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[500, 1, 'Oct', 0, None, None]","[380, 1, 'Sep', 0, None, None]","[500, 1, 'Sep', 0, None, None]","[380, 1, 'Sep', 0, None, None]","[250, 1, 'Jul', 0, None, None]","[350, 1, 'Apr', 0, None, None]","[430, 1, 'Sep', 0, None, None]","[550, 1, 'Sep', 0, None, None]",2020-01-19 18:11:28
Hayle Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1211, 1, 'Oct', 0, None, None]","[1005, 1, 'Sep', 0, None, None]","[1650, 1, 'Nov', 0, None, None]","[1405, 1, 'Feb', 0, None, None]","[1410, 1, 'Jan', 0, None, None]","[1817, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[856, 1, 'Jan', 0, None, None]","[730, 1, 'Jan', 0, None, None]","[462, 1, 'Feb', 0, None, None]","[770, 1, 'Jan', 0, None, None]","[410, 1, 'Jan', 0, None, None]","[620, 1, 'Jan', 0, None, None]","[530, 2, 'Feb', 0, None, None]","[875, 1, 'Dec', 0, None, None]","[740, 1, 'Feb', 0, None, None]","[881, 1, 'Nov', 0, None, None]","[770, 1, 'Dec', 0, None, None]","[703, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[230, 1, 'Mar', 0, None, None]","[525, 1, 'Nov', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[259, 1, 'Jan', 0, None, None]","[249, 1, 'Jan', 0, None, None]","[685, 1, 'Feb', 0, None, None]","[460, 1, 'Nov', 0, None, None]",2020-01-19 18:11:28
Queen Elizabeth II Country Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[300, 2, 'Dec', 0, None, None]","[272, 1, 'Jan', 0, None, None]","[305, 1, 'Feb', 0, None, None]","[299, 1, 'Feb', 0, None, None]","[206, 1, 'Jan', 0, None, None]","[650, 1, 'Feb', 0, None, None]","[1037, 1, 'Jan', 0, None, None]","[430, 1, 'Feb', 0, None, None]","[316, 1, 'Jan', 0, None, None]","[367, 1, 'Feb', 0, None, None]","[400, 1, 'Dec', 0, None, None]","[383, 1, 'Jan', 0, None, None]","[429, 1, 'Feb', 0, None, None]","[422, 1, 'Dec', 0, None, None]","[439, 1, 'Jan', 0, None, None]","[479, 1, 'Oct', 0, None, None]","[300, 1, 'Nov', 0, None, None]","[275, 1, 'Jan', 0, None, None]",2020-01-19 18:11:28
River Teith - Blackdub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[169, 1, 'Feb', 0, None, None]","[635, 1, 'Oct', 0, None, None]","[299, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1070, 1, 'Feb', 0, None, None]","[125, 1, 'Jan', 0, None, None]","[412, 1, 'Jan', 0, None, None]","[147, 1, 'Feb', 0, None, None]","[159, 1, 'Jan', 0, None, None]",2020-01-19 18:11:28
Little Paxton Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[410, 1, 'Mar', 0, None, None]","[353, 1, 'Nov', 0, None, None]",2020-01-19 18:11:28
Church Wilne Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10000, 1, 'Jan', 0, None, None]","[10000, 1, 'Dec', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[15000, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,"[15000, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,"[5000, 1, 'Nov', 0, None, None]",nan,"[120, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[642, 1, 'Aug', 0, None, None]",nan,2020-01-19 18:11:28
Sutton Coldfield Park Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[362, 1, 'Mar', 0, None, None]","[419, 2, 'Dec', 0, None, None]","[361, 1, 'Jan', 0, None, None]",2020-01-19 18:11:28
River Severn - Hawford Loch to Cherry Orchard Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[269, 1, 'Jan', 0, None, None]","[930, 1, 'Dec', 0, None, None]","[112, 1, 'Aug', 0, None, None]","[209, 1, 'Dec', 0, None, None]",2020-01-19 18:11:28
Royd Moor Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[124, 1, 'Oct', 0, None, None]","[13, 1, 'Jul', 0, None, None]",nan,"[120, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[2, 1, 'Jun', 0, None, None]","[63, 1, 'Mar', 0, None, None]",nan,nan,nan,"[25, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[123, 1, 'Nov', 0, None, None]","[338, 1, 'Nov', 0, None, None]","[27, 1, 'Jul', 0, None, None]","[274, 1, 'Jan', 0, None, None]","[134, 1, 'Nov', 0, None, None]","[150, 1, 'Oct', 0, None, None]","[1330, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:11:28
