Site▲▼,1998▲▼,1999▲▼,2000▲▼,2001▲▼,2002▲▼,2003▲▼,2004▲▼,2005▲▼,2006▲▼,2007▲▼,2008▲▼,2009▲▼,2010▲▼,2011▲▼,2012▲▼,2013▲▼,2014▲▼,2015▲▼,2016▲▼,2017▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Potter Reedbed NWTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,6,Mar,2,2,1,2019-11-21 13:53:18
Rutland Water,3.0,7.0,0,2.0,1.0,0,1.0,1,0,2,2.0,5,1,2.0,5,2,1,2.0,2,1,Sep,2,2,2,2019-11-21 13:53:23
Solway Estuary,1.0,0.0,0,0.0,0.0,3,1.0,0,0,1,3.0,3,1,6.0,1,0,1,0.0,0,7,Mar,2,2,2,2019-11-21 13:53:23
Solway Estuary (Scottish counties),1.0,0.0,0,0.0,0.0,3,0.0,0,(0),1,2.0,0,1,6.0,0,0,1,0.0,0,7,Mar,2,2,2,2019-11-21 13:53:23
The Wash,4.0,1.0,0,1.0,0.0,1,1.0,2,2,1,0.0,4,2,2.0,2,1,2,2.0,1,2,May,2,2,2,2019-11-21 13:53:23
Alvecote Pools,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,1,Apr,1,1,2,2019-11-21 13:53:23
Arun Valley,0.0,1.0,0,0.0,2.0,3,1.0,1,0,0,1.0,4,0,0.0,7,(0),3,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Aston On Trent Gravel Pits,nan,0.0,0,nan,nan,0,0.0,0,nan,nan,nan,nan,nan,0.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,1,nan,nan,1,1Supplementary visit under the WeBS Core Count SurveyWeBS,Sep,1,1,2,2019-11-21 13:53:23
Baddiley Mere and Reservoir,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0.0,0,4,0,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Barton Pits and Catholme,0.0,1.0,0,0.0,0.0,0,0.0,0,1,0,nan,0,0,0.0,0,2,0,nan,nan,nan,nan,1,1,2,2019-11-21 13:53:23
Belvide Reservoir,1.0,0.0,0,0.0,0.0,2,2.0,2,2,0,1.0,1,1,0.0,0,1,1,2.0,1,2,Jun,1,1,2,2019-11-21 13:53:23
Blackmoorfoot Reservoir,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,3,0,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Blackwater Estuary,3.0,1.0,1,0.0,5.0,0,0.0,0,0,5,0.0,1,0,1.0,1,1,2,0.0,2,0,nan,1,1,2,2019-11-21 13:53:23
Cam Washes (Upware),0.0,0.0,(0),0.0,3.0,3,1.0,nan,nan,1,0.0,0,0,0.0,0,4,0,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Camel Estuary,0.0,0.0,1,0.0,0.0,0,1.0,3,5,1,1.0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,0,2.0,2,3,0,0.0,1,1,May,1,1,2,2019-11-21 13:53:23
Chalton Sewage Treatment Works,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,0,0.0,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,1,1,2,2019-11-21 13:53:23
Cotswold Water Park,0.0,2.0,0,0.0,4.0,0,1.0,0,1,0,0.0,0,0,0.0,0,0,2,0.0,2,2,Jun,1,1,2,2019-11-21 13:53:23
Crouch-Roach Estuary,3.0,0.0,2,0.0,0.0,0,0.0,0,0,0,0.0,1,0,0.0,1,2Supplementary visit under the WeBS Core Count SurveyWeBS,2,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Dee Estuary (English counties),1.0,2.0,3,0.0,3.0,1,4.0,0,3,0,4.0,0,0,2.0,2,0,2,3.0,0,1,Aug,1,1,2,2019-11-21 13:53:23
Eagle Pond (Wanstead),0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,0,2.0,0,nan,nan,1,1,2,2019-11-21 13:53:23
Earls Barton Gravel Pits,0.0,5.0,6,0.0,0.0,1,0.0,0,0,0,0.0,1,0,0.0,0,2,1,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Ely Beet Factory Settling Ponds,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,nan,0,2.0,0,nan,nan,1,1,2,2019-11-21 13:53:23
Greenlaw Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,3Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,0,1,May,1,1,2,2019-11-21 13:53:23
Hampton and Kempton Reservoirs,0.0,0.0,0,0.0,0.0,(0),0.0,(0),0,(0),0.0,2,(0),0.0,0,0,6,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Holland Marshes,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,0,0,0,0.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,2Supplementary visit under the WeBS Core Count SurveyWeBS,Apr,1,1,2,2019-11-21 13:53:23
Hornsea Mere,0.0,0.0,0,0.0,0.0,0,2.0,0,0,1,1.0,0,0,3.0,0,nan,2,0.0,1,0,nan,1,1,2,2019-11-21 13:53:23
Houghton Gate Pond,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,nan,1,1,2,2019-11-21 13:53:23
Isleham Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0,1,0,2.0,0,1,Sep,1,1,2,2019-11-21 13:53:23
King's Dyke Pits Whittlesey,0.0,0.0,nan,nan,nan,0,0.0,0,0,0,0.0,1,0,0.0,1,0,1,1.0,0,nan,nan,1,1,2,2019-11-21 13:53:23
Kirkby-on-Bain Gravel Pits,0.0,4.0,0,0.0,4.0,0,0.0,1,0,0,0.0,0,1,0.0,0,0,(4),1.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Lee Valley Gravel Pits,3.0,3.0,1,0.0,1.0,2,0.0,0,4Supplementary visit under the WeBS Core Count SurveyWeBS,1,2.0,0,3,1.0,1,1,3,0.0,0,0,nan,1,1,2,2019-11-21 13:53:23
Leighton Moss,5,1,1.0,1.0,1,15,0,0,1,0,0.0,1.0,0.0,2,3,1.0,0.0,1,1,2,Apr,1,1,3,2019-11-21 13:53:28
Loch Gruinart Floods,0,0,0.0,nan,0,0,0,0,0,0,1.0,0.0,0.0,1,0,1.0,1.0,0,2,0,nan,1,1,3,2019-11-21 13:53:28
Loch Leven,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,4Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,1,1,3,2019-11-21 13:53:28
Lochwinnoch (Aird and Barr and Castle Semple),0,0,0.0,0.0,0,(0),0,0,0,0,0.0,0.0,0.0,(1),2,1.0,0.0,2,0,0,nan,1,1,3,2019-11-21 13:53:28
London Wetland Centre,0,0,0.0,1.0,0,1,0,1,1,1,2.0,2.0,0.0,1,1,1.0,1.0,0,2,2,Mar,1,1,3,2019-11-21 13:53:28
Longham Lakes,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,0.0,2,0,0.0,2.0,1,0,4,Sep,1,1,3,2019-11-21 13:53:28
Loughs Neagh and Beg,0,0,0.0,nan,0,0,0,0,6,13,0.0,0.0,0.0,0,0,0.0,0.0,3,0,0,nan,1,1,3,2019-11-21 13:53:28
Lunt Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,5,2,0,nan,1,1,3,2019-11-21 13:53:28
Maer Lake,0,0,1.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0.0,2.0,0,2,0,nan,1,1,3,2019-11-21 13:53:28
Malltraeth RSPB,0,1,0.0,0.0,0,1,2,1,0,0,0.0,0.0,0.0,0,0,1.0,0.0,2,1,2,May,1,1,3,2019-11-21 13:53:28
Mannez Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,Apr,1,1,3,2019-11-21 13:53:28
Marazion Marsh,1,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,2,0,0,nan,1,1,3,2019-11-21 13:53:28
Medmerry RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2,0,0,nan,1,1,3,2019-11-21 13:53:28
Mersey Estuary,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0.0,1.0,1,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,1,1,3,2019-11-21 13:53:28
Middle Tame Valley Gravel Pits,0,1,1.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,1,2,1,Apr,1,1,3,2019-11-21 13:53:28
Morecambe Bay,1,1,5.0,0.0,2,0,1,0,0,2,0.0,0.0,0.0,0,0,0.0,1.0,1,1,4,Aug,1,1,3,2019-11-21 13:53:28
Netherfield Lagoons,0,0,0.0,0.0,nan,0,2,2,1,0,0.0,0.0,0.0,0,0,3.0,1.0,0,0,0,nan,1,1,3,2019-11-21 13:53:28
Nosterfield Gravel Pits,0,0,1.0,0.0,0,0,0,0,0,2,3.0,5.0,0.0,0,2,2.0,2.0,0,1,0,nan,1,1,3,2019-11-21 13:53:28
Pevensey Levels,(0),(0),0.0,0.0,0,0,(0),(0),(0),0,0.0,0.0,0.0,0,0,4.0,2.0,0,0,0,nan,1,1,3,2019-11-21 13:53:28
Pitsford Reservoir,0,2,0.0,2.0,0,1,0,4,7,0,0.0,1.0,1.0,1,0,1.0,0.0,0,1,2,Aug,1,1,3,2019-11-21 13:53:28
Potteric Carr,nan,nan,0.0,nan,0,0,nan,0,0,(0),1.0,1.0,0.0,0,0,2.0,0.0,1,(0),(0),nan,1,1,3,2019-11-21 13:53:28
Pulfin Bog and High Eske Nature Reserve,0,0,0.0,0.0,0,0,0,0,1,nan,0.0,1.0,0.0,2,(0),0.0,0.0,2,(0),0,nan,1,1,3,2019-11-21 13:53:28
Ribble Estuary,0,1,2.0,0.0,1,3,0,1,0,1,1.0,0.0,1.0,1,2,1.0,2.0,2,0,0,nan,1,1,3,2019-11-21 13:53:28
River Cam - Kingfishers Bridge,0,0,0.0,0.0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,1,0,1,0.0,1.0,1.0,1,0,0.0,0.0,2,nan,3Supplementary visit under the WeBS Core Count SurveyWeBS,May,1,1,3,2019-11-21 13:53:28
River Derwent - Calver to Froggatt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,4,0.0,4.0,0,0,0,nan,1,1,3,2019-11-21 13:53:28
Sevenoaks Wildfowl Reserve,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1,2,0,nan,1,1,3,2019-11-21 13:53:28
