Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Loch Sween,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,375.0,nan,280,450,0,nan,0,0,115,28,0,nan,0,0,90,174,60,120,79,0,248,126,0,84,741SNH countsSNH Kirkwall office,807SNH countsSNH Kirkwall office,650Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,571,571,1,2019-11-28 04:18:08
Baleshare (North Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,75,94,52,25,280,300,470,700,500,0,600,800,0,350,525,275,1000,163,Jan,463,463,1,2019-11-28 04:18:08
Isle of Colonsay,nan,nan,nan,nan,nan,nan,nan,nan,120.0,400.0,350.0,nan,nan,nan,nan,nan,nan,nan,90Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,431Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,438Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,35Supplementary visit under the WeBS Core Count SurveyWeBS,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,434Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,0Argyll goose countsSNH,87Greenland Goose counts e.g. Greenland Barnacle counts at South WallsSNH,nan,0SNH countsSNH Islay office,389SNH countsSNH Islay office,0SNH countsSNH Islay office,740Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,980SNH countsSNH Islay office,nan,419SNH countsSNH Kirkwall office,470SNH countsSNH Kirkwall office,nan,nan,nan,445,445,1,2019-11-28 04:18:08
Balnakiel Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(82),nan,nan,nan,nan,nan,970,130,809,750Highland Council Goose Countsvia WWT,(0),500,0,96,61,171,570,969,(31),Feb,443,443,1,2019-11-28 04:18:08
Loch a' Phuill (Tiree),nan,nan,nan,nan,0.0,0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,(0),0,0,12,0,0,0,0,13,0,0,32,0,0,550,395,355,685,19,Jan,401,401,1,2019-11-28 04:18:08
Balranald Nature Reserve,nan,nan,nan,nan,14.0,2,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,60,(36),160,152,210,180,170,160,838,320,180,75,0,156,56,815,132,250,450,Feb,341,341,1,2019-11-28 04:18:08
Keills Peninsula and Isle of Danna,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,720Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,280Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,420Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,400Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,640Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,708Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,468Argyll goose countsSNH,"627Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","711Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",550Argyll goose countsSNH,600Argyll goose countsSNH,715Argyll goose countsSNH,532Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,704SNH countsSNH Islay office,nan,0SNH countsSNH Kirkwall office,0SNH countsSNH Kirkwall office,650SNH countsSNH Kirkwall office,488SNH countsSNH Kirkwall office,Dec,285,285,1,2019-11-28 04:18:08
Kyle of Tongue,nan,nan,nan,nan,nan,0,nan,10.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,(0),nan,nan,nan,152Supplementary visit under the WeBS Core Count SurveyWeBS,0,242,0,(0),0,200,0,0,200,280,162,233,215,Feb,218,218,1,2019-11-28 04:18:08
Canal Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,(0),(0),0,0,(0),(0),(27),500,nan,0,51,Mar,184,184,1,2019-11-28 04:18:08
Loch Bhasapoll (Tiree),nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,(0),0,0,0,0,170,369,0,0,0,1,0,0,0,0,129,750,0,5,Mar,177,177,1,2019-11-28 04:18:08
