Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,1936,1937,1938,1939,RoughTimeAccessed
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[250, 1, 'Jan', 0, None, None]","[1022, 1, 'Feb', 0, None, None]","[217, 1, 'Feb', 0, None, None]","[495, 1, 'Oct', 0, None, None]","[335, 1, 'Dec', 0, None, None]","[342, 1, 'Jan', 0, None, None]","[800, 1, 'Nov', 0, None, None]","[906, 1, 'Oct', 0, None, None]","[661, 1, 'Dec', 0, None, None]","[135, 1, 'Oct', 0, None, None]","[336, 1, 'Dec', 0, None, None]","[203, 2, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[747, 1, 'Dec', 0, None, None]","[1405, 1, 'Dec', 0, None, None]","[1181, 1, 'Nov', 0, None, None]","[2015, 1, 'Dec', 0, None, None]","[750, 1, 'Oct', 0, None, None]","[1601, 1, 'Jan', 0, None, None]","[1230, 1, 'Jan', 0, None, None]","[3660, 1, 'Jan', 0, None, None]","[2720, 1, 'Dec', 0, None, None]","[2180, 1, 'Dec', 0, None, None]","[827, 1, 'Nov', 0, None, None]","[4307, 1, 'Nov', 0, None, None]","[5023, 1, 'Oct', 0, None, None]","[3136, 1, 'Nov', 0, None, None]","[1853, 1, 'Dec', 0, None, None]","[8062, 1, 'Dec', 0, None, None]","[2190, 1, 'Dec', 0, None, None]","[3680, 1, 'Dec', 0, None, None]","[5350, 1, 'Dec', 0, None, None]","[3273, 1, 'Nov', 0, None, None]","[2585, 1, 'Dec', 0, None, None]","[4512, 1, 'Feb', 0, None, None]","[4198, 1, 'Jan', 0, None, None]","[3691, 1, 'Nov', 0, None, None]","[4521, 2, 'Dec', 0, None, None]","[2200, 1, 'Dec', 0, None, None]","[6068, 2, 'Nov', 0, None, None]","[5662, 1, 'Oct', 0, None, None]","[1669, 2, 'Nov', 0, None, None]","[1178, 1, 'Oct', 0, None, None]","[2965, 1, 'Jan', 0, None, None]","[2498, 1, 'Oct', 0, None, None]","[813, 1, 'Nov', 0, None, None]","[3004, 1, 'Dec', 0, None, None]","[2468, 1, 'Nov', 0, None, None]","[4579, 1, 'Nov', 0, None, None]","[2412, 1, 'Nov', 0, None, None]","[4391, 1, 'Oct', 0, None, None]","[5264, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Severn Hams,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[500, 1, 'Feb', 0, None, None]",nan,"[1350, 1, 'Jan', 0, None, None]","[1250, 1, 'Dec', 0, None, None]","[410, 1, 'Dec', 0, None, None]","[3000, 1, 'Jan', 0, None, None]","[2510, 1, 'Jan', 0, None, None]","[1200, 1, 'Mar', 0, None, None]","[2025, 1, 'Jan', 0, None, None]","[3500, 1, 'Feb', 0, None, None]","[1200, 1, 'Mar', 0, None, None]","[2200, 1, 'Jan', 0, None, None]","[4570, 1, 'Feb', 0, None, None]","[3510, 1, 'Feb', 0, None, None]","[900, 1, 'Feb', 0, None, None]","[1810, 1, 'Jan', 0, None, None]","[1310, 1, 'Mar', 0, None, None]","[1250, 1, 'Feb', 0, None, None]","[1625, 1, 'Feb', 0, None, None]","[2200, 1, 'Feb', 0, None, None]","[1940, 2, 'Jan', 0, None, None]","[1476, 1, 'Mar', 0, None, None]","[1450, 1, 'Mar', 0, None, None]","[1850, 2, 'Jan', 0, None, None]","[880, 1, 'Jan', 0, None, None]","[5662, 1, 'Jan', 0, None, None]","[2335, 1, 'Jan', 0, None, None]","[3000, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1490, 2, 'Nov', 0, None, None]","[1680, 1, 'Feb', 0, None, None]","[2850, 1, 'Nov', 0, None, None]","[1697, 2, 'Dec', 0, None, None]","[1760, 2, 'Feb', 0, None, None]","[1305, 1, 'Feb', 0, None, None]","[271, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2510, 1, 'Dec', 0, None, None]","[2500, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1322, 1, 'Jan', 0, None, None]","[4415, 1, 'Jan', 0, None, None]","[2715, 1, 'Nov', 0, None, None]","[4400, 1, 'Jan', 0, None, None]","[5920, 1, 'Feb', 0, None, None]","[3595, 1, 'Feb', 0, None, None]","[2146, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Foryd Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[500, 1, 'Oct', 0, None, None]","[1300, 1, 'Nov', 0, None, None]","[1300, 1, 'Nov', 0, None, None]","[900, 1, 'Oct', 0, None, None]","[150, 1, 'Sep', 0, None, None]","[157, 1, 'Sep', 0, None, None]","[380, 2, 'Jan', 0, None, None]","[30, 1, 'Apr', 0, None, None]",nan,nan,"[635, 1, 'Nov', 0, None, None]",nan,"[1000, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[650, 1, 'Jan', 0, None, None]","[700, 1, 'Oct', 0, None, None]","[770, 1, 'Nov', 0, None, None]","[497, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[460, 1, 'Feb', 0, None, None]","[535, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[705, 1, 'Nov', 0, None, None]","[550, 1, 'Jan', 0, None, None]","[3730, 1, 'Dec', 0, None, None]","[1850, 1, 'Oct', 0, None, None]","[2190, 1, 'Oct', 0, None, None]","[2190, 1, 'Oct', 0, None, None]","[2150, 1, 'Oct', 0, None, None]","[3740, 1, 'Dec', 0, None, None]","[2330, 1, 'Nov', 0, None, None]","[1980, 1, 'Dec', 0, None, None]","[4140, 1, 'Oct', 0, None, None]","[3350, 1, 'Oct', 0, None, None]","[3170, 1, 'Oct', 0, None, None]","[3320, 1, 'Oct', 0, None, None]","[3500, 1, 'Oct', 0, None, None]","[3260, 1, 'Nov', 0, None, None]","[2890, 1, 'Dec', 0, None, None]","[2560, 1, 'Oct', 0, None, None]","[3060, 1, 'Oct', 0, None, None]","[2430, 1, 'Oct', 0, None, None]","[1450, 1, 'Dec', 0, None, None]","[1690, 1, 'Sep', 0, None, None]","[2122, 1, 'Oct', 0, None, None]","[3280, 1, 'Oct', 0, None, None]","[1551, 1, 'Oct', 0, None, None]","[4520, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1890, 1, 'Dec', 0, None, None]","[3020, 1, 'Oct', 0, None, None]","[5540, 1, 'Oct', 0, None, None]","[3340, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Poole Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[393, 1, 'Jan', 0, None, None]","[390, 1, 'Feb', 0, None, None]","[590, 1, 'Feb', 0, None, None]","[869, 1, 'Feb', 0, None, None]","[1487, 1, 'Jan', 0, None, None]","[886, 1, 'Nov', 0, None, None]","[1023, 1, 'Jan', 0, None, None]","[551, 1, 'Dec', 0, None, None]","[530, 1, 'Jan', 0, None, None]","[934, 1, 'Jan', 0, None, None]","[1117, 1, 'Jan', 0, None, None]","[1982, 1, 'Feb', 0, None, None]","[1475, 1, 'Jan', 0, None, None]","[745, 1, 'Dec', 0, None, None]","[576, 1, 'Jan', 0, None, None]","[3355, 1, 'Jan', 0, None, None]","[796, 1, 'Nov', 0, None, None]","[621, 1, 'Feb', 0, None, None]","[837, 1, 'Feb', 0, None, None]","[706, 1, 'Jan', 0, None, None]","[1602, 1, 'Jan', 0, None, None]","[435, 1, 'Jan', 0, None, None]","[529, 1, 'Feb', 0, None, None]","[453, 1, 'Feb', 0, None, None]","[739, 1, 'Nov', 0, None, None]","[669, 1, 'Dec', 0, None, None]","[651, 1, 'Feb', 0, None, None]","[1516, 1, 'Jan', 0, None, None]","[1393, 1, 'Jan', 0, None, None]","[1200, 1, 'Nov', 0, None, None]","[1236, 1, 'Dec', 0, None, None]","[1092, 1, 'Dec', 0, None, None]","[833, 1, 'Dec', 0, None, None]","[685, 1, 'Dec', 0, None, None]","[830, 1, 'Dec', 0, None, None]","[1015, 1, 'Jan', 0, None, None]","[1029, 1, 'Nov', 0, None, None]","[2412, 1, 'Dec', 0, None, None]","[1674, 1, 'Jan', 0, None, None]","[1875, 1, 'Feb', 0, None, None]","[1391, 1, 'Jan', 0, None, None]","[2110, 1, 'Dec', 0, None, None]","[2695, 1, 'Jan', 0, None, None]","[2396, 1, 'Dec', 0, None, None]","[2181, 2, 'Dec', 0, None, None]","[1654, 1, 'Jan', 0, None, None]","[3600, 1, 'Jan', 0, None, None]","[2904, 1, 'Dec', 0, None, None]","[2663, 1, 'Dec', 0, None, None]","[2641, 1, 'Nov', 0, None, None]","[5319, 1, 'Dec', 0, None, None]","[4240, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Dungeness and Rye Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1562, 1, 'Jan', 0, None, None]","[139, 1, 'Jan', 0, None, None]","[45, 1, 'Feb', 0, None, None]","[225, 1, 'Jan', 0, None, None]","[64, 1, 'Feb', 0, None, None]","[272, 1, 'Jan', 0, None, None]","[50, 1, 'Nov', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[94, 1, 'Jan', 0, None, None]","[90, 1, 'Feb', 0, None, None]","[292, 1, 'Jan', 0, None, None]","[52, 1, 'Dec', 0, None, None]","[188, 1, 'Jan', 0, None, None]","[3363, 1, 'Jan', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[3500, 1, 'Jan', 0, None, None]","[608, 1, 'Jan', 0, None, None]","[2550, 1, 'Jan', 0, None, None]","[732, 1, 'Jan', 0, None, None]","[390, 1, 'Jan', 0, None, None]","[423, 1, 'Jan', 0, None, None]","[1068, 1, 'Jan', 0, None, None]","[612, 1, 'Dec', 0, None, None]","[1227, 1, 'Jan', 0, None, None]","[1505, 1, 'Jan', 0, None, None]","[1976, 1, 'Jan', 0, None, None]","[4213, 1, 'Mar', 0, None, None]","[10729, 1, 'Jan', 0, None, None]","[7392, 1, 'Jan', 0, None, None]","[6676, 1, 'Jan', 0, None, None]","[6453, 1, 'Jan', 0, None, None]","[3735, 1, 'Jan', 0, None, None]","[3895, 1, 'Jan', 0, None, None]","[3516, 1, 'Dec', 0, None, None]","[4564, 1, 'Jan', 0, None, None]","[4937, 1, 'Mar', 0, None, None]","[6285, 1, 'Feb', 0, None, None]","[5193, 1, 'Feb', 0, None, None]","[4010, 1, 'Jan', 0, None, None]","[2711, 1, 'Jan', 0, None, None]","[5574, 1, 'Jan', 0, None, None]","[13852, 1, 'Dec', 0, None, None]","[9348, 1, 'Feb', 0, None, None]","[3459, 1, 'Jan', 0, None, None]","[3945, 1, 'Jan', 0, None, None]","[3685, 1, 'Jan', 0, None, None]","[2981, 1, 'Jan', 0, None, None]","[3864, 1, 'Jan', 0, None, None]","[2721, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Tees Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[101, 1, 'Mar', 0, None, None]","[340, 1, 'Jan', 0, None, None]","[184, 1, 'Dec', 0, None, None]","[179, 1, 'Mar', 0, None, None]","[137, 1, 'Feb', 0, None, None]","[356, 1, 'Mar', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[212, 1, 'Jan', 0, None, None]","[145, 1, 'Oct', 0, None, None]","[318, 1, 'Feb', 0, None, None]","[643, 1, 'Feb', 0, None, None]","[313, 1, 'Jan', 0, None, None]","[311, 1, 'Jan', 0, None, None]","[637, 1, 'Jan', 0, None, None]","[435, 1, 'Feb', 0, None, None]","[677, 1, 'Jan', 0, None, None]","[322, 1, 'Jan', 0, None, None]","[544, 1, 'Nov', 0, None, None]","[1020, 1, 'Nov', 0, None, None]","[820, 1, 'Dec', 0, None, None]","[1160, 1, 'Feb', 0, None, None]","[1320, 1, 'Feb', 0, None, None]","[1285, 1, 'Oct', 0, None, None]","[1585, 1, 'Dec', 0, None, None]","[1672, 1, 'Dec', 0, None, None]","[1694, 1, 'Jan', 0, None, None]","[1806, 1, 'Oct', 0, None, None]","[1919, 1, 'Jan', 0, None, None]","[2947, 1, 'Jan', 0, None, None]","[1807, 1, 'Nov', 0, None, None]","[2018, 1, 'Jan', 0, None, None]","[1636, 1, 'Feb', 0, None, None]","[1764, 1, 'Jan', 0, None, None]","[1878, 1, 'Jan', 0, None, None]","[1703, 1, 'Dec', 0, None, None]","[1526, 1, 'Jan', 0, None, None]","[2130, 1, 'Nov', 0, None, None]","[1632, 1, 'Dec', 0, None, None]","[2028, 2, 'Feb', 0, None, None]","[2008, 1, 'Mar', 0, None, None]","[2132, 1, 'Feb', 0, None, None]","[2487, 1, 'Jan', 0, None, None]","[1943, 1, 'Jan', 0, None, None]","[2000, 1, 'Jan', 0, None, None]","[1760, 1, 'Nov', 0, None, None]","[1737, 1, 'Feb', 0, None, None]","[2501, 1, 'Mar', 0, None, None]","[3273, 1, 'Jan', 0, None, None]","[2230, 1, 'Feb', 0, None, None]","[3562, 1, 'Feb', 0, None, None]","[4059, 1, 'Mar', 0, None, None]","[4002, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Fen Drayton Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Oct', 0, None, None]","[106, 1, 'Feb', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[24, 1, 'Feb', 0, None, None]",nan,"[200, 1, 'Jan', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[100, 1, 'Mar', 0, None, None]","[1100, 1, 'Feb', 0, None, None]","[749, 1, 'Nov', 0, None, None]","[2300, 1, 'Feb', 0, None, None]","[580, 1, 'Dec', 0, None, None]","[1320, 1, 'Jan', 0, None, None]","[3400, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3240, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4683, 1, 'Feb', 0, None, None]","[3900, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4540, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2810, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3920, 1, 'Jan', 0, None, None]","[2472, 1, 'Dec', 0, None, None]","[3314, 1, 'Dec', 0, None, None]","[1108, 1, 'Feb', 0, None, None]","[3164, 1, 'Nov', 0, None, None]","[1658, 1, 'Jan', 0, None, None]","[1533, 1, 'Mar', 0, None, None]","[1608, 1, 'Jan', 0, None, None]","[2960, 1, 'Feb', 0, None, None]","[2222, 1, 'Feb', 0, None, None]","[2228, 1, 'Feb', 0, None, None]","[2131, 1, 'Mar', 0, None, None]","[1550, 1, 'Jan', 0, None, None]","[3001, 1, 'Feb', 0, None, None]","[2369, 1, 'Jan', 0, None, None]","[6575, 1, 'Jan', 0, None, None]","[3124, 1, 'Jan', 0, None, None]","[3021, 1, 'Mar', 0, None, None]","[2735, 1, 'Oct', 0, None, None]","[1397, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Fleet and Wey,nan,nan,nan,"[640, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[100, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[6, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[657, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[2, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[12, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[427, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[1603, 1, 'Dec', 0, None, None]","[5801, 1, 'Jan', 0, None, None]","[4000, 1, 'Dec', 0, None, None]","[6100, 1, 'Nov', 0, None, None]","[3600, 1, 'Dec', 0, None, None]","[4150, 1, 'Nov', 0, None, None]","[7002, 1, 'Jan', 0, None, None]","[800, 1, 'Nov', 0, None, None]","[3500, 1, 'Jan', 0, None, None]","[1550, 1, 'Oct', 0, None, None]","[2454, 1, 'Dec', 0, None, None]","[4204, 1, 'Nov', 0, None, None]","[10111, 1, 'Nov', 0, None, None]","[2000, 1, 'Oct', 0, None, None]","[2170, 1, 'Nov', 0, None, None]","[4483, 1, 'Jan', 0, None, None]","[4393, 1, 'Dec', 0, None, None]","[9622, 1, 'Jan', 0, None, None]","[3155, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[4798, 1, 'Oct', 0, None, None]","[6181, 1, 'Dec', 0, None, None]","[8245, 1, 'Dec', 0, None, None]","[5804, 1, 'Nov', 0, None, None]","[4783, 1, 'Nov', 0, None, None]","[5013, 1, 'Oct', 0, None, None]","[2957, 1, 'Dec', 0, None, None]","[3021, 1, 'Dec', 0, None, None]","[2637, 1, 'Nov', 0, None, None]","[4262, 1, 'Dec', 0, None, None]","[1889, 1, 'Jan', 0, None, None]","[3062, 1, 'Oct', 0, None, None]","[5337, 1, 'Dec', 0, None, None]","[5360, 1, 'Oct', 0, None, None]","[5105, 2, 'Dec', 0, None, None]","[4469, 1, 'Nov', 0, None, None]","[6122, 1, 'Oct', 0, None, None]","[3087, 1, 'Dec', 0, None, None]","[2285, 1, 'Nov', 0, None, None]","[3089, 1, 'Dec', 0, None, None]","[5131, 1, 'Dec', 0, None, None]","[8244, 1, 'Dec', 0, None, None]","[2813, 1, 'Dec', 0, None, None]","[1886, 1, 'Oct', 0, None, None]","[2810, 1, 'Oct', 0, None, None]","[1318, 1, 'Dec', 0, None, None]","[2280, 1, 'Nov', 0, None, None]","[6549, 1, 'Nov', 0, None, None]","[3567, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Crouch-Roach Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2000, 1, 'Dec', 0, None, None]","[1240, 1, 'Jan', 0, None, None]","[1200, 1, 'Dec', 0, None, None]","[610, 1, 'Mar', 0, None, None]","[750, 1, 'Feb', 0, None, None]","[1016, 1, 'Jan', 0, None, None]","[615, 1, 'Feb', 0, None, None]",nan,nan,"[306, 1, 'Feb', 0, None, None]","[1880, 1, 'Feb', 0, None, None]","[1167, 1, 'Jan', 0, None, None]","[1385, 1, 'Dec', 0, None, None]","[2117, 1, 'Jan', 0, None, None]","[726, 1, 'Dec', 0, None, None]","[1363, 1, 'Nov', 0, None, None]","[5035, 1, 'Jan', 0, None, None]","[4866, 1, 'Jan', 0, None, None]","[2122, 1, 'Jan', 0, None, None]","[2156, 1, 'Jan', 0, None, None]","[1982, 1, 'Nov', 0, None, None]","[2270, 1, 'Feb', 0, None, None]","[2890, 1, 'Feb', 0, None, None]","[2075, 1, 'Nov', 0, None, None]","[1597, 1, 'Nov', 0, None, None]","[1505, 1, 'Dec', 0, None, None]","[1347, 1, 'Jan', 0, None, None]","[1578, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1253, 1, 'Feb', 0, None, None]","[1610, 1, 'Dec', 0, None, None]","[1971, 1, 'Dec', 0, None, None]","[1332, 1, 'Feb', 0, None, None]","[2305, 1, 'Feb', 0, None, None]","[2571, 1, 'Nov', 0, None, None]","[3442, 1, 'Feb', 0, None, None]","[2247, 1, 'Feb', 0, None, None]","[4115, 1, 'Jan', 0, None, None]","[4213, 1, 'Dec', 0, None, None]","[3748, 1, 'Dec', 0, None, None]","[2306, 1, 'Jan', 0, None, None]","[2591, 1, 'Nov', 0, None, None]","[1817, 2, 'Dec', 0, None, None]","[3782, 1, 'Dec', 0, None, None]","[3084, 2, 'Dec', 0, None, None]","[4120, 1, 'Feb', 0, None, None]","[2956, 1, 'Dec', 0, None, None]","[2716, 1, 'Feb', 0, None, None]","[4071, 1, 'Nov', 0, None, None]","[3542, 2, 'Dec', 0, None, None]","[3122, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2331, 1, 'Dec', 0, None, None]","[3315, 1, 'Jan', 0, None, None]","[2856, 1, 'Feb', 0, None, None]","[2521, 1, 'Jan', 0, None, None]","[2607, 1, 'Nov', 0, None, None]","[5949, 1, 'Jan', 0, None, None]","[3203, 1, 'Feb', 0, None, None]","[2849, 1, 'Feb', 0, None, None]","[2633, 1, 'Jan', 0, None, None]","[3669, 1, 'Dec', 0, None, None]","[3229, 1, 'Dec', 0, None, None]","[2398, 1, 'Dec', 0, None, None]","[3052, 1, 'Nov', 0, None, None]","[2333, 1, 'Feb', 0, None, None]","[5751, 1, 'Jan', 0, None, None]","[2375, 1, 'Dec', 0, None, None]","[2707, 1, 'Dec', 0, None, None]","[1908, 1, 'Mar', 0, None, None]","[3060, 1, 'Dec', 0, None, None]","[3611, 1, 'Mar', 0, None, None]","[2701, 1, 'Feb', 0, None, None]","[1878, 1, 'Mar', 0, None, None]","[1614, 1, 'Mar', 0, None, None]","[1427, 1, 'Jan', 0, None, None]","[1528, 1, 'Nov', 0, None, None]","[1156, 1, 'Jan', 0, None, None]","[1384, 1, 'Jan', 0, None, None]","[1338, 1, 'Mar', 0, None, None]","[4073, 1, 'Dec', 0, None, None]","[2430, 1, 'Jan', 0, None, None]","[4122, 1, 'Jan', 0, None, None]","[2546, 1, 'Nov', 0, None, None]","[2616, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
Hamford Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2595, 1, 'Jan', 0, None, None]","[5815, 1, 'Jan', 0, None, None]","[6000, 1, 'Feb', 0, None, None]","[1500, 2, 'Dec', 0, None, None]","[272, 1, 'Nov', 0, None, None]","[430, 1, 'Jan', 0, None, None]","[470, 1, 'Jan', 0, None, None]","[550, 1, 'Nov', 0, None, None]","[470, 1, 'Jan', 0, None, None]","[485, 1, 'Dec', 0, None, None]","[1300, 1, 'Jan', 0, None, None]","[780, 1, 'Dec', 0, None, None]","[5500, 1, 'Jan', 0, None, None]","[490, 1, 'Jan', 0, None, None]","[750, 1, 'Dec', 0, None, None]","[9500, 1, 'Jan', 0, None, None]","[902, 1, 'Dec', 0, None, None]","[626, 1, 'Oct', 0, None, None]","[20000, 1, 'Jan', 0, None, None]","[2500, 1, 'Feb', 0, None, None]","[355, 1, 'Nov', 0, None, None]","[880, 2, 'Nov', 0, None, None]","[592, 1, 'Nov', 0, None, None]","[1453, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[196, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1499, 1, 'Dec', 0, None, None]","[849, 2, 'Feb', 0, None, None]","[3785, 1, 'Dec', 0, None, None]","[9511, 2, 'Jan', 0, None, None]","[2668, 1, 'Dec', 0, None, None]","[2825, 1, 'Dec', 0, None, None]","[1959, 1, 'Dec', 0, None, None]","[2543, 1, 'Jan', 0, None, None]","[2369, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[4631, 1, 'Dec', 0, None, None]","[2926, 1, 'Nov', 0, None, None]","[2177, 1, 'Dec', 0, None, None]","[3490, 1, 'Dec', 0, None, None]","[2102, 2, 'Nov', 0, None, None]","[2718, 1, 'Nov', 0, None, None]","[2230, 1, 'Dec', 0, None, None]","[1894, 1, 'Dec', 0, None, None]","[5599, 2, 'Dec', 0, None, None]","[3872, 1, 'Nov', 0, None, None]","[15000, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4055, 1, 'Dec', 0, None, None]","[4381, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2854, 1, 'Nov', 0, None, None]","[2089, 1, 'Nov', 0, None, None]","[1813, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:15:00
