Site,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RoughTimeAccessed
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[42, 1, 'Aug', 0, None, None]","[97, 1, 'Aug', 0, None, None]","[15, 1, 'Aug', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[209, 1, 'Jun', 0, None, None]","[300, 1, 'Jun', 0, None, None]","[241, 1, 'Jun', 0, None, None]","[265, 1, 'Jul', 0, None, None]","[280, 1, 'Jul', 0, None, None]","[405, 1, 'Jul', 0, None, None]","[233, 1, 'Jun', 0, None, None]","[246, 1, 'Jul', 0, None, None]","[284, 1, 'Jun', 0, None, None]","[496, 1, 'Jul', 0, None, None]","[593, 1, 'Jul', 0, None, None]","[491, 1, 'Jul', 0, None, None]","[502, 1, 'Jul', 0, None, None]","[451, 1, 'Jun', 0, None, None]","[658, 1, 'Jun', 0, None, None]","[670, 1, 'Jul', 0, None, None]","[470, 1, 'May', 0, None, None]","[302, 1, 'Jul', 0, None, None]","[312, 1, 'Jul', 0, None, None]","[330, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[156, 1, 'Jun', 0, None, None]","[700, 1, 'Aug', 0, None, None]","[145, 1, 'Aug', 0, None, None]","[160, 1, 'Jun', 0, None, None]","[150, 1, 'Jul', 0, None, None]","[200, 1, 'Jul', 0, None, None]","[111, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[242, 1, 'Jul', 0, None, None]","[256, 2, 'Jun', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[411, 1, 'Jul', 0, None, None]","[250, 1, 'Jul', 0, None, None]","[251, 1, 'Jul', 0, None, None]","[309, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[284, 1, 'Jul', 0, None, None]","[309, 1, 'Aug', 0, None, None]","[282, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[402, 1, 'Aug', 0, None, None]","[353, 1, 'Jul', 0, None, None]","[318, 1, 'Jul', 0, None, None]","[322, 1, 'Jun', 0, None, None]",2020-01-19 18:22:00
Dee Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[145, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[130, 1, 'Jun', 0, None, None]","[160, 1, 'Jun', 0, None, None]","[150, 1, 'Jul', 0, None, None]","[200, 1, 'Jul', 0, None, None]","[110, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[240, 1, 'Jul', 0, None, None]","[256, 2, 'Jun', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[410, 1, 'Jul', 0, None, None]","[250, 1, 'Jul', 0, None, None]","[251, 1, 'Jul', 0, None, None]","[309, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[284, 1, 'Jul', 0, None, None]","[300, 1, 'Jun', 0, None, None]","[280, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[325, 1, 'Jun', 0, None, None]","[353, 1, 'Jul', 0, None, None]","[266, 1, 'Jul', 0, None, None]","[322, 1, 'Jun', 0, None, None]",2020-01-19 18:22:00
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11, 1, 'Jun', 0, None, None]","[700, 1, 'Aug', 0, None, None]","[145, 1, 'Aug', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[168, 1, 'Aug', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[28, 1, 'Aug', 0, None, None]","[26, 1, 'Aug', 0, None, None]","[25, 1, 'Jun', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[96, 1, 'Aug', 0, None, None]","[53, 1, 'Aug', 0, None, None]","[130, 1, 'Aug', 0, None, None]","[400, 1, 'Aug', 0, None, None]","[85, 1, 'Aug', 0, None, None]","[52, 1, 'Jul', 0, None, None]","[39, 1, 'Aug', 0, None, None]",2020-01-19 18:22:00
Lindisfarne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Jul', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[14, 1, 'May', 0, None, None]","[2, 2, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[8, 1, 'May', 0, None, None]","[34, 2, 'Jun', 0, None, None]","[17, 1, 'May', 0, None, None]","[0, 2, '', 0, None, None]","[4, 2, 'May', 0, None, None]","[12, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[8, 2, 'May', 0, None, None]","[0, 2, '', 0, None, None]","[17, 2, 'Aug', 0, None, None]","[2, 2, 'May', 0, None, None]","[18, 2, 'Jul', 0, None, None]","[111, 2, 'Jun', 0, None, None]",2020-01-19 18:22:00
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[125, 1, 'Jul', 0, None, None]","[43, 1, 'Aug', 0, None, None]","[330, 2, 'Jul', 0, None, None]","[30, 1, 'Jun', 0, None, None]","[114, 1, 'Jul', 0, None, None]","[148, 1, 'Aug', 0, None, None]","[56, 1, 'Jun', 0, None, None]","[103, 1, 'Aug', 0, None, None]","[36, 1, 'Jul', 0, None, None]","[68, 1, 'Jul', 0, None, None]","[108, 1, 'Aug', 0, None, None]","[182, 1, 'Jul', 0, None, None]","[83, 1, 'Aug', 0, None, None]","[255, 1, 'Aug', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[153, 1, 'Jul', 0, None, None]","[85, 1, 'Jul', 0, None, None]","[124, 1, 'Aug', 0, None, None]","[83, 1, 'Jul', 0, None, None]","[13, 1, 'Apr', 0, None, None]","[161, 1, 'Aug', 0, None, None]","[40, 1, 'Aug', 0, None, None]","[222, 1, 'Aug', 0, None, None]","[90, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
Benacre Broad,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,"[2, 1, 'May', 0, None, None]","[250, 1, 'Jul', 0, None, None]","[64, 1, 'May', 0, None, None]","[80, 1, 'May', 0, None, None]",2020-01-19 18:22:00
Pegwell Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'May', 0, None, None]","[18, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[40, 1, 'Aug', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[29, 1, 'Aug', 0, None, None]","[9, 2, 'Jul', 0, None, None]","[8, 2, 'Apr', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[12, 1, 'Jul', 0, None, None]","[75, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[5, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[38, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[75, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[100, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[40, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,"[1, 1, 'Sep', 0, None, None]",2020-01-19 18:22:00
Fleet and Wey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[27, 1, 'Jun', 0, None, None]","[50, 2, 'May', 0, None, None]","[203, 1, 'May', 0, None, None]","[154, 1, 'May', 0, None, None]","[125, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[59, 1, 'Jun', 0, None, None]","[62, 1, 'Jun', 0, None, None]","[69, 1, 'May', 0, None, None]","[24, 1, 'Jun', 0, None, None]","[66, 1, 'May', 0, None, None]","[15, 1, 'May', 0, None, None]","[19, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[9, 1, 'May', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[12, 2, 'Jun', 0, None, None]","[45, 1, 'Jun', 0, None, None]","[21, 2, 'May', 0, None, None]","[22, 1, 'May', 0, None, None]","[44, 1, 'May', 0, None, None]",2020-01-19 18:22:00
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[57, 1, 'Jul', 0, None, None]","[18, 1, 'May', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[7, 1, 'Jun', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[1, 1, 'May', 0, None, None]","[4, 1, 'May', 0, None, None]","[42, 1, 'May', 0, None, None]","[156, 1, 'Jul', 0, None, None]","[152, 1, 'Jul', 0, None, None]","[137, 1, 'Jul', 0, None, None]","[78, 1, 'Jul', 0, None, None]","[44, 1, 'Jun', 0, None, None]","[55, 1, 'Jun', 0, None, None]","[40, 1, 'Jul', 0, None, None]","[70, 1, 'Jun', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[14, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
