Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,1936,1937,1938,1939,RoughTimeAccessed
Marsh Lane Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[55, 1, 'Nov', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[37, 1, 'Feb', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[56, 1, 'Jan', 0, None, None]","[43, 1, 'Jan', 0, None, None]","[11, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Willington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[52, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,"[68, 1, 'Nov', 0, None, None]","[68, 1, 'Nov', 0, None, None]","[67, 1, 'Jan', 0, None, None]","[98, 1, 'Jan', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[67, 1, 'Jan', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[54, 1, 'Sep', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[57, 1, 'Sep', 0, None, None]","[38, 1, 'Sep', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[9, 2, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Arun Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[21, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[214, 1, 'Jan', 0, None, None]","[279, 1, 'Feb', 0, None, None]","[293, 1, 'Feb', 0, None, None]","[386, 1, 'Jan', 0, None, None]","[301, 1, 'Feb', 0, None, None]","[295, 1, 'Feb', 0, None, None]","[309, 1, 'Feb', 0, None, None]","[365, 1, 'Feb', 0, None, None]","[467, 1, 'Feb', 0, None, None]","[424, 1, 'Feb', 0, None, None]","[372, 1, 'Dec', 0, None, None]","[488, 1, 'Feb', 0, None, None]","[582, 1, 'Feb', 0, None, None]","[458, 1, 'Dec', 0, None, None]","[395, 1, 'Feb', 0, None, None]","[415, 1, 'Jan', 0, None, None]","[409, 1, 'Dec', 0, None, None]","[409, 1, 'Jan', 0, None, None]","[618, 1, 'Jan', 0, None, None]","[462, 1, 'Jan', 0, None, None]","[328, 1, 'Jan', 0, None, None]","[520, 2, 'Feb', 0, None, None]","[412, 1, 'Dec', 0, None, None]","[297, 1, 'Jan', 0, None, None]","[355, 1, 'Feb', 0, None, None]","[243, 1, 'Feb', 0, None, None]","[150, 1, 'Jan', 0, None, None]","[109, 1, 'Mar', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[138, 1, 'Jan', 0, None, None]","[122, 1, 'Jan', 0, None, None]","[89, 1, 'Feb', 0, None, None]","[86, 1, 'Jan', 0, None, None]","[58, 1, 'Feb', 0, None, None]","[39, 1, 'Feb', 0, None, None]","[30, 1, 'Feb', 0, None, None]","[28, 1, 'Dec', 0, None, None]","[29, 1, 'Jan', 0, None, None]","[35, 1, 'Nov', 0, None, None]","[17, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Boldermere Wisley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Jan', 0, None, None]","[93, 1, 'Feb', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[63, 1, 'Feb', 0, None, None]","[48, 1, 'Feb', 0, None, None]","[52, 1, 'Jan', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[4, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,2019-12-06 11:58:55
College Lake Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[250, 1, 'Dec', 0, None, None]","[102, 1, 'Sep', 0, None, None]","[250, 2, 'Dec', 0, None, None]","[72, 1, 'Nov', 0, None, None]","[60, 1, 'Dec', 0, None, None]","[80, 1, 'Nov', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[79, 1, 'Nov', 0, None, None]","[108, 1, 'Nov', 0, None, None]","[125, 1, 'Dec', 0, None, None]","[82, 1, 'Nov', 0, None, None]","[160, 1, 'Dec', 0, None, None]","[204, 1, 'Oct', 0, None, None]","[39, 1, 'Dec', 0, None, None]","[151, 1, 'Oct', 0, None, None]","[51, 1, 'Dec', 0, None, None]","[22, 1, 'Dec', 0, None, None]","[54, 1, 'Oct', 0, None, None]","[86, 1, 'Feb', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[33, 1, 'Nov', 0, None, None]","[43, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[26, 1, 'Oct', 0, None, None]","[20, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Leighton Moss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[38, 1, 'Mar', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[36, 1, 'Feb', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[75, 1, 'Mar', 0, None, None]","[46, 1, 'Mar', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[65, 1, 'Nov', 0, None, None]","[75, 1, 'Sep', 0, None, None]","[193, 1, 'Oct', 0, None, None]","[65, 1, 'Sep', 0, None, None]","[85, 1, 'Oct', 0, None, None]","[140, 1, 'Oct', 0, None, None]","[175, 1, 'Oct', 0, None, None]","[215, 1, 'Sep', 0, None, None]","[98, 1, 'Sep', 0, None, None]","[130, 1, 'Dec', 0, None, None]","[444, 1, 'Oct', 0, None, None]","[198, 1, 'Oct', 0, None, None]","[95, 1, 'Sep', 0, None, None]","[280, 1, 'Dec', 0, None, None]","[187, 1, 'Oct', 0, None, None]","[314, 1, 'Sep', 0, None, None]","[152, 1, 'Sep', 0, None, None]","[98, 1, 'Oct', 0, None, None]","[162, 1, 'Oct', 0, None, None]","[227, 1, 'Oct', 0, None, None]","[315, 1, 'Oct', 0, None, None]","[240, 1, 'Oct', 0, None, None]","[68, 1, 'Sep', 0, None, None]","[105, 1, 'Oct', 0, None, None]","[94, 1, 'Sep', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[23, 1, 'Apr', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[35, 1, 'Mar', 0, None, None]","[23, 1, 'Apr', 0, None, None]","[19, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[21, 1, 'Mar', 0, None, None]","[42, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
North Hykeham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[42, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,"[30, 1, 'Jan', 0, None, None]","[92, 1, 'Dec', 0, None, None]","[71, 1, 'Dec', 0, None, None]",nan,"[83, 1, 'Jan', 0, None, None]","[38, 1, 'Jan', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]","[15, 2, 'Dec', 0, None, None]","[182, 1, 'Jan', 0, None, None]","[30, 2, 'Feb', 0, None, None]","[30, 2, 'Nov', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[51, 1, 'Jan', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[27, 1, 'Feb', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[58, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,2019-12-06 11:58:55
Otmoor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[15, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[196, 1, 'Feb', 0, None, None]","[30, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[41, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[73, 1, 'Feb', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[43, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[99, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[32, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[37, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[18, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[21, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[28, 1, 'Mar', 0, None, None]","[52, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[29, 1, 'Mar', 0, None, None]","[43, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[14, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
RSPB Langford Lowfields,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[84, 1, 'Sep', 0, None, None]","[17, 1, 'Sep', 0, None, None]",nan,"[23, 1, 'Dec', 0, None, None]","[21, 1, 'Jan', 0, None, None]","[116, 1, 'Dec', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[72, 1, 'Jan', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[19, 1, 'Feb', 0, None, None]","[51, 1, 'Dec', 0, None, None]","[63, 1, 'Feb', 0, None, None]","[79, 1, 'Feb', 0, None, None]","[40, 1, 'Jan', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[27, 1, 'Jul', 0, None, None]","[5, 1, 'May', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Strangford Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[219, 1, 'Dec', 0, None, None]","[333, 1, 'Jan', 0, None, None]","[168, 1, 'Jan', 0, None, None]","[219, 1, 'Oct', 0, None, None]","[48, 1, 'Jan', 0, None, None]","[157, 1, 'Feb', 0, None, None]","[149, 1, 'Jan', 0, None, None]","[109, 1, 'Jan', 0, None, None]","[260, 1, 'Dec', 0, None, None]","[119, 1, 'Dec', 0, None, None]","[134, 1, 'Jan', 0, None, None]","[79, 1, 'Dec', 0, None, None]","[174, 1, 'Dec', 0, None, None]","[92, 1, 'Feb', 0, None, None]","[59, 1, 'Jan', 0, None, None]","[56, 1, 'Feb', 0, None, None]","[53, 1, 'Nov', 0, None, None]","[96, 1, 'Oct', 0, None, None]","[171, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[292, 1, 'Jan', 0, None, None]","[40, 1, 'Nov', 0, None, None]","[36, 1, 'Nov', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[52, 1, 'Dec', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[138, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Upton Great and Little Broads,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'May', 0, None, None]","[18, 1, 'Apr', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[17, 1, 'Nov', 0, None, None]","[49, 1, 'Feb', 0, None, None]","[22, 1, 'Feb', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[68, 1, 'Mar', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Upton Warren Local Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[61, 1, 'Feb', 0, None, None]",nan,nan,nan,"[60, 1, 'Jan', 0, None, None]","[39, 1, 'Jan', 0, None, None]",nan,nan,"[115, 1, 'Jan', 0, None, None]","[40, 1, 'Jan', 0, None, None]","[55, 1, 'Jan', 0, None, None]","[125, 1, 'Jan', 0, None, None]","[55, 1, 'Mar', 0, None, None]","[58, 1, 'Nov', 0, None, None]","[100, 1, 'Nov', 0, None, None]","[210, 1, 'Nov', 0, None, None]","[110, 1, 'Jan', 0, None, None]","[90, 1, 'Nov', 0, None, None]","[26, 1, 'Oct', 0, None, None]","[61, 1, 'Mar', 0, None, None]","[90, 1, 'Nov', 0, None, None]","[34, 1, 'Oct', 0, None, None]","[47, 1, 'Oct', 0, None, None]","[45, 1, 'Oct', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[24, 1, 'Nov', 0, None, None]","[57, 1, 'Dec', 0, None, None]","[50, 1, 'Dec', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[52, 1, 'Mar', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[28, 1, 'Feb', 0, None, None]","[45, 1, 'Dec', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[38, 1, 'Feb', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[36, 1, 'Jan', 0, None, None]","[17, 1, 'Oct', 0, None, None]","[38, 1, 'Feb', 0, None, None]","[23, 1, 'Feb', 0, None, None]","[27, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Medway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[94, 1, 'Mar', 0, None, None]","[183, 1, 'Feb', 0, None, None]","[105, 1, 'Mar', 0, None, None]","[130, 1, 'Feb', 0, None, None]","[84, 1, 'Mar', 0, None, None]","[100, 1, 'Feb', 0, None, None]","[50, 1, 'Jan', 0, None, None]","[103, 1, 'Jan', 0, None, None]","[180, 1, 'Nov', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[150, 1, 'Jan', 0, None, None]",nan,"[53, 1, 'Nov', 0, None, None]","[38, 1, 'Nov', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[52, 1, 'Feb', 0, None, None]","[1, 2, 'Sep', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[205, 1, 'Feb', 0, None, None]","[95, 1, 'Sep', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[22, 1, 'Dec', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[10, 1, 'Jun', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[164, 1, 'Jan', 0, None, None]","[2, 2, 'Apr', 0, None, None]","[7, 2, 'Jan', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[164, 1, 'Feb', 0, None, None]","[254, 1, 'Jan', 0, None, None]","[172, 1, 'Jan', 0, None, None]","[70, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[60, 1, 'Mar', 0, None, None]","[99, 1, 'Jan', 0, None, None]","[131, 1, 'Feb', 0, None, None]","[109, 1, 'Dec', 0, None, None]","[170, 2, 'Feb', 0, None, None]","[170, 1, 'Feb', 0, None, None]","[93, 1, 'Jan', 0, None, None]","[20, 2, 'Apr', 0, None, None]","[50, 1, 'Mar', 0, None, None]","[15, 1, 'May', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[19, 2, 'Jun', 0, None, None]","[20, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Aldenham Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[12, 1, 'Feb', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[29, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,"[37, 1, 'Feb', 0, None, None]","[38, 1, 'Sep', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[15, 1, 'Dec', 0, None, None]",nan,"[11, 1, 'Dec', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[43, 1, 'Mar', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[39, 1, 'Mar', 0, None, None]","[31, 1, 'Jul', 0, None, None]","[23, 1, 'Aug', 0, None, None]",nan,"[33, 1, 'Feb', 0, None, None]","[157, 1, 'Nov', 0, None, None]","[26, 1, 'Aug', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,2019-12-06 11:58:55
Gartmorn Dam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[134, 1, 'Mar', 0, None, None]","[103, 1, 'Nov', 0, None, None]","[255, 1, 'Jan', 0, None, None]","[147, 1, 'Mar', 0, None, None]","[354, 1, 'Feb', 0, None, None]","[493, 1, 'Feb', 0, None, None]","[228, 1, 'Feb', 0, None, None]","[270, 1, 'Feb', 0, None, None]","[66, 1, 'Sep', 0, None, None]","[76, 1, 'Jan', 0, None, None]","[45, 1, 'Sep', 0, None, None]","[45, 1, 'Jan', 0, None, None]","[35, 1, 'Dec', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[144, 1, 'Dec', 0, None, None]","[91, 1, 'Sep', 0, None, None]","[56, 1, 'Sep', 0, None, None]","[64, 1, 'Dec', 0, None, None]","[36, 1, 'Nov', 0, None, None]","[176, 1, 'Oct', 0, None, None]","[175, 1, 'Oct', 0, None, None]",nan,nan,"[48, 1, 'Nov', 0, None, None]",nan,nan,nan,"[78, 1, 'Nov', 0, None, None]","[64, 1, 'Oct', 0, None, None]","[79, 1, 'Oct', 0, None, None]","[38, 1, 'Oct', 0, None, None]","[42, 2, 'Dec', 0, None, None]","[13, 2, 'Nov', 0, None, None]","[98, 1, 'Oct', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[31, 1, 'Nov', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[69, 1, 'Nov', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[28, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Gouthwaite Reservoir,nan,nan,nan,nan,nan,nan,"[21, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[8, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[47, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[30, 1, 'Jan', 0, None, None]","[44, 1, 'Feb', 0, None, None]","[50, 1, 'Dec', 0, None, None]","[43, 1, 'Sep', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[32, 1, 'Jan', 0, None, None]","[125, 1, 'Jan', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[33, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[76, 1, 'Feb', 0, None, None]","[29, 1, 'Jan', 0, None, None]","[38, 1, 'Feb', 0, None, None]","[36, 1, 'Nov', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[44, 1, 'Oct', 0, None, None]","[44, 1, 'Jan', 0, None, None]","[23, 1, 'Nov', 0, None, None]","[44, 1, 'Nov', 0, None, None]","[27, 1, 'Dec', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[46, 1, 'Jan', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[29, 1, 'Feb', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[21, 2, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'May', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[12, 1, 'Jul', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[91, 1, 'Oct', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[16, 1, 'Jul', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:58:55
Gravel Farm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[30, 1, 'Nov', 0, None, None]","[36, 1, 'Oct', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[41, 1, 'Dec', 0, None, None]","[39, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[19, 1, 'Nov', 0, None, None]","[52, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[68, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,"[26, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,2019-12-06 11:58:55
