Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Morecambe Bay,8.0,0.0,4.0,4.0,14.0,0.0,6.0,13.0,9,9,0,0,5.0,5.0,6.0,2,2.0,5,8,19.0,1.0,(25),0,(1),94,8,4,12,19,23,196,53,57,118,79.0,104,37,(107),72,37,Dec,71,71,1,2019-11-28 03:55:21
Barcombe Mills Reservoir,0.0,0.0,0.0,0.0,5.0,9.0,9.0,8.0,4,5,0,0,3.0,1.0,20.0,12,4.0,19,1,1.0,35.0,(47),60,76,64,73,52,47,53,56,53,56,54,53,53.0,62,71,62,61,75,Aug,66,66,1,2019-11-28 03:55:21
Crouch-Roach Estuary,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,5,(6),(3),(3),3.0,8.0,3.0,8,9.0,6,5,3.0,3.0,2,2,5,19,7,(12),2,2,14,36,50,60,62,57.0,60,80,98,(86),2,Sep,65,65,1,2019-11-28 03:55:21
Benacre Broad,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0,0.0,73,0,80.0,32.0,56,26,42,120,250,130,52,359,52,0,70,120,0,1000.0,0,41,0,280,0,nan,64,64,1,2019-11-28 03:55:21
Hornsea Mere,1.0,0.0,20.0,15.0,46.0,76.0,80.0,94.0,99,103,121,124,nan,nan,nan,169,185.0,nan,0,0.0,314.0,(326),241,202,132,96,73,71,72,73,67,67,76,126Supplementary visit under the WeBS Core Count SurveyWeBS,83.0,0,89,88,0,130,Nov,61,61,1,2019-11-28 03:55:21
Dearne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,288,2,0,0,0,nan,58,58,1,2019-11-28 03:55:21
Teifi Estuary,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,(0),0,1,0,0,0,13,21,24,35,34,46,52,54.0,0,100,33,8,108,Feb,50,50,1,2019-11-28 03:55:21
Scorton Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,17,6,16,11,17,10,27,46,36.0,38,66,66,32,38,Jul,48,48,1,2019-11-28 03:55:21
Burry Inlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,10,0,0,0,0,2,0,0,0,0,0,0,0,0.0,196,0,0,0,0,nan,39,39,1,2019-11-28 03:55:21
Octagon Farm GPs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,nan,nan,nan,0,77,Nov,39,39,1,2019-11-28 03:55:21
